Session,Date,Male,Female
ParlaMint-ES-en_2015-06-09-CD150609-meta.tsv,2015-06-09,22,16
ParlaMint-ES-en_2016-01-13-CD160113-meta.tsv,2016-01-13,3,9
ParlaMint-ES-en_2016-07-19-CD160719-meta.tsv,2016-07-19,3,8
ParlaMint-ES-en_2017-05-09-CD170509-meta.tsv,2017-05-09,29,13
ParlaMint-ES-en_2017-09-26-CD170926-meta.tsv,2017-09-26,9,8
ParlaMint-ES-en_2017-09-27-CD170927-meta.tsv,2017-09-27,19,10
ParlaMint-ES-en_2018-02-20-CD180220-meta.tsv,2018-02-20,27,19
ParlaMint-ES-en_2018-05-08-CD180508-meta.tsv,2018-05-08,27,20
ParlaMint-ES-en_2018-05-09-CD180509-meta.tsv,2018-05-09,15,18
ParlaMint-ES-en_2018-07-10-CD180710-meta.tsv,2018-07-10,0,0
ParlaMint-ES-en_2018-07-16-CD180716-meta.tsv,2018-07-16,0,0
ParlaMint-ES-en_2018-07-25-CD180725-meta.tsv,2018-07-25,0,0
ParlaMint-ES-en_2019-05-21-CD190521-meta.tsv,2019-05-21,6,6
ParlaMint-ES-en_2019-12-03-CD191203-meta.tsv,2019-12-03,8,8
ParlaMint-ES-en_2020-07-21-CD200721-meta.tsv,2020-07-21,23,12
ParlaMint-ES-en_2021-02-04-CD210204-meta.tsv,2021-02-04,28,12
ParlaMint-ES-en_2021-03-25-CD210325-meta.tsv,2021-03-25,16,21
ParlaMint-ES-en_2021-04-13-CD210413-meta.tsv,2021-04-13,35,18
ParlaMint-ES-en_2021-05-27-CD210527-meta.tsv,2021-05-27,0,0
ParlaMint-ES-en_2021-10-21-CD211021-meta.tsv,2021-10-21,17,9
ParlaMint-ES-en_2021-11-24-CD211124-meta.tsv,2021-11-24,43,38
ParlaMint-ES-en_2021-12-14-CD211214-meta.tsv,2021-12-14,22,22
ParlaMint-ES-en_2021-12-28-CD211228-meta.tsv,2021-12-28,13,3
ParlaMint-ES-en_2022-03-29-CD220329-meta.tsv,2022-03-29,35,19
ParlaMint-ES-en_2022-06-28-CD220628-meta.tsv,2022-06-28,32,18
ParlaMint-ES-en_2022-09-15-CD220915-meta.tsv,2022-09-15,33,16
ParlaMint-ES-en_2022-09-20-CD220920-meta.tsv,2022-09-20,33,14
ParlaMint-ES-en_2022-09-27-CD220927-meta.tsv,2022-09-27,33,11
ParlaMint-ES-en_2022-09-28-CD220928-meta.tsv,2022-09-28,11,11
ParlaMint-ES-en_2022-09-29-CD220929-meta.tsv,2022-09-29,29,28
ParlaMint-ES-en_2022-12-13-CD221213-meta.tsv,2022-12-13,24,18
ParlaMint-ES-en_2022-12-20-CD221220-meta.tsv,2022-12-20,25,29
