Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u1	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u2	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u3	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	MerjaMäkisaloRopponen	Mäkisalo-Ropponen, Merja	F	1958	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u4	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	HeliJärvinen	Järvinen, Heli	F	1963	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u5	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u6	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	MerjaMäkisaloRopponen	Mäkisalo-Ropponen, Merja	F	1958	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u7	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	HeliJärvinen	Järvinen, Heli	F	1963	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u8	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u9	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Opposition	Centre-left	MerjaMäkisaloRopponen	Mäkisalo-Ropponen, Merja	F	1958	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u10	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Regular	MP	notMinister	VIHR	Green League	Opposition	Centre-left	HeliJärvinen	Järvinen, Heli	F	1963	
ParlaMint-FI-en_2016-11-25-ps-121	ParlaMint-FI_2016-11-25-ps-121.u11	Minutes of the Finnish Parliament's plenary session 121/2016, 2016-11-25	2016-11-25	Unicameralism	Vaalikausi 2015	Valtiopäivät 2016	Täysistunto 121	2016-11-25	-	Reference	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	MauriPekkarinen	Pekkarinen, Mauri	M	1947	
