Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PeutemanJohn	Peuteman, John	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	VandenBoschMarc	Van den Bosch, Marc	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	SchoonackerFrank	Schoonacker, Frank	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PeutemanJohn	Peuteman, John	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DierickLeen	Dierick, Leen	F	1978	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Coalition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PP	Parti Populaire	-	Right to far-right	CarcaciAldo	Carcaci, Aldo	M	1949	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PeutemanJohn	Peuteman, John	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	SchoonackerFrank	Schoonacker, Frank	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	SchoonackerFrank	Schoonacker, Frank	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PeutemanJohn	Peuteman, John	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PeutemanJohn	Peuteman, John	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	VandenBoschMarc	Van den Bosch, Marc	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u31	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u32	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	VandenBoschMarc	Van den Bosch, Marc	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u33	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	SchoonackerFrank	Schoonacker, Frank	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u34	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	PeutemanJohn	Peuteman, John	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u35	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	SchoonackerFrank	Schoonacker, Frank	U	-	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u36	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u37	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u38	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u39	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2014-09-23-54-commissie-ic007x	ParlaMint-BE_2014-09-23-54-commissie-ic007x.u40	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2014	2014-09-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
