Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x	ParlaMint-BE_2014-10-07-54-plenair-ip006x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 07-10-2014	2014-10-07	Lower house	Zittingperiode 54	-	Plenaire zitting 006 van 07-10-2014	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
