Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	PavelKovacik.1955	Kováčik, Pavel	M	1955	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	OndrejVesely.1976	Veselý, Ondřej	M	1976	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-05-27-ps2017-049-02-010-298	ParlaMint-CZ_2020-05-27-ps2017-049-02-010-298.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-05-27	2020-05-27	Lower house	ps2017	-	ps2017/049	ps2017/049/02	ps2017/049/298	COVID	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	OndrejVesely.1976	Veselý, Ondřej	M	1976	
