Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Guest	notMP	Minister	-	-	-	-	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	PetrFiala.1964	Fiala, Petr	M	1964	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	KvetaMatusovska.1984	Matušovská, Květa	F	1984	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	RadekHolomcik.1985	Holomčík, Radek	M	1985	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JosefKott.1970	Kott, Josef	M	1970	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	RadekHolomcik.1985	Holomčík, Radek	M	1985	
ParlaMint-CZ-en_2020-11-10-ps2017-062-07-010-015	ParlaMint-CZ_2020-11-10-ps2017-062-07-010-015.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-11-10	2020-11-10	Lower house	ps2017	-	ps2017/062	ps2017/062/07	ps2017/062/015	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
