Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e1318	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e1343	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e1768	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2049	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2102	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_08244	Lunacek, Ulrike	F	1957	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2229	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2253	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_02889	Jarolim, Johannes	M	1954	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2290	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2311	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Regular	MP	notMinister	BZÖ	parliamentary group Alliance for the Future of Austria	-	Right to far-right	PAD_35469	Darmann, Gernot	M	1975	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2383	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-09-12-023-XXIII-NRSITZ-00071	ParlaMint-AT_2008-09-12-023-XXIII-NRSITZ-00071_d7e2417	Sitting Number 71, Legislative period XXIII, Friday, 12. September 2008	2008-09-12	Lower house	Legislative period XXIII	-	-	Sitting 71	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
