Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	GolubovićBrane	Golubović, Brane	M	1969	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SD	Social Democrats	Opposition	Centre-left	HanMatjaž	Han, Matjaž	M	1971	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	TašnerVatovecMatej	Tašner Vatovec, Matej	M	1983	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Opposition	Centre-left	KociperMaša	Kociper, Maša	F	1972	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	JanšaJanez	Janša, Ivan Janez	M	1958	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ŠirceljAndrej	Šircelj, Andrej	M	1959	
ParlaMint-SI-en_2021-10-07-SDZ8-Izredna-83	ParlaMint-SI_2021-10-07-SDZ8-Izredna-83.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 83, (07. 10. 2021)	2021-10-07	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	ZorčičIgor	Zorčič, Igor	M	1978	
