Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1856	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarkovićRatko	Marković, Ratko	U	-	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1857	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1858	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	PopLazićGordana	Pop-Lazić, Gordana	F	1956	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1859	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1860	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	SPO	Srpski pokret obnove	Opposition	Centre-right	MikovićMilan	Miković, Milan	M	1932	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1861	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1862	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ŠešeljVojislav	Šešelj, Vojislav	M	1954	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1863	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1864	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ŠešeljVojislav	Šešelj, Vojislav	M	1954	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1865	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1866	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ŠešeljVojislav	Šešelj, Vojislav	M	1954	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1867	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1868	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	LK	LK	-	-	GajevićGorica	Gajević, Gorica	F	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1869	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1870	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Regular	MP	notMinister	SVM	Savez vojvođanskih Mađara	Opposition	Centre-right	BiačiAnton	Biači, Anton	M	1941	
ParlaMint-RS-en_1999-11-11-0	ParlaMint-RS_1999-11-11-0.u1871	Term 4, Meeting 1	1999-11-11	Unicameralism	4. mandat	-	Zasedanje 1	2000-10-09	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
