Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-5	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6201234	Sällström, Sven-Olof	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-14	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-19	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-29	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6201234	Sällström, Sven-Olof	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-35	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-44	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-52	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6201234	Sällström, Sven-Olof	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-56	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-61	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2020-06-01-prot-201920--129	i-1cf390828b173add-68	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 129	2020-06-01	Unicameralism	2019/20	-	-	2019/20--129	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
