Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-12	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-21	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-29	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-9tY4CgEqzVRYTghA4fYbxS	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-45	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-49	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-54	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-58	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-66	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-72	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-78	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-17-prot-201920--107	i-90dc744eaa67130d-81	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 107	2020-04-17	Unicameralism	2019/20	-	-	2019/20--107	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q5581337	Bolund, Per	M	-	
