Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-UQvPdziCyz3xyiWiKNY2oV	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-2	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-5	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5650816	Wallmark, Hans	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-7	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-10	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18243514	Stenkvist, Robert	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-12	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-14	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18243514	Stenkvist, Robert	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-15	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-18	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5795894	Hedin, Johan	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-22	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-26	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q5795894	Hedin, Johan	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-27	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
