Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-63	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-64	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238432	Dioukarev, Dennis	M	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-67	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4935938	Andersson, Ulla	F	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-72	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q3373667	Olovsson, Fredrik	M	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-77	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-ARoZqt2CBu7Qi11fey8y38	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71062310	Lundberg, Angelica	F	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-95	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-105	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q70611350	Thorbjörnson, Jon	M	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-3X1uj2Z9ddrKtQTpjCyYXM	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q96324321	Sjöblom, Inga-Lill	F	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-123	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71062310	Lundberg, Angelica	F	-	
ParlaMint-SE-en_2020-03-18-prot-201920--88	i-d7bca48e4afebc71-129	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 88	2020-03-18	Unicameralism	2019/20	-	-	2019/20--88	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q96324321	Sjöblom, Inga-Lill	F	-	
