Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-11	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-HN8k15h2AESWW1ZTSRCoEU	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-24	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-39	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-45	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-49	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-53	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-58	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4936116	Johansson, Acko Ankarberg	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-67	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-76	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4936116	Johansson, Acko Ankarberg	F	-	
ParlaMint-SE-en_2020-01-21-prot-201920--61	i-e6e9a704e366421f-84	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 61	2020-01-21	Unicameralism	2019/20	-	-	2019/20--61	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
