Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-19	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-26	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-47	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-50	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-56	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-65	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-72	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-78	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-82	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	MP	notMinister	-	-	-	-	Q3675519	Kakabaveh, Amineh	F	-	
ParlaMint-SE-en_2020-04-14-prot-201920--104	i-c28ac5b4a49f5730-87	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 104	2020-04-14	Unicameralism	2019/20	-	-	2019/20--104	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
