Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-6	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-13	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18246234	Sundin, Cassandra	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-19	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-23	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18246234	Sundin, Cassandra	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-26	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18246234	Sundin, Cassandra	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-33	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-42	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-55	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-61	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-69	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-74	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2020-02-21-prot-201920--79	i-0d1469f1073f1264-77	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 79	2020-02-21	Unicameralism	2019/20	-	-	2019/20--79	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
