Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-3	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-UnCQosmiLBoHuSqbBmwjVs	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-HQ9zSSn2q7JkbikUwiindw	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-30	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-42	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-50	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q70731884	Thomsson, Lars	M	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-54	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q241208	Lövin, Isabella	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-60	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q24018140	Lind, Amanda	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-67	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q378195	Rothenberg, Hans	M	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-78	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q24018140	Lind, Amanda	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-87	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q378195	Rothenberg, Hans	M	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-95	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q24018140	Lind, Amanda	F	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-108	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q378195	Rothenberg, Hans	M	-	
ParlaMint-SE-en_2020-09-11-prot-202021--6	i-1ea1c07654d1e596-112	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 6	2020-09-11	Unicameralism	2020/21	-	-	2020/21--6	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q24018140	Lind, Amanda	F	-	
