Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-EMKQoEZsh6BPvJVzh8RE8T	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-0	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168719	Meijer, Louise	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-3	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-7	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168719	Meijer, Louise	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-9	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-12	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71133291	Utterstedt, Ann-Christine From	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-15	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-17	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71133291	Utterstedt, Ann-Christine From	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-19	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-20	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-24	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-25	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-27	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-29	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18245374	Riazat, Daniel	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-33	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-35	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q18245374	Riazat, Daniel	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-38	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-41	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4936116	Johansson, Acko Ankarberg	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-44	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-46	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4936116	Johansson, Acko Ankarberg	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-48	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-50	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-53	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-56	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-59	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-61	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q26710616	Köse, Serkan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-65	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-68	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q26710616	Köse, Serkan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-71	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-75	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18242588	Hirvonen, Annika	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-77	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-81	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18242588	Hirvonen, Annika	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-84	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-87	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-90	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-94	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q4919772	Söder, Björn	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-99	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-104	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168756	Gunnarsson, Hanna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-108	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3370162	Hultqvist, Peter	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-112	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q71340705	Kihlström, Ingemar	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-117	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-121	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q269859	Westlund, Åsa	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-125	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-128	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4943175	Coenraads, Åsa	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-131	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-137	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18243514	Stenkvist, Robert	M	-	
ParlaMint-SE-en_2020-11-19-prot-202021--38	i-5f3d9f27a8bed81c-139	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 38	2020-11-19	Unicameralism	2020/21	-	-	2020/21--38	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
