Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-10	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-17	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4939382	Rahm, Elisabeth Björnsdotter	F	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-26	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-33	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4939382	Rahm, Elisabeth Björnsdotter	F	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-40	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-47	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4939382	Rahm, Elisabeth Björnsdotter	F	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-51	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-57	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-62	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-71	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-79	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
