Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	NemecMatjaž	Nemec, Matjaž	M	1980	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	NemecMatjaž	Nemec, Matjaž	M	1980	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	NemecMatjaž	Nemec, Matjaž	M	1980	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	ZL	United Left	Opposition	Left	TašnerVatovecMatej	Tašner Vatovec, Matej	M	1983	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	NemecMatjaž	Nemec, Matjaž	M	1980	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	DimicIva	Dimic, Iva	F	1972	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NP	Parliamentary group of unrelated members of parliament	-	-	BonKlanjščekMirjam	Bon Klanjšček, Mirjam	F	1954	
ParlaMint-SI-en_2016-11-25-SDZ7-Izredna-37	ParlaMint-SI_2016-11-25-SDZ7-Izredna-37.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 37, (25. 11. 2016)	2016-11-25	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
