Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Guest	notMP	notMinister	PR	Party of Regions	-	Centre	ВікторФедоровичЯнукович.1950	Janukovyč, Viktor Fedorovyč	M	1950	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Regular	notMP	notMinister	PR	Party of Regions	-	Centre	МиколаЯновичАзаров.1947	Azarov, Mykola Janovyč	M	1947	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Chairperson	MP	notMinister	CPU	Communist Party of Ukraine	-	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Regular	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Chairperson	MP	notMinister	CPU	Communist Party of Ukraine	-	Far-left	АдамІвановичМартинюк.1950	Martynjuk, Adam Ivanovyč	M	1950	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Regular	notMP	Minister	PR	Party of Regions	-	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
ParlaMint-UA-en_2010-10-22-m0	ParlaMint-UA_2010-10-22-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 7, sitting day 2010-10-22, n0	2010-10-22	Unicameralism	6	7	-	2010-10-22	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
