Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Chairperson	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	Coalition	Big tent	АндрійАнатолійовичКожемякін.1965	Kožem’jakin, Andrij Anatolijovyč	M	1965	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Chairperson	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	СергійМиколайовичРижук.1950	Ryžuk, Serhij Mykolajovyč	M	1950	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Chairperson	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	ЮрійАнатолійовичКармазін.1957	Karmazin, Jurij Anatolijovyč	M	1957	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	СергійМиколайовичРижук.1950	Ryžuk, Serhij Mykolajovyč	M	1950	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Chairperson	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрПавловичПопов.1960	Popov, Oleksandr Pavlovyč	M	1960	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Chairperson	MP	notMinister	frPR	Party of Regions Faction	Opposition	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
ParlaMint-UA-en_2010-01-14-m0	ParlaMint-UA_2010-01-14-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 5, sitting day 2010-01-14, n0	2010-01-14	Unicameralism	6	5	-	2010-01-14	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	Coalition	Centre-right	ЮрійАнатолійовичКармазін.1957	Karmazin, Jurij Anatolijovyč	M	1957	
