Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4665	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Chairperson	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	BašićAdnan	Bašić, Adnan	M	1945	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4666	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TodorovićBranka	Todorović, Branka	U	-	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4667	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Chairperson	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	BašićAdnan	Bašić, Adnan	M	1945	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4668	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TodorovićBranka	Todorović, Branka	U	-	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4669	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Chairperson	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	BašićAdnan	Bašić, Adnan	M	1945	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4671	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TodorovićBranka	Todorović, Branka	U	-	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4672	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Chairperson	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	BašićAdnan	Bašić, Adnan	M	1945	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4674	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TodorovićBranka	Todorović, Branka	U	-	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4675	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Chairperson	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	BašićAdnan	Bašić, Adnan	M	1945	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4676	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TodorovićBranka	Todorović, Branka	U	-	
ParlaMint-BA-en_2010-11-30-0	ParlaMint-BA_2010-11-30-0.u4677	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 01	2010-11-30	Unicameralism	6. mandat	-	Sjednica 01	2010-11-30	-	Reference	English	Chairperson	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	BašićAdnan	Bašić, Adnan	M	1945	
