Session,Date,Coalition,Opposition
ParlaMint-FI-en_2015-04-28-ps-1-meta.tsv,2015-04-28,2,2
ParlaMint-FI-en_2015-05-05-ps-2-meta.tsv,2015-05-05,2,12
ParlaMint-FI-en_2015-05-06-ps-3-meta.tsv,2015-05-06,0,1
ParlaMint-FI-en_2015-05-12-ps-4-meta.tsv,2015-05-12,9,11
ParlaMint-FI-en_2015-05-19-ps-5-meta.tsv,2015-05-19,0,2
ParlaMint-FI-en_2015-05-22-ps-6-meta.tsv,2015-05-22,0,1
ParlaMint-FI-en_2015-05-22-ps-7-meta.tsv,2015-05-22,7,11
ParlaMint-FI-en_2015-05-26-ps-8-meta.tsv,2015-05-26,5,15
ParlaMint-FI-en_2015-05-28-ps-10-meta.tsv,2015-05-28,0,1
ParlaMint-FI-en_2015-05-28-ps-9-meta.tsv,2015-05-28,0,1
ParlaMint-FI-en_2015-05-29-ps-11-meta.tsv,2015-05-29,1,1
ParlaMint-FI-en_2015-05-29-ps-12-meta.tsv,2015-05-29,1,2
ParlaMint-FI-en_2015-06-02-ps-13-meta.tsv,2015-06-02,63,59
ParlaMint-FI-en_2015-06-03-ps-14-meta.tsv,2015-06-03,64,38
ParlaMint-FI-en_2015-06-04-ps-15-meta.tsv,2015-06-04,4,0
ParlaMint-FI-en_2015-06-05-ps-16-meta.tsv,2015-06-05,7,6
ParlaMint-FI-en_2015-06-09-ps-17-meta.tsv,2015-06-09,2,1
ParlaMint-FI-en_2015-06-10-ps-18-meta.tsv,2015-06-10,11,9
ParlaMint-FI-en_2015-06-11-ps-19-meta.tsv,2015-06-11,18,16
ParlaMint-FI-en_2015-06-12-ps-20-meta.tsv,2015-06-12,3,1
ParlaMint-FI-en_2015-06-16-ps-21-meta.tsv,2015-06-16,24,18
ParlaMint-FI-en_2015-06-17-ps-22-meta.tsv,2015-06-17,20,22
ParlaMint-FI-en_2015-06-23-ps-23-meta.tsv,2015-06-23,3,1
ParlaMint-FI-en_2015-06-24-ps-24-meta.tsv,2015-06-24,39,31
ParlaMint-FI-en_2015-06-25-ps-25-meta.tsv,2015-06-25,31,22
ParlaMint-FI-en_2015-06-26-ps-26-meta.tsv,2015-06-26,1,2
ParlaMint-FI-en_2015-06-29-ps-27-meta.tsv,2015-06-29,30,22
ParlaMint-FI-en_2015-06-30-ps-28-meta.tsv,2015-06-30,1,1
ParlaMint-FI-en_2015-09-08-ps-29-meta.tsv,2015-09-08,23,19
ParlaMint-FI-en_2015-09-09-ps-30-meta.tsv,2015-09-09,3,1
ParlaMint-FI-en_2015-09-10-ps-31-meta.tsv,2015-09-10,27,20
ParlaMint-FI-en_2015-09-11-ps-32-meta.tsv,2015-09-11,6,5
ParlaMint-FI-en_2015-09-15-ps-33-meta.tsv,2015-09-15,12,12
ParlaMint-FI-en_2015-09-16-ps-34-meta.tsv,2015-09-16,5,4
ParlaMint-FI-en_2015-09-17-ps-35-meta.tsv,2015-09-17,13,20
ParlaMint-FI-en_2015-09-18-ps-36-meta.tsv,2015-09-18,5,5
ParlaMint-FI-en_2015-09-22-ps-37-meta.tsv,2015-09-22,41,41
ParlaMint-FI-en_2015-09-23-ps-38-meta.tsv,2015-09-23,30,21
ParlaMint-FI-en_2015-09-24-ps-39-meta.tsv,2015-09-24,24,23
ParlaMint-FI-en_2015-09-25-ps-40-meta.tsv,2015-09-25,5,4
ParlaMint-FI-en_2015-09-29-ps-41-meta.tsv,2015-09-29,58,52
ParlaMint-FI-en_2015-09-30-ps-42-meta.tsv,2015-09-30,58,47
ParlaMint-FI-en_2015-10-01-ps-43-meta.tsv,2015-10-01,77,50
ParlaMint-FI-en_2015-10-02-ps-44-meta.tsv,2015-10-02,20,11
ParlaMint-FI-en_2015-10-06-ps-45-meta.tsv,2015-10-06,52,36
ParlaMint-FI-en_2015-10-07-ps-46-meta.tsv,2015-10-07,33,30
ParlaMint-FI-en_2015-10-08-ps-47-meta.tsv,2015-10-08,33,32
ParlaMint-FI-en_2015-10-09-ps-48-meta.tsv,2015-10-09,10,7
ParlaMint-FI-en_2015-10-13-ps-49-meta.tsv,2015-10-13,25,21
ParlaMint-FI-en_2015-10-14-ps-50-meta.tsv,2015-10-14,36,32
ParlaMint-FI-en_2015-10-15-ps-51-meta.tsv,2015-10-15,30,18
ParlaMint-FI-en_2015-10-16-ps-52-meta.tsv,2015-10-16,1,1
ParlaMint-FI-en_2015-10-20-ps-53-meta.tsv,2015-10-20,30,25
ParlaMint-FI-en_2015-10-21-ps-54-meta.tsv,2015-10-21,32,29
ParlaMint-FI-en_2015-10-22-ps-55-meta.tsv,2015-10-22,33,28
ParlaMint-FI-en_2015-10-23-ps-56-meta.tsv,2015-10-23,4,3
ParlaMint-FI-en_2015-11-03-ps-57-meta.tsv,2015-11-03,34,33
ParlaMint-FI-en_2015-11-04-ps-58-meta.tsv,2015-11-04,23,15
ParlaMint-FI-en_2015-11-05-ps-59-meta.tsv,2015-11-05,18,20
ParlaMint-FI-en_2015-11-06-ps-60-meta.tsv,2015-11-06,7,4
ParlaMint-FI-en_2015-11-10-ps-61-meta.tsv,2015-11-10,28,44
ParlaMint-FI-en_2015-11-11-ps-62-meta.tsv,2015-11-11,23,20
ParlaMint-FI-en_2015-11-12-ps-63-meta.tsv,2015-11-12,30,22
ParlaMint-FI-en_2015-11-13-ps-64-meta.tsv,2015-11-13,4,18
ParlaMint-FI-en_2015-11-17-ps-65-meta.tsv,2015-11-17,38,36
ParlaMint-FI-en_2015-11-18-ps-66-meta.tsv,2015-11-18,37,40
ParlaMint-FI-en_2015-11-19-ps-67-meta.tsv,2015-11-19,28,22
ParlaMint-FI-en_2015-11-20-ps-68-meta.tsv,2015-11-20,1,11
ParlaMint-FI-en_2015-11-24-ps-69-meta.tsv,2015-11-24,34,27
ParlaMint-FI-en_2015-11-25-ps-70-meta.tsv,2015-11-25,36,29
ParlaMint-FI-en_2015-11-26-ps-71-meta.tsv,2015-11-26,45,28
ParlaMint-FI-en_2015-11-27-ps-72-meta.tsv,2015-11-27,6,5
ParlaMint-FI-en_2015-12-01-ps-73-meta.tsv,2015-12-01,20,15
ParlaMint-FI-en_2015-12-02-ps-74-meta.tsv,2015-12-02,29,20
ParlaMint-FI-en_2015-12-03-ps-75-meta.tsv,2015-12-03,22,25
ParlaMint-FI-en_2015-12-04-ps-76-meta.tsv,2015-12-04,2,4
ParlaMint-FI-en_2015-12-08-ps-77-meta.tsv,2015-12-08,44,39
ParlaMint-FI-en_2015-12-09-ps-78-meta.tsv,2015-12-09,44,37
ParlaMint-FI-en_2015-12-10-ps-79-meta.tsv,2015-12-10,47,34
ParlaMint-FI-en_2015-12-11-ps-80-meta.tsv,2015-12-11,1,6
ParlaMint-FI-en_2015-12-14-ps-81-meta.tsv,2015-12-14,63,42
ParlaMint-FI-en_2015-12-15-ps-82-meta.tsv,2015-12-15,80,53
ParlaMint-FI-en_2015-12-16-ps-83-meta.tsv,2015-12-16,73,50
ParlaMint-FI-en_2015-12-17-ps-84-meta.tsv,2015-12-17,58,39
ParlaMint-FI-en_2015-12-18-ps-85-meta.tsv,2015-12-18,4,19
ParlaMint-FI-en_2016-02-02-ps-1-meta.tsv,2016-02-02,4,0
ParlaMint-FI-en_2016-02-04-ps-2-meta.tsv,2016-02-04,33,23
ParlaMint-FI-en_2016-02-05-ps-3-meta.tsv,2016-02-05,8,6
ParlaMint-FI-en_2016-02-09-ps-4-meta.tsv,2016-02-09,46,32
ParlaMint-FI-en_2016-02-10-ps-5-meta.tsv,2016-02-10,15,27
ParlaMint-FI-en_2016-02-11-ps-6-meta.tsv,2016-02-11,39,25
ParlaMint-FI-en_2016-02-12-ps-7-meta.tsv,2016-02-12,14,9
ParlaMint-FI-en_2016-02-16-ps-8-meta.tsv,2016-02-16,24,14
ParlaMint-FI-en_2016-02-17-ps-9-meta.tsv,2016-02-17,23,27
