ParlaMint-BE_2015-11-17-54-commissie-ic268x.u1	Debates of the European Parliament Mrs Vanheste's 6009 will be converted into a written question.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u2	Madam Secretary of State, an annual poverty barometer is published to see how far we are still getting from the targets to be achieved by 2017. Some of the federal objectives in terms of health are to halve the health inequalities between the poor and the rich compared to 2007, to halve the number of families in which no one works, and in terms of income for each family, whatever its composition, at least an income that reaches the European poverty threshold. What does the barometer indicate about these objectives? Actually, not much good. As a mid-term review of the first objective, we read in the decision that the affordability of health care has deteriorated dramatically compared to 2012. The number of people who have to postpone health care for financial reasons has increased from 8% to 14%. On the second objective related to work, we read that the proportion of adults in a family with no income from paid work in 2013 was higher than in 2012 and higher than in zero measurement. For the third income objective, we see little or no difference from zero measurement, in particular about 11% of the risk of poverty. With two more years to go, it seems certain that the targets for 2017 will not be met. This is, of course, not only due to the current government's policy, but nevertheless the poverty barometer is not very positive about the new policy. I quote from the decision of the poverty barometer: 'We are disappointed because of the labour market policy pursued by the current and previous governments. Despite an ever-growing gap between low-skilled and high-skilled, despite the apparent lack of full-fledged jobs for opportunity groups, despite rising youth unemployment, the job seeker is often identified as the culprit for his situation." I also read that the cost of recent savings weighs the most heavily on families with the lowest incomes. Social corrections are often absent. In this way, a counter-redistribution is organised, which threatens to increase inequality in Belgium. Finally: "It is clear that different governments will not achieve their own objectives with current policies. On the contrary, instead of a necessary reduction in poverty, poverty is likely to increase." I think this should appeal to you as Secretary of State for Combating Poverty and Equal Opportunities, just like your colleagues. Madam Secretary of State, what is your response to the poverty barometer? What do you think about the statement that your government will not achieve the objectives of poverty and the elimination of inequality? I have already pointed out that recent savings would weigh most heavily on families with the lowest incomes. Are there any plans to make any changes to that? Finally, I have a question which is also addressed to your colleague, Mr Kris Peeters, but I would also like to put it to you. What concrete measures will you take together with your colleagues to eliminate the growing inequalities in the labour market between high and low-skilled people, between people with and without migration backgrounds, between young people and older people?
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u3	Thank you for your question, Mrs Willaert. The figures you quote from both the barometer and other studies are indeed familiar to me. In terms of inequality, the ratio of the equivalent net disposable household income of the 20 % richest compared to that of the 20 % poorest, i.e. the S80/S20 indicator, based on the EU-SILC, is 3.8 for Belgium. This means that the 20 % richest have 3.8 times more income than the 20 % poorest. However, despite these figures, Belgium does not score so badly for inequality in Europe. The inequality is also fairly stable. According to the EU-SILC, the method known to you, the Belgian social welfare system reduces the risk of poverty from 43% to 55%. This is, of course, an important dam against poverty and social exclusion. In order to escape poverty, the federal government also focuses on the social activation of those who are furthest away from the labour market. As Secretary of State, I have a coordinating role and I must ensure that the various ministers take action. Today, the layout of the third federal plan to combat poverty goes to a final phase. This plan has been drawn up with the relevant trade ministers with a view to taking specific, specific and structural measures. It includes a broad view of poverty, in which we want an inclusive and preventive policy, which promotes self-reliance and ensures that fundamental social rights are guaranteed. These consultations are under way, both with the ministers concerned and with civil society. The automatic granting of rights, the fight against child poverty, the people with a migration background, the single-parent families and the raising of the lowest social security benefits are my priorities. In concrete terms, the use of the welfare envelope is at 100 % and the living wage amounts were increased by 2 % from 1 September. However, we all know that it is a multidimensional problem. Different actions are needed in different areas. This also requires consultation with the various federated entities. On the basis of strict respect for the division of powers, I would like to continue addressing poverty and social exclusion, especially with a migration background, at the next Inter-Ministerial Conference on Integration into Society to tackle this issue together with the Länder. However, I cannot and cannot do so alone. Important levers are not only work, but also education and integration, which are state powers. I myself pay particular attention to single women with children. For this I work together with the Women's Council, the Conseil des femmes francophones de Belgique and the Karel de Grote Hogeschool. I have allocated EUR 400 000 to the MIRIAM pilot project, which started in 2015, which provides coaching and guidance for single women, i.e. empowerment. However, I do not like to hear that word. I think it's a bizarre word. It is about supporting and guiding people to self-reliance and finding out where they find it difficult to get certain help. This pilot project will provide intensive and gender-sensitive guidance to increase social and socio-professional integration in society, with the aim of breaking poverty and isolation. This benefits the children in the family and hopefully breaks the vicious circle of children who grow up in poverty. These pilot projects were launched in Antwerp, Ghent, Charleroi, Namur and Sint-Jans-Molenbeek. In the light of recent facts, this is now even more true. However, that takes a lot of time. I am well aware of this, but I am working with the regions on the national action plan on child poverty. As I said before, child poverty is a wrong word for me. It's about family poverty. I also focus on other target groups, such as poverty among people with disabilities. For this purpose, Handiflux, the automatic fee allocation of DG HAN, was launched in June-July 2015, and instead of several certificates with one certificate, it was possible to obtain an automatic fee allocation. I am using this as an example in order to be able to roll out automatic rights over the next few months. Another target group is those with mental disabilities. For them too, we started a project study. All actors are involved: persons with mental disabilities, the Antwerp and Liège management schools and the companies themselves. The persons concerned can themselves carry out a study into why difficult access to the labour market for people with disabilities. This project started in October. Companies are also reminded of their responsibilities. They are also asked to help find a solution. This study is currently ongoing with two persons with mental impairment. They will conduct this study in the coming months. We hope to find out where the thresholds are and what the difficulties are. I hope to receive the first results after six months. It's supposed to run this project for a year, so I can roll this out over the next few years. They are indeed projects, but they are projects with a purpose. These are very specific target groups with a very specific problem. That way, I can then go to the government with an action plan. I started this plan after asking for it from a political point of view. I leave the initiative to the ground, but I myself have also provided a number of initiatives so that I can go to my fellow ministers with those findings and present them with a number of action points.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u4	Madam President, Madam Secretary of State, I think you have raised a number of fine projects. I hope, along with you, that your fellow ministers will listen to you and respond to your questions. I look forward to the third federal plan on the fight against poverty. I am very pleased to hear once again that automatic allocation of rights is one of the priorities. It is a coincidence or not, but tomorrow we will have a motion for a resolution on the agenda of the Committee on Social Affairs. I hope that a joint proposal can be drawn up across the borders of majority and opposition. We're willing to talk about this. I also assume that the majority will respond to this question, as you consider it very important. Prime Minister Michel has explicitly mentioned this in his State of the Union and this is demanded by all poverty organisations. I hope that majority and opposition can work together on this. Of course, as you yourself say, poverty has to do with income, apart from projects for target groups. The story of raising the lowest benefits we follow closely, as you know. There is, of course, still a huge gap to close in this respect. We fear that closing it will not be for the present legislature and that we will be fundamentally closer to the poverty line. After all, this poverty line continues to increase itself. On that point, I have a specific question for your colleague, Mr Borsus, about living wages tomorrow. What does the 2 percent increase mean for people in poverty? So I will not dwell on that. The project on single mothers sounds good. I'm glad it's being rolled out in my own city of Ghent. It is a pity, however, that it is again about income, for example, that the income of mommies who work part-time involuntarily because they stand alone, but also because employers often need people who work part-time, has been reduced by the measures taken by the current government. We continue to denounce this.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u5	Madam Secretary of State, I have already had the opportunity to ask you several times about the fight against poverty, and I will continue to do so in the light of your policy notes or plans or comments to make. As you know, according to the fifth Federal Yearbook on Combating Poverty and Social Exclusion, just over 15% of Belgians still live below the poverty line. There is no question here of the European poverty line, because in this case the 15% threshold would be far exceeded. It seems to us more than ever necessary to make the fight against poverty a real priority: combating poverty among pensioners, workers, unemployed people, women and children. You will agree that the socio-economic reforms adopted by your government are far from meeting this objective, quite the contrary. As you told me before the holidays, you were considering the development and presentation of a third plan to combat poverty in the second half of 2015. Here we are! I hope that we will get it before the holidays, otherwise we will create a serious political problem. In addition, last May, a motion for a resolution on the fight against poverty was adopted by the parties of the majority of this assembly. Although my group did not support it, considering that it really lacked ambition and that it was far from meeting the expectations of people in precarious situations and those of actors on the ground, we welcomed some requests addressed to the government. One such request was to instruct the Court of Auditors to examine the quality, implementation, monitoring and evaluation of the second poverty reduction plan (2012-2014), but also to verify whether sufficient account had been taken of the recommendations contained in the report on the first federal poverty reduction plan submitted by the Court of Auditors to the House of Representatives. Madam Secretary of State, you will agree with me that it is essential, before we begin discussions on a third plan, for Parliament to have access to the report of the Court of Auditors. Could you tell me whether this request was actually made to the Court of Auditors? When will the Commission be able to submit its report, as mentioned in the resolution? If the Court of Auditors has not been brought before it, will Parliament have to do so? If that is the case, I hope that you will be in favour of it and that this item can quickly be set on the agenda of our committee. In doing so, you will be able to take into account any recommendations for which the urgency has been requested in the development of the next plan.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u6	Ladies and gentlemen, before giving the floor to the Secretary of State, I should like to point out to you that any request made to the Court of Auditors must come from Parliament.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u7	Madam President, it was with this clarification that I intended to begin my answer.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u8	Madam President, the government or the majority, charged by the latter, could have made the request, which is not the case today. I therefore await the reply of the Secretary of State.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u9	Madam President, ladies and gentlemen, I have no problem with the Court of Auditors carrying out such an audit, quite the contrary. But, as has been pointed out, it is up to the House of Representatives to make such a request. Like the federal government, I am not competent to do that. However, if the House decided to mandate the Court of Auditors, it was clear that it would have my support. Furthermore, the recommendations made by the Court of Auditors will be taken into account. But I repeat that the initiative belongs to you.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u10	Thank you, Madam Secretary of State, but you will easily understand that opposition groups do not want to take this kind of initiative and then be defeated by the majority. It therefore seemed important to me that, through you, the government signify its support for this request. I shall now make this request quickly, hoping that the majority will vote on it when it is submitted to it.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u11	Madam Secretary of State, you know that the UN Anti-Racism Conference in Durban has been behind us for more than 14 years. We still do not have an inter-federal action plan against racism, racial discrimination and all forms of intolerance. However, this is one of the pillars of the action programme adopted in Durban, including by our country. Just before last year's elections, the Inter-Federal Equal Opportunities Centre called on the parties who would be elected to work on this at last. In its 2014 annual report, the Centre refers once again to that promise. This is necessary because all indicators indicate that people of foreign origin are still under-represented in our labour market and that our society is still little inclusive. Racial discrimination continues to exist in all areas, often in a sneaky way, making it more difficult to combat. The debate on the subject is becoming more and more culturalised. As a result, the focus has been removed from those areas which are ideally suited to promoting equal opportunities and participation, namely employment, education and housing. My questions are as follows. Will you work with your fellow Members on an inter-federal action plan against racism? An action plan covering all social areas, with both repressive and preventive elements? We consider these repressive elements to be important in this regard. To this end, the federal government, the authorities of the Regions and the Communities and local authorities must develop a joint strategy, as they did in 2013 to tackle homophobia. For example, Belgium will finally deliver on the promise it made at the Durban anti-racism conference in 2001 and which has since repeated it several times, unfortunately without result. In 2014, our country has already been called to order twice by the UN Commission for the Elimination of Racial Discrimination and by the Council of Europe's Commission against Racism and Intolerance. I am very much looking forward to your answer.
