ParlaMint-BE_2015-03-10-54-commissie-ic108x.u1	Questions Nos 2019, 2309 and 2688 by Mr Top lapsed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u2	Madam President, Minister, my question was raised when there was a reconnaissance mission. In the meantime, of course, we are already a few steps further in sending trainers to Iraq. So I'd like to get an update on you. Firstly, what were the findings of the reconnaissance mission regarding the security situation for our soldiers on the ground? Is there a coalition partner who could ensure the necessary protection force? Secondly, what added value can Belgian trainers bring? On the basis of which criteria do you measure that? Thirdly, what is the state of play with regard to progress in the fight against IS? Is it better or more difficult than planned? Can you exclude that Belgian soldiers, whether special forces or not, will go to battle situations or the front line for reconnaissance orders or to assist Iraqi military forces? Fourthly, will Belgium make demands in relation to the composition of the troops it trains and in particular guarantee that Belgium can train Sunni soldiers in order to ensure that the troops are a mirror of the whole society and not just of the Shiite power structures? Fifthly, in return for the deployment of ground forces, will Belgium ask for guarantees, such as guarantees from the Iraqi Government, that military or militia members who have committed war crimes will be effectively prosecuted? Sixthly, what curriculum will Belgian soldiers teach the Iraqi military? How will war law, international humanitarian law and human rights be taught? Can you explain that in detail? Finally, are you investigating the slope to train Iraqi soldiers outside Iraqi territory?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u3	I am merely asking my question No. 2605 tabled on 27 February to replace my previous question. Minister, the Council of Ministers of 27 February decided to deploy a training detachment of about thirty-five soldiers in Baghdad, for a period of six months, from 1 March 2015. Those military will participate in the training of Iraqi security forces, in a secure location, within the framework of the international coalition against Daesh in Iraq. On 30 January, the Council of Ministers had already decided to send a planning team to Iraq to prepare for this commitment. Minister, I would like to ask you the following questions. What is the reason for that decision? Has the government received an official question recently? Which soldiers will leave for Iraq? Which barracks did they come from? Can you explain more about their precise assignment? Will they work alone or will they work with military from other coalition partners? How much is the mission estimated to cost? The planning team previously commissioned to prepare the deployment of a training detachment had to examine whether all the conditions were met to give the green light for the deployment. What were the conditions? According to an article in De Morgen, at that time, Defense was counting on another coalition partner to protect a possible training detachment. What agreements have been made on this? Who will vouch for the protection of our military? Are there any countries that are considering sending a similar detachment?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u4	Madam President, the Council of Ministers has approved the deployment of a team preparing for the dispatch of a train and advisé detachment of Belgian military personnel within the framework of the international coalition fighting against the Islamic State Group. Two military personnel were sent to the special operations headquarters in Baghdad and one planning officer in the coalition headquarters in Kuwait. They must analyse, prepare and coordinate the engagement of a detachment of Belgian instructors. In the face of this new Belgian military contribution to the fight against the terrorists of the Islamic State Group in Iraq, which falls outside the scope of the resolution adopted in the House, I would like to ask you a few questions, Mr Minister. What exactly is this new train and advisory mission? What will be the timetable? How will the safety of our military personnel be ensured on site? Do these new military missions fit within a broader international community framework in contributing to a lasting stabilization of the Iraqi and regional situation? What is the added value of Belgium in this new framework? Since this is an additional mission, what will be the budgetary cost? How can these operations be carried out in hostile terrain, since it will be impossible to purchase current equipment and the training (i.e. security) of our military is more than compromised by the current budget? From the beginning of the operation, it was agreed that the international coalition against the "Islamic State" group should intervene in accordance with the 3D strategy. So far, the intervention of the international coalition has been essentially military. Has the government developed a comprehensive approach to this new mission? What is Iraq's place in the Belgian and European military strategy? Have you ever discussed the region's exit strategy with your European and international counterparts? Thank you.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u5	Madam President, Minister, my questions are very much in line with those of my colleagues. About 30 of our military personnel have arrived in Baghdad since the beginning of the month and will soon be joined by about 10 others. I would like to know how their installation is going. Have they started their trainings. Who are these courses addressed to? We know that in Iraq there is a particular sensitivity which is the balanced formation between Sunnis and Shiites. Do we have specific information about the people we are going to train, among other things from this point of view, but not just? What kind of troops are they? What are we going to train them to? What will be the purpose of our training? Is it weapons handling, tactics, strategy? I would have liked to know the context and the evolution of our presence there. How long is this going to last? What are the elements from Belgium? What is the status of the situation on the spot? We hear that Daesh is going backwards. Is that so? If so, around which cities? I hear that on Tikrit and Mosul, things are moving forward quickly. Do you have the same information? Will allied aviation be involved in the fighting that will take place in the coming days or weeks and that will be fundamental? Mosul is indeed very emblematic. It's a big city. It's also a very complicated fight. It is well known that street fighting in this type of city can lead to heavy civilian casualties. How do you see things? Will aviation, notably Belgian and allied in general, be involved in ground support in relation to these upcoming events? If possible, Minister, I would like to have a comprehensive review of the efforts of the international coalition. Much has been said about the complementary and additional involvement of the Arab countries in this battle. In the horrific murder of this Jordanian pilot, Jordan and the United Arab Emirates were more committed. I would have liked to have your appreciation on this. Is that so? Is there really a consistent commitment on the part of the Arab countries? It is a fundamental political element for the future. What efforts have been made by this coalition and, more specifically, by Belgium? I know that some elements are sensitive, but can you tell us more about the results of the activity of our Belgian F-16s on the ground? Have the strikes been effective? What kind of targets were they carried out, without necessarily revealing all the details? Have any preferred targets been assigned to Belgian forces in Iraq? If so, have there been complications, collateral damage, as they are called pudically? We are therefore based in Baghdad and Jordan. At one point, there was talk of a base in Iraqi Kurdistan in Erbil. Why, in the end, has Baghdad been chosen, since we also had many contacts with the Kurdish Peshmergas, who are doing remarkable work on the ground? Indeed, they have taken over a whole series of villages and towns on the side of the Sinjar Mountains. They deserve extremely important support. Has the selection of Baghdad caused any difficulties on their part? From a political point of view, is the idea of a national guard in which all religious, ethnic groups are represented in Iraq – it is a fundamental element for the future – or is there no progress in this area? I hear Shiite militias are committing abuses in some places. Do you have this type of information? Can we gradually include more Sunni groups in all Iraqi military forces? I would also like to have a state of affairs regarding the progress of the coalition's efforts in Syria? Several cities are under fire in Syria or under extremely severe conditions, including Aleppo. We heard in camera the testimony of people who had managed to flee Aleppo and who had said how abandoned they were by the international community. The Prime Minister recently pledged to the King of Jordan to continue his efforts in Iraq and therefore to remain with the coalition forces. However, we know that our effort, particularly that of the F-16s, is due to end in June. What exactly is the situation? Has a decision been made yet? What would be your forthcoming decision to the Council of Ministers on both the Baghdad component (on-site trainers) and the F-16 component? What should be expected in the coming weeks?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u6	Mr Dallemagne, if you deviate from the question you are asking, I fear that you will not receive an answer. Your questions about the F-16 are covered by item 11, which contains very specific questions.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u7	Madam President, I'm sorry. This is a debate based on joint issues. I imagine that the minister can adapt a little bit to the current situation. If we were just to ask questions that were written a month ago, it would make no sense or interest to the committee.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u8	Mr Dallemagne, it is certainly not a debate, it is a joint question. I would just like to point out that if you elaborate and ask several questions which are not dealt with in your written submission, the Minister cannot answer them, but those questions will be answered under item 11.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u9	Madam President, ladies and gentlemen, I have answered many more questions this morning in the committee responsible for the follow-up of foreign missions than I will be able to do now. The Members of this House who were present will be able to see that. At the Paris Conference on 15 September, some 30 countries committed themselves, at the explicit request of Iraq, to supporting this country by all the necessary means, including military ones, in order to face the potential destabilization of the region, caused by the rise in power of the "Islamic State" movement or, as it is said there, Daesh. The coalition's efforts in the fight against Daesh focused initially on two areas: stopping Daesh's progress and assisting Iraqi security forces in their fight against Daesh. As you know, a Belgian detachment has been developed in Jordan since December as part of the first domain, consisting of six F-16 people and a hundred twenty soldiers. This deployment is planned until the end of June and fits into the budget of the operations 2015 as proposed and approved by the Council of Ministers. A budgetary solution should be sought for a possible extension. Another possibility, which is currently being examined, could be to arrange tours with other countries. In the second domain, which should enable Iraq to have reliable troops in the longer term, which can guarantee the sovereignty of the Iraqi State throughout the territory, the coalition has developed a programme Building Partner Capacity, asking the participating coalition countries to provide trainers and instructors. Since early February 2015, in the context of the reconnaissance mission, one military was deployed at the headquarters in Kuwait and two military forces at the headquarters in Baghdad. They aim, inter alia, to analyse and prepare any further Belgian participation in the coalition's operation against Daesh, particularly with regard to the content of the programme and the safety of the quarter. Since early March 2015, Defence has effectively contributed to the training of Iraqi security forces under the Building Partner Capacity programme. The Belgian detachment is composed of soldiers of the land and medical component. The main effort of the detachment is to assist the Iraqi military and select, train and train new recruits. This training program meets the same standards and standards as the training in Belgium. The Belgian participation is limited to providing training together with colleagues from several European countries and the United States in secure training centres in the vicinity of Baghdad International Airport. There is no direct contact between Belgian trainers and Daesh fighters. I have already said that Baghdad airport is protected in two circles, first by the Iraqi security forces and second by the Americans. We are working with two other European countries on the ground. Mr Dallemagne, the track – already mentioned – which would involve the training of air security forces outside Iraqi territory, in consultation with one or more partner nations, is still being investigated. The budget for this mission, estimated at about €3 million, was taken into account in the case "Belgian Operational Commitment" in 2015, approved by the Council of Ministers on 18 December 2014. For security reasons, no information on the type of units deployed in the fight against Daesh was provided in principle under this public form. Also confidential intentions or plans of our coalition partners in their fight against Daesh cannot be disclosed publicly. As part of the follow-up committee, as I have just mentioned, I have already provided the information I have at my disposal this morning. Finally, Defence focuses solely on the military aspect of the coalition's overall plan against Daesh and leaves it to the other departments to express their views on the other Belgian non-military contributions to the coalition.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u10	Madam President, Minister, such a mission must always be very careful, especially in a delicate context as in Iraq. It is our opinion that we should make the mission conditional on a number of measures that can be taken, first and foremost by the Iraqi Government itself. I have asked you a number of questions about this. However, you have not accepted it, unless I am mistaken. It concerns, for example, the composition of the troops that are being trained. There are two options, we know the problem. There is a predominantly Shiite input, both in the government and in the military. It would be good if the Sunni people in Iraq could have a greater say, including in the army. We could, of course, play a role in this with these trainers. When it comes to the prosecution of Iraqi soldiers who have committed war crimes, we see the same thing. A number of international organisations have effectively reported that there are problems in this area. We could, in return for our efforts, ask for work to be done. We have a number of levers in our hands in exchange for the use of trainers. However, we must use these levers.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u11	Madam President, Mr De Vriendt, I understand your concern and even share it in part. However, at the end of my reply I also indicated that a number of questions are being asked which are beyond my competence as Minister of Defence. This morning, in the Committee on Defence, I gave an appreciation of a number of encouraging signals about the Iraqi State. As you know, I explained the four different phases here at the time. It is very formal that these phases cannot be separated from each other. However, I am only a Minister of Defence; I am not the strategist in the field of international politics, however, a number of encouraging signals that could go in the direction of improvement. It concerns, among other things, the sharing of security departments between the two groups. So there are a number of signals, which are indicated. However, they fall outside my field of competence, if you know what I mean. I do not therefore determine what foreign policy we are pursuing. I would just like to point out that, in my capacity as Minister of Defence, the international coalition, to which we have been aware, is asking me if we can make a contribution, by providing a number of trainers and top trainers. On that basis, we will continue, with the approval of the government, after the matter has been discussed within the government.
