ParlaMint-BE_2015-02-03-54-commissie-ic078x.u1	Mrs. Van Hoof isn't coming.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u2	Mr Minister, my question concerns the relationship between solariums and skin cancer. Everyone who has ever faced it knows that cancer is a terrible disease, which is becoming more common in our society. For example, skin cancer affects more and more people. The figures I received from the Foundation against Cancer show that there is a clear relationship between getting the condition and using solariums. For example, powerful sunbeds could be ten to fifteen times stronger than the power of the sun during the afternoon on the Mediterranean. Although the figures show that the use of solar banks greatly increases the risk of cancer, I do not, of course, call for a general ban today, but for rational and informed use. That is where things are going very badly today. Although we have had clear legislation on solar banks since 2009, it appears that they hardly ever meet the legal requirements in practice. The figures of the FPS Economy show that in 2013 only 7% of the controlled centres are in good shape with the legislation. On top of that, the figures of the Foundation against Cancer show that there are too few inspectors. Moreover, they must look for solar banks with the wet finger because there is no register anywhere. In addition, it appears once again that there are still many false assumptions among the public, such as the belief that pre-tanning under the solarium before going sunbathing would help to burn less. Some centres also distribute false information about the use of solariums. Some even talk of deceptive advertising and there are advantages linked to the use of the solarium that are scientifically quatsch. I have the following questions. Are you prepared to establish a mandatory register so that commercial matters can be checked for legal requirements? That is not the case today. Are you prepared to increase the number of checks and to provide sufficient staff for this? Would you like to contribute to the Foundation's request against Cancer to provide mandatory information on the solariums around the legal age and the risk of skin cancer? Can you instruct your services to screen the advertising campaigns of solar banks for the accuracy of their information and to address the centres that distribute misleading advertising? There is clear legislation. In the case of checks, many deficiencies are identified. How are these shortcomings addressed? Are the defaulting companies sanctioned and closed if necessary? What has happened in the past to the infringements that have been committed?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u3	Minister, I had asked a similar question to the Minister for Health, but it seems that this question has been referred to this committee, although I think that my question is very closely linked to public health. Unfortunately, I am a privileged witness to the dangers of solariums. Fortunately, that was years ago. However, I am firmly convinced, along with all the organisations that point this out, that solar banks are really dangerous. My colleague has already said most of it, but I would like to point out that we are not the only ones who claim that there is a danger. Australia has introduced a ban on solar banks for most of its Länder, in line with Brazil. The ban went into this year. A second point that I would like to add to my colleague's speech is that an alliance of about 20 organisations, including not the least, such as the Foundation against Cancer, Child and Family and Test-Achats, already in 2013 made four clear demands: mandatory registration of all solar centres, more and stricter checks on compliance with the law, a ban on misleading advertising and a publication of the inspection results of the controlled centres. Minister, do you intend to take action against the solar power stations that are violating the regulations? What about the four demands of the alliance? Do you meet these demands? What steps do you want to take to limit the use of solariums? Are we thinking in the same direction as Brazil and Australia, for example?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u4	Mrs Cassart-Mailleux is not present.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u5	Mr President, ladies and gentlemen, there is a lot of scientific research that clearly identifies the indications on the health risks associated with the use of sunbeds. I believe that there should be sufficient dissemination of certain health risks associated with them. From this precautionary principle, the Royal Decree of 20 June 2002 was designed to help inform the user about possible risks associated with the use of the solarium, to determine the skin type, to exclude the minor, to comply with a number of technical requirements, etc. You will find all this in the Royal Decree of 20 June 2002. The Economic Inspectorate is also aware of this problem. In 2013, 94 centres were checked. I have more information for you on paper on those 94 centers. There are solarium centers, but also beauty salons, barbershops and fitness centers that offer solarium use. I will therefore hand you the breakdown of the 94 checks carried out in writing. In the control figures you will see a large degree of diversity. By this I mean that most checks have previously detected infringements of an administrative nature, such as the lack of information boards and so on. Other infringements are serious, such as allowing minors or exceeding the maximum radiation intensity. I fully agree with you that such infringements that have an impact and constitute a serious breach of the health situation should also be seriously addressed. Of course, infringements of an administrative nature must also be dealt with. On the basis of the figures available to me, the offences that have an impact on health are more limited in number than administrative offences. I have no figures on the situation in other Member States. I did get those numbers, but my administration doesn't own them. Where a check reveals problems, a warning shall be issued to the offender or a pro-justitia, depending on the seriousness of the offence. In the event of a warning, the offender shall be allowed some time, also depending on the seriousness of the offence, to fulfil his obligations. Afterwards, there will be a follow-up check. With regard to penalty fines, the Code of Economic Law provides for book XV to impose sanctions of between EUR 26 and 25 000. You have referred to the coverage of Australia and Brazil. We have held a meeting on this subject. We invited all the representatives of these solar banks to the cabinet to discuss the seriousness of the situation. Those participants were representatives of manufacturers and operators of solar centers, beauty salons and fitness centers. We have said that there is a problem that we want to see clarified further. It was also a question of compliance with the rules. They have all committed themselves to working on this through consultation. It has also been made clear to those concerned that we will see whether further steps can and should be taken if there is no improvement in the situation we want to achieve through consultation. A proposal for compulsory registration was made here. I want to look at all of this, but I do think that we should first appeal to the sector to its responsibility. We did that. We must also tell the sector that the existing legislation and the Royal Decree must be respected and the administration will follow it. If this is not enough and we find that there is no action, we will take further steps. I would certainly like to take with me the suggestions that have been made here regarding compulsory registration. There was no call for a general ban here. That is not the case now, and we are not considering it now. In any case, and that concludes me, I do not want any tolerance when it comes to infringements that pose a direct health risk or other risks. It concerns the radiation intensity of the lamps, the periodic monitoring of these lamps and of filters, the unavailability of the protective glasses, the non-rejection of minors and the admission of people with skin type 1. These are serious facts against which serious action must be taken. That is why I have given the order to bring an action for strike in the event of infringements, which is possible on the basis of book XVII of the Code of Economic Law. This was also clearly communicated to the sector. We won't be messed with. We are prepared to give those responsible, if they act accordingly, but there will be tough action in the event of infringements, especially as regards health risks. Those instructions were also given to the administration.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u6	Mr President, Minister, I am extremely pleased that you are taking seriously the health risks associated with starting the solarium too young or with a skin type 1. It is also extremely efficient to talk to the centres themselves and the manufacturers in the first phase, to emphasise to them that it is serious for you. I'll wait with you to see what the results will be. If you find that they do not act as you and we do, namely by informing people correctly and offering correct devices, then effective further steps must be taken. I don't know when there'll be feedback on that? There is a timing on that, because we would like to get feedback anyway. Any feedback in six months?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u7	Yeah, that's how we planned it.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u8	Mr President, Minister, I agree with my colleague. We are particularly pleased that you have dealt with this in this specific way and that you have involved the sector; that must always be a first step, and that is a good step. Self-regulation, if it happens, is, in my view, the best regulation, but I would stress that if it happens. That is why I am also delighted that you are calling for direct penalties when it comes to direct health risks. That would also have been my plea if it was really about too high radiation or about crossing age limits. In fact, I am told that there is sometimes a solarium centre where there is no staff on the ground. I can't believe this is happening. I call for very severe sanctions if this cannot be reduced in the short term. I understand that you agree. I hope that I can ask you again about this in six months' time and that you will have good news for us.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u9	I note that Mr Van Biesen is not yet present for his question No. 911.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u10	Mr President, Minister, we are all inspired by a report from the Christian workers' movement, and I assume that there is, until further notice, a problem with massive imports of stainless steel or inox from China and Taiwan. I will briefly read out the report and then link my question to it. I won't do it in extenso, don't worry, but so everyone who joins in my first question knows what it's about. The situation in the stainless steel sector is a cause for concern, according to the Christian workers' associations. At present, this industry accounts for five thousand direct and indirect jobs. It is mainly about Limburg and the region of Châtelet. European companies in this sector have to deal with dumping practices because of China and Taiwan. In 2013, imports of stainless cold-rolled steel amounted to EUR 785 million. In 2014, China's and Taiwan's market share grew by 50 percent compared to 2013. We all know that China and Taiwan are suffering from overcapacity because demand no longer follows the production of stainless steel in their economy. The excess production is now being dumped on unprotected markets like ours. This ensures that the stainless steel imported from those countries can be 20% cheaper. The aggressive and unfair commercial practices, as they are called by the trade unions, and for once I support them, China and Taiwan weigh heavily on the future of the European companies involved. The companies in this sector therefore initiated an anti-dumping proceeding in the European Commission. The reference of that anti-dumping proceeding is mentioned, but that is of no interest to the report. In Belgium, the cold-rolled flat stainless steel sector accounts for 1 700 direct jobs in Limburg and Châtelet and thousands of indirect jobs. In order to prevent Limburg and the region of Charleroi from being hit again by heavy industrial restructuring, urgent measures must be taken to stop these dumping practices, according to the trade unions. Again, I support them in this. We, both trade unions and myself, therefore ask you to intervene urgently to take the necessary anti-dumping measures against China and Taiwan in the spirit of the European Steel Plan. These measures must allow our companies to compete in the right conditions so that they remain sufficiently profitable to secure the five thousand direct and indirect jobs in our country. Are you prepared to take these measures? If so, what is the nature of these measures? The call comes from LBC, CNE and ACV-CSC METEA, who are represented by people from what I dare call your club.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u11	Mr President, Minister, Mr Penris has already outlined the whole picture. The last thing I would like to add is that you were signed by the relevant trade unions to raise the issue at European level. Did you receive the relevant letter from the union? What position do you and the government take on this? Are you considering taking certain measures? If so, what are the measures? Do you intend to raise the problem at European level?
