ParlaMint-BE_2015-05-06-54-commissie-ic164x.u1	Mrs Demir, you have a question. 2369 on the national pool of port workers.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u2	Mr President, the question can be converted into a written question.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u3	Mr President, I should like to put my question to the President-in-Office. I would like to turn 3290 into a written question, if I can get the Minister's answer today.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u4	That will be put right, Mr Vanvelthoven. Question No 2407 by Mrs Ben Hamou is transformed into a written question. Questions Nos 2408 and 2409 by Mrs Winckel are converted into written questions.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u5	Mr President, I propose that those Members who do not follow this work continue their activities elsewhere.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u6	Mrs Demir, do not be distracted and focus on the essence.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u7	Mr President, I am not being distracted, but I would like to argue in favour of some order in committee and respect for those Members who have tabled questions. My question is about the classical social dialogue in our country at federal level, where employers and trade unions come together to draw out the major lines of action for socio-economic life. In the coalition agreement we have written a whole chapter on the tripartite talks. We debated this for a very long time, so that the government would sit with the social partners. I've read that you're also fond of that idea, Minister Peeters. You've said that many times in the press. My question is therefore very specific as to whether initiatives have already been taken. In the past, a number of social agreements have already been concluded, each time without the presence of the government. Have you taken any initiatives towards a tripartite meeting? If so, how do the social partners respond to this? It is always better for them to come up with proposals themselves. When can we expect your plans in Parliament?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u8	Mr President, ladies and gentlemen, Mr Demir, I can make the answer rather brief. No concrete initiatives have yet been taken to regulate or organise a tripartite consultation, as is done in Flanders. You are well aware that we discussed this during the government negotiations. I will implement the coalition agreement, but no initiative has been taken at the moment. I understand, however, that the Group of Ten wishes to give every opportunity to autonomous social dialogue in the light of the provisions of the coalition agreement. At the appropriate time, I will also give effect to the coalition agreement in this respect. If we build and launch the National Pensions Commission, it is in fact a tripartite consultation, at a different level and with other agreements. Over the next few weeks and months, I will continue to do so, especially if you encourage me to do so.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u9	I have no doubt, Minister, that you will act very swiftly in this matter too. We shall hear the proposals in committee.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u10	Debates of the European Parliament 2843 by Mr De Vriendt has been withdrawn. Debates of the European Parliament Mrs Fonck's 3003 question will be converted into a written question. Questions Nos 3184 and 3231 by Mrs Jadin are converted into written questions. The same applies to Question No 1, by Mr Beazley, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the Mrs Fonck asked to wait for her questions Nos 3255 and 3256. Mrs Demir has withdrawn her questions Nos 3271, 3272 and 3273. Debates of the European Parliament 3290 by Mr Vanvelthoven, at his request, will be converted into a written question. Debates of the European Parliament Mr Friart's 3318 was also converted into a written question. This brings us to item 19 of our agenda, which is the joint question No. Mr Massin, No 3488 Question No 37, by Mr Hedebouw and No 3750 3763 by Mr Gilkinet. Mr Massin and Mr Gilkinet are no longer present. Mr Hedebouw is present, but he draws his question No. 3750 in. As Mr Massin is not present, his question No. 3716 withdrawn. Debates of the European Parliament Mrs Fonck's 3729 is under arrest. This is a joint question under item 21 and we shall come back to that point.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u11	Minister, the government agreement provided for the abolition of the seniority allowance. The Royal Decree of 30 December 2014 provided that the unemployed person who had already benefited from this supplement would continue to be entitled to it in December 2014. In addition, a step-by-step abolition was envisaged for some of the most important categories, such as the victims of collective redundancies, heavy-duty workers or very long careers. However, my question concerns the first exception, i.e. people who received the supplement before 1 January 2015 but did not receive it due to circumstances in December 2014, for example because of illness or because they had temporary work. If these people return to unemployment, they will no longer be eligible for the allowance by the wording of Article 14 in the royal decree referred to above. It is difficult to justify that people out of control or, more importantly, because they were working temporarily in the month of December 2014, as a result of which they will no longer be able to claim this supplement in the future. However, such a supplement can make the difference between life and survival for these people. For example, a single unemployed person who is unemployed for two years and receives a minimum benefit has a benefit of EUR 1 085 with a supplement and EUR 953 without a supplement, or a difference of EUR 132 per month on a low benefit. For a cohabitant with the same duration of unemployment and also a minimum benefit, the difference even rises to EUR 250 per month. Mr Minister, will you correct this injustice and will the RVA be instructed, pending that, to continue to grant the supplement in these cases? By such cases, I mean the unemployed who fulfilled the conditions before 1 January 2015, but for some reason did not receive the supplement in the month of December.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u12	Mr Kitir, I am aware of the problem. An older unemployed person who worked in December 2014 and was previously unemployed cannot benefit from the transitional measure which provides that those who were unemployed in December 2014 are covered by the old seniority allowance scheme. I've asked the RVA to investigate how many people this could be. I will look into whether this question can be answered, which of course presupposes an adjustment of the unemployment decision.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u13	Thank you, Minister, for your reply. I am pleased that you take the issue to heart and that you will take the necessary initiatives to find a solution. I will give you the necessary time and I will come back later to see what has become of it.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u14	Debates of the European Parliament Mr Clarinval's 3852 was converted into a written question.
