ParlaMint-BE_2015-01-28-54-commissie-ic070x.u1	Debates of the European Parliament Mr Dedecker's 1409 was converted into a written question.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u2	Mr President, Secretary of State, I refer to the VRT programme The Seventh Day of 18 January 2015. In an interview, the Minister of Justice repeated a problem he had raised earlier: sending encrypted messages via computers and smartphones poses problems, especially in the fight against terrorism. The investigators would be of the same opinion. Apparently, they are asking for the possibility of hacking computers and mobile phones in the fight against terrorism. This requires a change of law. The current legislation needs to be evaluated first. In addition to the information provided by the investigators, the Minister of Justice also discussed the idea of asking operators to take specific measures to avoid hacking. That's pretty dual. If no one can hack, then we have the solution. If the government can hack, so can others, in this case criminals. They can intercept confidential public sector information. The Minister of Justice also said that it was desirable to introduce a code of conduct requiring operators to remove hate messages from the network, similar to other directives on pornography, for example. This must be organised not only at Belgian but also at international level. The suggestions made by the Minister of Justice are suggestions on his part with his powers. However, they are also on the verge of your powers. Your policy letter said that you want to pay attention to the delicate balance between a policy of and for the 21st century with updated respect for privacy. You do not believe that privacy should be an argument for suppressing digitalisation initiatives. Is hacking smartphones and computers in the fight against terrorism falling under a 21st-century policy, as you stated in your policy letter? Is there a danger that we will use this as a means of suppressing a digitalisation initiative, in this case the development of software coding? Were you aware of the Minister of Justice's idea? What privacy recommendations would you make about the proposal that was formulated there? Do you agree that if the data can be hacked by the government, there can also be an increased threat to our privacy? Criminals can use the additional possibilities to attack us. Do you consider the potential benefits to be proportionate to the increased risk? Finally, what is your opinion on a code of conduct to remove hate messages from the Internet? In what way do you intend to submit the suggestion to your fellow Members at European level? In what time will you take initiatives here?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u3	Mr Vermeulen, the debate on which weapons should be used to combat terrorism is, of course, delicate and complex. Furthermore, as Secretary of State responsible for the protection of private life, I have the special task of weighing up the relevant national and international rules of law in that discussion. Therefore, without knowledge of concrete proposals and legislative texts and without a thorough analysis and prior consultation with all the actors involved, I should like to confirm or fire one or the other proposal. You have already seen this in a number of other matters: I usually urge consultation to monitor what I believe is my job as Secretary of State for Privacy. What is very clear to me is that, within our democratic rule of law, we must use all valid means to ensure the maximum security of our citizens. At the same time, however, we must ensure that we do not slip into the margins of fundamental rights that we have just deemed necessary to protect everyone's freedom as a result of an earlier global conflict, for example the Second World War. In this case, the problem is specifically related to the fact that criminals are increasingly using other means of communication, instant messaging such as Skype and WhatsApp, communication via dating sites and so on, in order to achieve the same finality, in particular the interception of information that could potentially prevent a terrorist attack or any other criminal act. To achieve that, advanced techniques are needed. When developing a legal framework, the privacy of citizens should also be safeguarded. I am in agreement with the Minister of Justice and I am going tomorrow with the Minister of the Interior, Mr Jambon, the Minister of Justice, Mr Geens, and the Secretary of State for Migration, Mr Francken, to the informal European Council in Riga, which will also address radicalisation and the fight against terrorism. In any case, I believe that the fight against inciting hatred, including by spreading hate messages on the Internet, must continue unabated. We do have a legal arsenal for this. We don't always have to change laws or make laws, or extend laws. In Belgium, there are already three laws that underpin the fight against cyberhate: firstly, the anti-racism law, secondly, the anti-discrimination law, and thirdly, the law against negationism. These are three different laws, one to combat racism or xenophobia, the other to prevent discrimination, and then to minimize, deny, justify or approve the genocide committed by the German national-socialist regime during the Second World War. There are also a whole range of initiatives at European level. For example, last year, at the request of the European Justice and Home Affairs Ministers, the European Fundamental Rights Agency set up a task force on crime, in which Belgium is taking the lead on the part that focuses on training models for law enforcement officials to deal with this issue. Specifically with regard to the spread of hatred, via the Internet, a number of things have already been realized by the federal police or by the Interfederal Equal Opportunities Centre. Many sites and internet forums also have codes of conduct that make clear what is tolerated, what actions will be taken against the users of hate messages. This gives the moderators of the websites the freedom to delete information that does not comply with these rules. There is also a lot of self-regulation on many sites. The Internet providers themselves are also aware of the problem because they can be held liable more quickly. For example, a cooperation agreement has been concluded between the federal police and the Internet Service Providers Association, representing 95% of Belgian access providers. In this Protocol, all parties concerned undertake to report content which they consider to be unlawful to the police and to take action at the request of the same police. In general, I would like to make it clear that, for all the initiatives taken by the government, we consult each time on the privacy legislation, that we also ensure that there is no abuse or arbitrary use of certain data or resources, and that we must, above all, ensure that privacy and security are balanced. After all, as has been said a number of times, privacy must not give way to security.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u4	Thank you, Mr Secretary of State. I have also been more active and militant in an earlier life and am aware that privacy is a very important aspect. But my group, and perhaps you too, together with the government, attach great importance to the fight against terrorism and to the security of citizens. I do, of course, see some justice in the question, but we continue to weigh up the policy of security and respect for privacy. It must be balanced. I note that the Minister of Justice's proposal, as expressed in a television programme, has not yet produced more concrete texts and that we should go to finalisation in consultation. I would, however, like to express a number of reservations. I hear in your reply that new or specific laws are not always needed. Nor am I in favour of creating a lot of new laws when there are existing ones in place. But I am in favour of agreeing even more specific rules on those hate messages. In Davos, Prime Minister Michel had contacts with Google. Next month, Deputy Prime Minister Jambon will go to the United States to meet on this matter. You will go to Riga with my fellow Members. I think the problem is well known. I believe that there are a number of other instruments that are likely to be overvalued, such as the opportunities offered by the Inter-federal Equal Opportunities Centre. I believe that there will be too little self-regulation on that side for this important story and that there can still be a higher gear, with other instruments. In any case, thank you for your answer.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u5	Mr Minister, I would like to return to a question that I asked you two weeks ago about the effects of the adapted nationality legislation. That legislation entered into force on 1 January 2013. The acquisition of Belgian nationality was subject to stricter conditions. For example, one must have knowledge of one of the three languages of the country, one must be integrated, have a legal residence, participate economically, and one must not have committed important facts of one's own. The number of procedures was reduced from 12 to 4. The figures we received last year showed that there was a significant reduction in the number of Belgian nationals. I asked you about this two weeks ago. I'm taking them back now because you still wanted to pull some data. Can you now tell me how many foreigners have acquired Belgian nationality on the basis of the adapted legislation? Have there been any acquisition of nationality on the basis of the old regulations? Is it possible to split up according to the methods used to acquire nationality? Can you observe an evolution based on the figures? Are there any bottlenecks that the administration is facing in its application?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u6	Mrs Van Cauter, I will group together the answers to the first three questions to give you an overall picture of the number of nationality acquisitions in 2014. I will not read out all the figures because the frameworks in which they are placed make it impossible for me to do so. You will be able to look at this in writing. My services have contacted the National Register to obtain the figures regarding the number of foreigners who acquired Belgian nationality in 2014 on the basis of both the old and the new nationality law. In addition, your Chamber has given us the figures on the number of naturalisations in 2014. The data we received on 27 January 2015 shows the following for 2014. A) Under the regime of the old provisions of the Belgian nationality code mentioned below, 7 517 persons obtained Belgian nationality, or 991 by declaration of nationality through Article 12a, § 1 to 3, 13 to 15, 16 and 24 of the Act. 3 005 obtained by naturalization, Article 19 of the Law. 3 521 acquired it through a collective effect, Article 12 of the law. The 991 acquired by a declaration of nationality may be further broken down in accordance with Articles 12, 13 to 15, 16 and 24. So you'll get those numbers. B) Under the new provisions of the Nationality Act, 9 968 persons became Belgian in 2014, or 8 103 by declaration of nationality through Articles 12a, 1 to 5 and 24 of the Law, 1 865 by collective effect, Article 12 of the Law. 8 103 can be further broken down in the way you can read. C) The total number of nationals must include the category of foreign nationals who have acquired Belgian nationality on the basis of articles not amended by the new Act, Articles 8, 9, 10, 11 and 11a of the Code, or which have only been formally adapted, in particular the new Article 11 which replaces the old Articles 11 and 11a. In this category 8 253 people have become Belgian. From this overview, therefore, it appears that in 2014 a total of 25 738 foreigners obtained Belgian nationality. As far as your fourth question is concerned, given that both 2013 and 2014 are pivotal years, where nationality acquisitions are still taking place under both the old and the new provisions, the greatest caution is needed to draw certain conclusions or identify bottlenecks regarding the evolution of the figures. The first findings which can nevertheless be made are as follows. First, the number of naturalisations decreased in 2014 to 3 005 files, where 8 168 foreigners were naturalised in 2013. However, it does not have any justification for the new legal provisions, since all naturalisations have been carried out in both years on the basis of the old legal provisions. Secondly, as regards the total number of acquisitions by nationality declarations, the old plus the new law, there is a decrease from 15 325 in 2013, to 9 094 cases in 2014. In 2013, about four fifths of the acquisitions were made by declaration based on the old law and about one fifth on the basis of the new law, while in 2014 only about one tenth of the files were handled according to the old law. Given the conditions of the new law, it is logical that in total fewer acquisitions were made by declaration of nationality in 2014. Third, with regard to the awards by collective effect, Article 12 of the Code, it can be noted that in 2014 there were 4 667 fewer files than in 2013 which led to the granting of Belgian nationality.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u7	Thank you for the answer, Minister. If I get the numbers, I'll check them thoroughly. From your answer, I conclude that no one has so far acquired Belgian nationality through the new law on naturalisation.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u8	We're gonna have to take a closer look at that. That is indeed what I am distracting from at first sight.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u9	Mr. Chair, Minister, a November 2014 news article reports an imminent discussion within the government about the allowances paid to inmates. A number of them receive allocations of several kinds, for an amount of approximately €4 million for 2013. In most cases, these are disability benefits as a result of an accident at work. That a person receives an allowance of any kind is something I'm not going back to. On the other hand, the fact that these allowances continue to be paid once people have been sentenced and deprived of their liberty appeals to me. Indeed, to be deprived of liberty, one must violate the law and commit a serious act. In addition, some inmates receive these allowances and do not even pay a share to their victim(s). Minister, can you tell me why the imprisonment of a person does not rhyme with the cessation of the payment of allowances, if there are cases where the removal of allowances is possible? Can you also tell me why inmates do not pay a share to their victim(s)? Finally, is there any discussion on this subject, in consultation with your colleague from Social Affairs, already being carried out with a view to reform in this area? More generally, what would be the main thrust of this possible reform?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u10	Mr President, Mrs Cassart, the detention of the holder of an allowance following an accident at work does not affect the person's right to that allowance or his payment. As a result, workers' compensation continues to be paid to their successor while in detention. The Workers' Compensation Act falls under the jurisdiction of a department other than the Department of Justice. Justice enforces existing regulations. In the context of restorative justice, the prison administration encourages convicted prisoners to compensate victims, if only through symbolic payments. Similarly, the conditions for early release often include an obligation to compensate victims. These are voluntary and individual approaches. There is no legal basis for requiring a detainee to compensate a victim, obviously outside of the application of the provisions of the Civil Code with regard to the enforcement of obligations. This applies not only to the allowances and allowances that an inmate receives, but to all of his or her income. With regard to your last question, I refer to the government agreement which states that the government will examine and adapt the consistency of the system of payment of social benefits to prisoners during the period of their incarceration. I shall proceed with this examination with my colleague in Social Affairs.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u11	Minister, thank you for this comprehensive response. As far as labour law is concerned, the aim is obviously not to withdraw any compensation from the person but to be able to contribute to the compensation of victims when they are in prison. I am pleased that you are making contact with your colleague, the Minister of Social Affairs, and that the issue is evolving. I'll come back to the subject after giving you time to work on this case.
