Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2015-06-23-54-commissie-ic199x	ParlaMint-BE_2015-06-23-54-commissie-ic199x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F	1973	
