ParlaMint-BE_2015-06-25-54-plenair-ip057x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u2	Ladies and gentlemen, there are a number of oral questions on the agenda, but I see that Mrs Almaci is asking to speak on the order of business. I suggest you listen to her first.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u3	Mr President, you already know what this is about. I put a question to the Minister for the Environment, Mrs Marghem, who is also involved in the climate issue that was brought up against our governments in Belgium. Mrs Marghem was on the list of ministers who were not excused and would normally be present in plenary. I then received a telephone call from the services of the Chamber that Mrs Marghem would have been prevented until 16:30 because of an appointment. Mr President, there are about 30 questions on the agenda today, which cannot possibly all be completed by 4:30 p.m. I have therefore asked Parliament to be able to put the question to Mrs Marghem. At first they wanted to refer my question to Mrs Galant, without any motivation. Then I got the statement from the appointment that could run until 16:30. In view of the large number of questions that I have put to the Minister for the Environment himself, I was able to hear that the agreement would last until 7.30 p.m. Mr President, this is not a way of working. This is to decide whether to answer a question or not, whereas that question is very relevant to our country. Even so, my question from Mrs Galant to Mr Bacquelaine has gone. I think this is an unacceptable way of dealing with Parliament.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u4	Mrs. Almaci, when I came in, I heard the same thing you did. I take note of that. I do not know Mrs Marghem's specific agenda. I will not comment on that, nor do I have any trouble with it. However, I do believe that there is an agreement on answering oral questions on Thursday afternoon. Consequently, it is supposed to be taken into account in its agenda, not to mention exceptions, such as the Eurogroup, European summits and so on. I will therefore write a letter to the Prime Minister asking him to be more careful. First it is said until 16:30 and you say you will wait until 16:30; then it turns out to be 19:30. That's a tough way to work. I will write a letter to the Prime Minister, with a copy to all the group chairmen.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u5	Mr President, thank you for writing that letter. As Members of this House, before 11 a.m. 00, the moment when the questions are to be received, we will go to the list of absences and we will ask questions on the basis of those presences. If we then hear different versions depending on whether a Member is flexible, then I think that due care should be taken about the absences and care in communicating to Members of Parliament, yours and ours. Mr President, I would like to ask you to inform Mrs Marghem now whether, as initially stated, she cannot be present. As you yourself say, Thursday afternoon is an important moment. My question is also really a question for her domain. It seems particularly serious to me if she is unable to reply.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u6	That concludes the incident. I will indeed ask whether she can not be here at a reasonable hour. I will also write the letter to the Prime Minister.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u7	Mr President, I would like to support my colleague Mrs Almaci.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u8	Mr Hedebouw, this point has already been settled. I'm going to write this letter and ask the services to call.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u9	We know how it goes with these letters, Mr. President. Last week, we discussed the possibility of a Member of Parliament asking the question to the minister he chooses. We have not been able to do this for the Prime Minister and today we come back with subterfuges at the timing level. We should have more respect for Parliament. I hope that letter will be "pocketed," Mr. President.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u10	Ladies and gentlemen, dear colleagues, I have the honour to welcome, up there in the presidential gallery, a parliamentary delegation of the Upper and Lower House of the Republic of India, led by Her Excellency Mrs. Sumitra Mahajan, Speaker of the Lower House of the Republic of India. Madam Speaker, dear Members of Parliament, very welcome to this House.
ParlaMint-BE_2015-06-25-54-plenair-ip057x.u11	Mr Minister, I would like to speak today about a situation on which I am very concerned, in particular the merger of Ahold with the Delhaize Group. It is a merger of two large groups. There is talk of a turnover of EUR 50 billion. Never in our history have we experienced such a concentration of various multinationals. Tomorrow, a company will get 50 million customers a week. We are, of course, very concerned about what will happen to the workers in our country. There may be a little respect when it comes to employees. I'm very concerned about what's going to happen within the group. In my view, the employees were deceived. For two years they have been told that in order to win the competition with Ahold, it was necessary to remove 1 800 jobs. To win the competition with Ahold, it was necessary to close ten stores. What, however, is evident today? Today it appears that there was already a merger between the directors of Ahold and Delhaize at the time. The goal was clearly to make the bride much more beautiful to sell to another multinational group. If there is something unacceptable, it is to have deceived the workers in their efforts. I have some specific questions. Firstly, there is concern about working conditions. Ahold has a tradition of great flexibility. Student jobs and temporary work are the rule at Ahold. The average hourly wage for these young people in a company like Ahold is 5.96 euros. Less than 6 euros an hour in a group like Ahold! So my first question is, Minister, will the government ensure that labour law is respected in the company? My second question concerns the establishment of 50 new Ahold stores on Belgian territory. This means that there will be competition between 2016 and today in the Belgian territory of companies in the same group. Mr Minister, will the Belgian Competition Authority intervene to ensure that the laws are respected?
