ParlaMint-BE_2015-02-11-54-commissie-ic091x.u1	Mrs Jadin cannot be present for her question No. 585.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u2	Mr Secretary of State, my first question dates from a while ago. The last time we saw each other, I understood that you would be sitting with the construction industry today. My first question therefore lapses somewhat. However, my question remains relevant because you have also announced that you will organise round tables with other risk sectors, such as transport, catering and cleaning. I have two questions. Any news? I understand you've been with the construction industry this morning. Is there any news on this? Are there any results? Have any plans been made yet? Are you planning short-term talks with the other risk sectors? Mr Secretary of State, I come to my second question on public procurement in the construction sector. You know that if a government wants to order certain services or works, it must rely on and comply with public procurement legislation. The legislation imposes a number of rules and procedures to allow open competition. In the case of a public tender, the contracting authority is obliged to award the contract to the candidate with the lowest price. This obligation sometimes encourages social fraud because the lowest price is sometimes very different from the other tenders submitted. The construction sector therefore proposes to exclude contractors with abnormally low prices. An abnormal price should then be understood as a price which can only be justified by the evasion of labour, social security or fiscal legislation. My specific questions are as follows. Do you share the concerns of the construction sector? Do you intend to raise the issue with your fellow officers in the federal government? Will you encourage the competent colleagues to review and, if necessary, adapt public procurement legislation so that public authorities can exclude candidates at an abnormally low price? What adjustments do you propose if necessary? Finally, the construction sector proposes to include the acceptance of abnormally low prices as a criminal offence in the law on market practices. How do you feel about this proposal? So I come to my question about electronic attendance in the construction sector. We have already discussed this issue in detail. Since 1 April 2014, the mandatory electronic presence registration has been applied to construction yards of more than 800 000 euros. This measure was introduced to combat social fraud and dumping in the construction sector. Those who fail to comply with the obligation can expect heavy fines since 1 January 2015. You have already explained that there is a distinction between theory and practice, whereby a transitional period is introduced. That's perfectly understandable. That is not the point, however. I have the following specific question. The main contractor is responsible for the registration of the presence of his own staff, but also of the employees and/or the self-employed in the chain below him. However, where a subcontractor continues to ignore this obligation to register, the subcontractor shall not only be fined. Will you change the sanctions policy so that only those who make the mistake will be punished? Do you have knowledge of companies that systematically apply the rules on electronic attendance registration on a voluntary basis to yards of less than EUR 800 000? Finally, my question about unfair competition in the construction sector. I don't have to tell you that the sector isn't doing well. Over the past two and a half years, there has been a job loss of more than twelve thousand equivalents. Recent estimates indicate that there are still 6 000 to arrive by the end of this year. An important cause is competition from abroad. The free movement of services and workers enables foreign workers to be employed on the Belgian market. We know that story, so I won't explain it in detail. It is good if this would meet the staff shortage or provide additional expertise. However, less good is when European legislation, which we do not question, is abused by companies, such as Polish Vakman, in the news a dozen days ago, which would organise unfair competition. This is done through the system of postings. In this system foreign workers can be temporarily employed in our country and must respect Belgian working and wage conditions, the well-known working country principle. However, this does not apply to social security. The posted worker remains subject to the social security system of the country of origin for a maximum period of two years and is therefore much cheaper than his Belgian counterpart. In concrete terms, the Confederation of Construction requires additional checks. However, these alone will not solve the problem of unfair competition because many short-term postings are perfectly organised legally. My first question is therefore whether you will encourage your fellow Members at European level to remove the system errors that encourage unfair competition from European legislation. Secondly, do you think that the working country principle should be strengthened and extended to social security? Thirdly, in the meantime, efficient controls remain, of course, necessary. What concrete steps will you take to combat the fragmentation of services?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u3	We are waiting a minute for Mrs Lanjri to come for her question No. 1923. In the meantime, Mrs. Lijnen can already ask her question.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u4	Mr President, Mr Secretary of State, there is some concern in the Netherlands about a form of social fraud which may not have been sufficiently noted and addressed before. In some countries it is possible to change identity several times legally. Only the personal number and the date of birth will be retained. This is possible in Croatia, Romania, Montenegro, Bosnia and Herzegovina, Macedonia, Serbia and Albania. In this context, I quote De Telegraaf: fraudsters can register with different identities in another country and create different social security files there. Mr Secretary of State, are you aware of this form of passport fraud? What is your opinion on this? What measures have already been taken and what will you take in the future to combat this fraud? What are your views on consultation with the countries concerned or with neighbouring countries? What is the extent of this problem?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u5	Mrs Lijnen, on the basis of the information currently available from the investigation carried out by the Dutch authorities, this possible fraud concerns only a very small group of about 15 people who may be subject to multiple registration. Moreover, as far as is known, no findings of fraud were made. I have already instructed my services to be very attentive to this issue. It was agreed that in the event of the slightest suspicion of identity fraud, the European Form U1 would be verified at the issuing authority and that the PPS would verify the right to social assistance. I have also contacted the competent Dutch Secretary of State, Mr Teeven, and the Benelux Secretariat-General. As the abovementioned cases of fraud would have occurred in the Netherlands, this seemed important to me. In the meantime, I have been in contact with the Secretary of State on the occasion of the European summit in Riga. In any case, within my policy area, I will continue to focus on data mining and on the crossing of data between inspection services, social security institutions, tax administration, the Crossroads Bank of Enterprises and other bodies, including to avoid the double use of social benefits or an improper accumulation of benefits.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u6	Mr Secretary of State, although it is a small group in the Netherlands, I believe it is necessary to remain very vigilant. In the past, among other things in the Senate, I have repeatedly argued for the importance of data mining. So I can only emphasise that our group supports you in this. Above all, it is intended to solve all forms of social fraud, which undermines our system of solidarity.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u7	Mrs Lanjri, I give you the floor for your question. 1923.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u8	Mr Secretary of State, recently there was a commotion about the Polish trade union company Belgium, which would make Polish workers available to Belgian companies without fulfilling the conditions to provide temporary workers or the conditions for posting abroad. The Confederation of Construction wants to take further steps. During the plenary session of 29 January, we heard from the Minister of Work that the Social Inspectorate is investigating the Polish Vakman Belgium company. The company would have been active in Belgium for six years. The investigation is still ongoing. How can it be explained that it takes so long for the inspection to take a decision in such cases? What steps will you take to facilitate such procedures in the future, so that certain abuses can be dealt with more quickly and more quickly? At the last meeting of the Social Affairs Committee, you said that the round table with the construction sector would take place this morning. Are the problems with the said company or similar companies on the agenda? What subjects were discussed this morning? What concrete actions and arrangements have emerged from the consultations with the sector?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u9	Mr President, ladies and gentlemen, I have just come from the discussions with the construction sector. We are dealing with a European market, with European integration. Everyone must be aware that the free movement of goods and services is accompanied by a number of added value. It is good that the principle of the free movement of goods and services in Europe applies. It is sometimes necessary to be able to employ workers who are not immediately available on the Belgian market, but of course we have a great deal of competition. As Secretary of State, I am responsible for combating social fraud and not social security, as was said wrongly last week. I believe that fair competition is included. In fact, it would be better for the State Secretary to be responsible for fair or loyal competition. We are faced with dumping, which is a major challenge, not only for the construction sector but also for a number of other fraud-prone sectors, such as transport, cleaning and meat. I also spoke this morning about the company called 'Polish Vakman'. I take this opportunity to support the measures in my action plan against social dumping, which I have taken up in my policy letter and defended in Parliament. I believe that the organisation of a single point or contact or a contact point for social fraud is a matter of great urgency. We need to get rid of all kinds of Kafkaian situations in that area. Indeed, information about malpractice reaches the inspection through all kinds of channels, even through my mailbox at home and through the cabinet. Not only is the collection of information not organised, but also the handling of complaints is not organised. For example, I'm receiving a complaint. I'll give it to my deputy secretary, who'll then pass the complaint on to some social inspection service. Well, then no one can follow where the complaint is and where the information is brought together at some point. This morning I was informed through the Bouwunie of a complaint about a Polish company using similar advertising. In short, it is essential that we centralise the information, because the social inspection services do have data from social security, the RSZ and the RVA, but the practical information on the field depends on external sources. Just so we're clear, this isn't about a click line. It is a hotline where trade unions, employers or private individuals can report fraud and false competition to the Social Inspectorate, which compiles the data and then acts in an organized manner. I believe that this is absolutely necessary and crucial in the fight against social dumping. Secondly, I also made it very clear this morning during the consultation with the construction sector that we should take a number of initiatives at the same time on three fronts. That has also been very well received. First and foremost, we have national rules which should be able to be used in the fight against social dumping. If we are to take action, they must be effective and immediately effective. There is no point in creating rules and new laws and procedures, which are not being used or whose compliance is not being checked. I will also consult with Mr Francken with a view to more transparent and simpler procedures, which can be monitored at national level. Everyone is aware that action must also be taken at international level. For example, I would like to see a cooperation established at Benelux level and Benelux-plus level. To this end, two months ago, I sent a letter of intent to the Prime Minister of Luxembourg calling for a joint approach to social dumping, which I confirmed recently at the Belgium-Luxembourg summit. Next month I will go to The Hague, where I would also like to agree with my Dutch colleague, Mr Van Werk, on a number of measures which we can implement together in the Benelux. I want to go even further. We have already agreed with the Benelux countries, France, Germany, Austria and Spain on a common approach to security in the Prüm Convention. We have also taken steps together with the Netherlands, France and Germany against the anti-privacy policy of Facebook. We must also do so in the area of social dumping. There is already a well-functioning instrument at Benelux level. That is what we need to do in order to take joint action, together with France, Germany and Austria, at a Benelux-plus level. If a number of bilateral agreements are made with France and Germany, we can make progress. In my opinion, this road has been too little gone before. There is also the European level of policy. The regulation in this area is not so obvious. Let us think about the issue of issuing A1 forms and their monitoring. Indeed, Europe is always rather reluctant to adopt new rules that hinder the free movement of goods and services. During my interview with European Commissioner Marianne Thyssen, it became clear that we are on the same wavelength in the fight against social dumping. We do not touch the free movement of goods and services, but we do need means of control from Europe to deal with unfair competition and fraud, such as mafia situations, up to and including trafficking in human beings. It is about the preservation and creation of jobs and about economic growth. Firstly, we want to eliminate unfair competition in the important construction sector. Europe must give us the means to do so and to tackle fraud mechanisms. There are many possibilities. This morning I listed a number of proposals with both trade unions and employers. I have asked them to put forward priorities on which we agree and for which everyone with their European partners can take a number of measures very quickly and efficiently, including on public procurement. Mr Raskin, I agree with you 100%. If we allocate the tenders as we do today, the contract will always be awarded to the lowest bidder. As a government, it is our duty to check whether there are no obvious possibilities of abuse in that tender. That could be about the use of materials. That's a new element that wasn't in the question. The materials sometimes do not meet European standards, because some self-employed people bring them from abroad, are not controlled by our services and are not in good health in terms of safety and sustainability. In terms of wages and social security, there may also be shortcomings. If it is found that in a public tender the prices are clearly below the normal prices, the public authorities have a duty to carry out at least a quality check and to check whether they are setting an example. The same applies to the local authorities. In my view, it is a principle of good governance and good governance that we control the means to carry out a work. We do not have to take the highest price if we do not have to, but it is our job to check whether the public tender is not awarded to malicious firms which do not comply with the rules in force. An abnormal pricing should be checked. I have just concluded a protocol with Deputy Prime Minister Homans for cooperation between the social inspection services and the Facilitair Bedrijf Vlaanderen. That too is fresh from the press. Mrs. Homans will be communicating on that today. The protocol means that in the implementation of public contracts awarded by the Facilitair Bedrijf Vlaanderen, we will check whether everything is in order in the area of legislation to combat social fraud and illegal employment. That protocol was closed today. You will notice that there is still cooperation in our country, not only in the federal government, but also between the federal government and the Flemish government. I have received another question about the electronic recording of presence in construction. I believe that it is absolutely necessary and I also believe that all the parties agree on this. The only question is what is the cost of that. We must only be aware of the fact that we need to be able to determine who is allowed to be present in a yard when carrying out checks. Today we are talking about companies that have a turnover of more than 800 000 euros. I don't think that's enough. I believe that we need a general registration at the yards. We will discuss this with the social partners in the coming months. I feel a certain willingness on their part to take the necessary steps. Not only domestic workers, but also foreign workers must register. We have the great advantage that a few weeks ago the European Court gave us the permission to have the Limosa notification obligation applied to foreign workers. The big problem lies with the self-employed and false self-employed. In this respect, I made specific arrangements with Mr Borsus this morning. He will evaluate the law on employment relations to address the problems of the self-employed and the bogus self-employed in the yards. We must achieve results in this area. We also note that in recent months more and more foreign workers have been registered through Limosa. A number of problems have arisen in this area, but they have now been resolved. A possible merger of inspection services is regularly requested. Allow me a moment to look at how the various inspection services work on the ground, so that we may be able to make proposals for more efficient operation in the course of the legislature. Moreover, it is an illusion to think that the merger of inspection services is the only solution. Fusion and cooperation is a means, but not an end in itself. In other words, I do not want to go over a night of ice and engage in dialogue with the inspection services. The government has also decided that the inspection services should not be reduced in any way. Unlike the savings operation in other services, it has approved the deployment of additional inspectors on the ground. I realize there's a problem with the working country principle. I am very much in favour of a European procedure for collecting social security contributions. If someone is posted here, we would collect the contributions here and pass them on to the country of origin. I believe that is what the trade unions and employers are asking for. Of course it is not so easy to organise this within Europe, but that could be one of the points of attention. In the meantime, it is important that we respect European rules, but that we also convince the countries of origin such as Romania, Bulgaria, Cyprus and Portugal that they lack income by allowing fraud in these systems. As long as someone follows the rules, there's no problem. There may still be some form of difficult competition, but if someone clearly does not comply with the rules, then we are missing income from social security and the country of origin also misses that income. The point is to convince the countries of origin that we need to work together to roll out the fraud systems. According to the reports I'm getting from the Social Inspectorate, there are straightforward mafia situations in this area. It is also about degrading situations where workers are brought here and have to work at dumped prices that are really scandalous. They must then stay here and stay overnight in circumstances that are no longer possible in our parts and at this time. I believe that we need to build up files on this, because there are European procedures for bringing these files to European level if there is evidence that there is social fraud. I asked my inspection services how many files are pending today to convince my fellow officers abroad and in Europe. Apparently, there are no files. I said immediately that as Secretary of State, I do not accept that existing procedures, however difficult they may be and however much they may be simplified, are not being used to show Europe and the countries of origin that something is actually going wrong. So I have instructed my services to compile files so that in future I have a suitcase full of files and not an empty suitcase to convince my colleagues in other countries that together we need to roll up the fraud systems in the interests of everyone, the companies, the employees and the public authorities themselves, who lack a lot of income due to practices that completely disrupt our social security system.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u10	Thank you, Mr Secretary of State, for your detailed explanation. Indeed, it is not just about the impact on our economy, it is also a humane response for exploited workers. You are sending a clear and pleasing message: we absolutely must not allow free movement to be abused in order to organise unfair competition. I do not question its added value, we do not challenge that basic principle. However, we must tackle the fight against social dumping, which is largely at European level. I am also pleased that you will take concrete initiatives at Benelux plu level to form some sort of alliance and thus be stronger at European level. Everyone is aware that it is not so obvious to move in this case, but we must not let that happen. You are again talking about the full suite with which you are moving to Europe to negotiate with a number of countries at risk and to convince them that a number of measures are now really insisting. We support this and hope that it will be effectively implemented in the short term. It seems clear to us all that workers should be posted because of their skills and expertise, not because they are much cheaper. We are already learning from a communication from the Confederation of Construction yesterday, which talks with French colleagues, that you can indeed form alliances. There are certainly partners to find to set things in motion. I am not saying that you will fall into that trap, but I repeat that we must be careful not only to look at Europe. We must not forget to sweep at our own door. The fragmentation of inspection services and fragmentary inspections are a problem, although we must be careful not to create a witch hunt for bona fide businesses. I think we're on the same page in that respect. Furthermore, I am particularly pleased to hear that we share the same view of the system errors in the working country principle and that an initiative needs to be taken as a matter of urgency. It is indeed scandalous to note that there is a procedure, but that it is not used for any reason. Given the scope and the seriousness of the problem, I think you should become a trendsetter with your European colleagues to get the wheel running.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u11	Mr Secretary of State, I realise that social fraud is a complex problem that needs to be addressed at federal, regional and European level and also at Benelux level. You have also given a long explanation of the measures involved. I also understand that the collection of information has gone a lot the wrong way and that complaints end up at different levels. I'm glad you're going to centralize the information collection at a hotline. In the case of the construction company, however, there is a very clear case. It is a clear conscience and the inspection is well informed. One cannot say that it is not known. We know that rules are being violated in the field of posting and the conditions relating to temporary work. That company's been active for six years. However, we seem to be unable to stop the company. Our procedures, especially in the courts, may sometimes take a long time, but this is a case that the inspection has known for a long time. My question was, therefore, how is it that we are unable to respond in the shorter term to a case known to the inspection, to which everyone is looking, which other employers say is being unfair competition and which the trade unions say is being exploited? That can't take six years, can it?
