Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ÖzenÖzlem	Özen, Özlem	F	1978	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2015-10-28-54-commissie-ic257x	ParlaMint-BE_2015-10-28-54-commissie-ic257x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-10-2015	2015-10-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
