Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ThiébautEric	Thiébaut, Eric	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
