Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DumeryDaphné	Dumery, Daphné	F	1974	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	PirlotSébastian	Pirlot, Sébastian	M	1971	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x	ParlaMint-BE_2015-01-07-54-commissie-ic045x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-01-2015	2015-01-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
