ParlaMint-BE_2015-03-03-54-commissie-ic103x.u1	Mrs Becq is absent because of illness.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u2	Minister, a few weeks ago it was announced that France and Belgium compared DNA samples from their databases. Apparently, 4 287 agreements came out of this. There is now a lot of work on the table to turn the agreements into hard research results. The NICC expects to have about 16 months' work on this, but the NICC also fears that the DNA team will have to reduce with three employees from April this year, as their contract expires. However, the intention is to extend the international exchange of DNA data to the entire European Union. There should also be sufficient staff at the Federal Office, which manages the national DNA cell, for the processing of the new information. First of all, is it true that three contracts expire at the end of March 2015 at the NICC DNA team? Secondly, do you intend to adapt it so that the processing of the results does not delay? Thirdly, if not, what impact do you expect the reduction in the number of employees to have on the processing of the data from France?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u3	Mr President, Mr Van Hecke, I should first like to apologize, the Lebanese Minister of Justice was a guest of mine and he arrived at 3:40 p.m. at 3:00 p.m., when he had to be there at 3:00 p.m. He called the Brussels taxi fare manifestation as an excuse. I kicked him out at 4:10 p.m. and then I went into confrontation with the taxi fare sector myself. Mrs Özen, I would like to apologise to you personally because I was waiting for the Lebanese Minister of Justice at 3.00 p.m. He arrived at 3:40 p.m. because of the taxi strike. He left me at 4:10 p.m. and then I went here. Please excuse me, I'll never make you wait again. I don't speak for others, I speak for Mrs Özen.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u4	Minister, there are witnesses! [[(...): (...)]]
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u5	This isn't the first time I've promised her. (...) : (...)
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u6	Mr Van Hecke, the international DNA data exchanges are carried out by a team of three experts from the National Institute of Criminal and Criminology. They are funded by the European Commission through the project The Prüm Implementation, Evaluation, and Strengthing of Forensic DNA Data Exchange - PIES. Given the current reduction in staff resources, their extension cannot take place on the NICC staff plan. The extension of these contracts would be carried out through the successor to the ISEC programme, the ISF programme "Interim Security Fund', which will be launched in 2016. In order to ensure the continuity of the international DNA data exchange, the exceptional measure to pay the contracts of two researchers with own resources will be invoked through the Budget and Civil Service Ministers until June 2015. The Finance Inspectorate gave a positive opinion on 6 February 2015. These employees have been trained for more than a year to carry out these tasks. As soon as a positive response to the exception is obtained and European funds are made available, the continuity of the international DNA data exchange can be ensured until June 2018. In the two decisions of the EU Council of 2008, No. 2008/615/JHA and 2008/616/JHA, it was established that DNA data are automatically exchanged between all European Member States. An agreement was also concluded with Iceland, Norway, Liechtenstein and Switzerland to exchange DNA data. Each Member State is intended to be operational with any other Member State in the long term. Currently Belgium is already operational with respect to the Netherlands and France, but preparatory tests were carried out with Germany, Luxembourg and Slovakia. These were successful. Additional staff will also be needed on the federal prosecutor's national DNA cell. At present, 84 percent of the links with the Netherlands and 35 percent of the links with France have already been dealt with. Each Member State is responsible for managing and keeping up-to-date its own DNA database. Each Member State shall decide whether or not to take the initiative to follow up the case. In the case of an agreement between a track profile and a passenger profile, it is generally the country holding the track profile that takes the initiative and requesting the personal and file data from the country holding the passenger profile. Additional costs are not, in principle, incurred. There is no cost involved in requesting the personal and file data. If additional analyses are required, e.g. if there are initially too few genetic markers results, they are not invoiced by the DNA laboratories.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u7	Thank you, Minister, for the very interesting answer. It is good that you were able to outline the method and the results. It also shows how important it is to continue this work. I am pleased that a solution has already been found for two employees. Apparently, you received a positive opinion from the Treasury Inspectorate. That is not always the case in the past few months, I understand. The possible results from such a competition may be particularly important to clarify crimes. I hope you will manage to keep sufficient staff at the NICC for that interesting investigation.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u8	Mr President, Minister, a number of fellow MEPs have already asked you a number of questions over the past few weeks and months about the non-implementation of the staffing framework in various courts and courts. Certainly the situation in East Flanders was discussed, which is really precarious because several chambers at the court of first instance have already been closed. Mr Van Hecke, for example, has asked a question recently. You have already stated that you will soon be looking for solutions to the problem by speeding up the filling of vacancies. I also remember the debate on the policy paper and the debate on the budget, during which you said that you want to achieve the savings contained in the federal government agreement at a calm and realistic pace, particularly less quickly at the beginning of the legislature and a little faster by the end of it. Of course, I understand and accept that the federal government stands for a savings plan and needs to become financially more self-sufficient. However, this must be done intelligently. What about the various criminal chambers, in particular the tax, financial and social chambers, which deal with such matters in the courts and courts? They carry out a crucial task of collecting sometimes significant amounts due to the State, either in the form of taxes or in the form of fines or forfeited goods. The magistrates in these chambers shall pay fines and forfeitures, the amount of which shall often constitute a multiple of the remuneration owed by the State in the form of a wage or wage. From a purely budgetary point of view, the magistrates in those chambers provide the State with more than they cost the State. Moreover, should a more effective policy of criminal enforcement be pursued, the proceeds generated by fines and confiscations could also be collected better and more quickly. You are at the beginning of the legislature. The above are a number of peripherals. It would be logical, therefore, to consider the state's intelligent financial management and at least to safeguard and even strengthen those chambers rather than merely being the subject of the planned savings. Consideration should also be given to strengthening the means of investigation and support for magistrates in the prosecution of these offences. That's why I have the following questions. Firstly, are tax, economic, financial or social chambers closed at the criminal courts today because the staff is not filled in? If so, what do you intend to do about it in the short term? Do you foresee a specific solution with regard to the rooms that would already be closed? Secondly, are you considering strengthening the staffing of these specific chambers, as this could lead to a financially beneficial end result for the public authorities? Thirdly and finally, are you planning changes to facilitate the collection of fines and forfeiture of property?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u9	Mr President, Mr Lachaert, I do not have any figures on possible closures of tax, economic, financial or social chambers. It shall be the responsibility of the first Presidents and the Presidents to organise the classification of Chambers and to determine the capacity for which matters are to be devoted. As I said at the committee meeting on 22 January, I found in my contacts with the judicial authorities that, in these times of reflection on the optimisation of staff deployment, they are thinking exactly about specialisation, either through the concentration of certain matters in a department, for example through the division of cases rules, or through the mobile deployment of magistrates in the jurisdiction. As far as the collection of fines and forfeited goods is concerned, there is indeed room for improvement. However, I must stress that the collection of fines, court fees and confiscations is also and above all the task of the recipients of Domains, who belong to the FPS Finance. This does not alter the fact that justice can also make a contribution in this area. In a recent past, efforts have already been made to effectively obtain imposed fines, court fees and confiscations in the Treasury. Reference can be made to the law of 11 February 2014, which introduced the criminal execution investigation. This whole new type of investigation is registered in the Code of Criminal Procedure and is defined as the whole of acts intended to detect, identify and seize the assets on which the sentence for payment of a fine, a special confiscation or court fees can be carried out. Over the past few months, the public prosecutors and the public prosecutors have been preparing to launch such investigations. Through the College of Attorneys General, a circular was sent to explain to the prosecutors the need to deal with such investigations. At the beginning of 2015, the necessary training days were organised through the Institute for the Judicial Training, on which the magistrates were able to discuss in detail all the possibilities of this new legislation. In several sectors, internal agreements have been and are being made to use this new instrument. The same Act of 11 February 2014 also provided for the establishment of a consultative body for the coordination of the recovery of non-tax debts in criminal matters, with the various actors involved in this issue seeing each other regularly and developing various measures within the framework of an action plan agreed by the other Justice and Finance Ministers. In addition, there are concrete plans to greatly improve the operation and role of the Central Commission for the Confiscation and Declaration. A draft law is currently being prepared in which the law of 26 March 2003 establishing the COIV can be substantially amended in order to strengthen COIV in its role as an interface between Justice, Registry and Public Prosecutors, on the one hand, and the FPS Finance, on the other. In this context, new provisions were introduced which would reduce court fees, but also provisions that would increase COIV's management tasks in relation to seized asset benefits, making it easier to recover confiscations and fines handed down by the court on previously seized funds or assets. It also provides for a staff reinforcement of COIV, in addition to and above the improvement of existing ICT support, allowing COIV to act more effectively in its legal role as coordinator of the enforcement of judgments and judgments, which are forfeiture.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u10	Thank you, Minister, for your detailed reply. As far as the occupation of the boxes is concerned, I understand that you say that you do not have any figures on the closure of rooms. However, I think I know that there are, at least in East Flanders, and that is, of course, not a good thing. Knowing that these kind of chambers provide the State with money, I believe that this matter should be included in the discussions with the Presidents. If we are to come up with a forward-looking plan for justice, and we have to look at the budget, then we must look at both the revenue and the expenditure side. It does not help to close such chambers; on the contrary, they must be able to function very well in order to have justice. As far as fines and forfeited goods are concerned, I have heard many initiatives. Thank you for that and I fully support you in that. Of course, we will continue to follow up on this matter in this committee. The strengthening of COIV is also a very good thing. We are looking forward to that, because there is a great deal of revenue to be made available to the federal state in this area too.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u11	Mr Minister, I would like to talk about the figures relating to rapes. The official figures are hallucinatingly high. For 2012, police statistics indicate 3 053 rape complaints. That's actually 8 a day, something to think about. We also assume that this is only the tip of the iceberg because several studies show that only 10% of the victims make an official report. This is, of course, a subject that women's organisations have rightly been concerned with for a very long time. Very recently, the Women's Council has collected a number of anonymous testimonials from victims with the website "I am no longer silent." A number of recommendations have also been made to the government. I would like to emphasise very strongly that there is actually very little lack of legislation. It's not like there's any big gaps out there. There are sufficient resources, both at the judicial level and at the Home Office, for the police to deal with rapes. However, women's organisations have repeatedly noticed that in practice the application really leaves a lot to be desired. A first major recommendation made by the Dutch Women's Council is more coordination between three departments, namely Justice, Home Affairs and the whole welfare sector. However, they also make a number of very specific recommendations. In the field of justice, it is very specific about the dismissal of cases. We often notice that the 10 % that is indicated is eventually dropped. We do not believe that there will be enough action to find and condemn the perpetrators. They are asking me very simply, Minister. In the meantime, have you taken note of the recommendations of the Women's Council? Are you going to answer that? Do you have any specific measures in mind in this respect?
