ParlaMint-BE_2015-01-28-54-commissie-ic069x.u1	Mr. Bonte's not coming.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u2	Minister, we believe that our pension system contains an injustice, which is also quite easy to eliminate. It is a result of the Programme Act of 28 June 2013. Article 91 provides for a ban on cumulation of retirement and survivors' pensions from the public sector with a replacement income. No exception was allowed. It is now clear that this scheme is not really in line with the situation of people who have worked in the system of workers and in the system of civil servants. More specifically, this creates a precarious situation for a person who combines a half-time employment in the private sector with a half-time employment in the public sector and becomes sick and permanently disabled, and should therefore fall back on a replacement allowance. Let me give you the example of a woman who is finally declared physically unfit by a severe cancer treatment. She has worked full-time throughout her life, albeit with two half-time contracts: half-time with the government and half-time as an employee. After being declared unfit and having applied for her retirement pension for permanent physical incapacity, she is informed that she must choose and that she cannot combine her pension with a replacement income. Firstly, do you recognise that this ban on cumulation is not sufficiently flexible for the cases where people find themselves combining two half-time jobs, in the private sector and in the public sector? Secondly, do you acknowledge that, despite their years of full-time contributions to both systems, those workers are de facto only entitled to a half-time benefit as a result of the ban on cumulation? Thirdly, what measures are you planning to take away this injustice? Fourthly, how many officials with a pension due to permanent physical incapacity received a suspension of a replacement income by introducing the cumulation ban? In how many cases are people who combined two half-time functions in the two systems? Finally, how many civil servants with a pension for permanent physical incapacity received a suspension of their invalidity benefit as a result of the introduction of the cumulation ban? In how many cases are these people who combine two half-time functions in the two systems?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u3	Mr President, Minister, I shall put my question to you. 1385 couples. My other question, No. 1213, was an old version of the same question. I agree with the question put by Mr De Vriendt, who has described the problem as well as correctly. I would like to add another dimension to that. By the end of 2014, PDOS sent a letter to the persons concerned informing them that the pension payments for 2014 will be recovered. However, there is a problem. After all, the programme law had effect from 1 January 2013, but the article in question did not take effect until 1 September 2013. The intention was to give the entitled persons concerned time to make that uncomfortable choice and thus to avoid, as Mr De Vriendt pointed out, that they would have to repay sums unduly paid. Both sickness funds and PDOS depend on the data provided by the Crossroads Bank. It should be added that, pursuant to Article 235 (1) of the Royal Decree of 3 July 1996, sickness funds must check whether a reduction is to be applied because of the combination of an invalidity pension and a pension. They therefore have that information and could possibly have communicated it. Mr Minister, first of all, do you believe that the PDOS has made mistakes in communicating the consequences of Article 91? Secondly, is there in some cases an error in the sitting of the right holders? Thirdly, from when did the PDOS become aware through the Crossroads Bank of which other benefits the beneficiaries benefited from? How do you estimate the role of the health insurance funds? Could they have known that before the PDOS and had to communicate about this? How will the further handling by the PDOS take place? I would like to ask these questions, on top of Mr De Vriendt's questions about the substance of the problem itself, which obviously also needs to be addressed.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u4	The new cumulation rules, introduced by the previous government by the Programme Act of 28 June 2013, indeed impose a complete cumulation ban on pensions of the public sector with a replacement income, so that the pension is suspended during each calendar month in which the person concerned receives a replacement income, unless he fails to pay his replacement income. It's in Rule 91. In the case of a pension for physical incapacity, the complete prohibition of cumulation leads to undesirable situations in certain cases. The Public Sector Pension Service, PDOS, did not have any information on replacement income in September 2013, as the cumulation was allowed at that time. The service was therefore unable to notify the persons concerned immediately. It is only from September 2014 that the PDOS had the annual data of the 2013 replacement income available for the first time. The data were provided by the Crossroads Bank of Social Security. For this reason, I believe that the PDOS has not committed any error in the implementation of the measure. I have taken priority measures to put an end to the situation, because the application of the measure creates a social problem. Thus, on the one hand, I gave instructions to the PDOS so that the payment of pensions for physical incapacity could no longer be suspended in the future in the case of a cumulation with a replacement income and the reimbursement of pension benefits already paid is no longer claimed. On the other hand, I asked PDOS to urgently draw up a draft text to end the ban on cumulation with effect from 1 January 2013. The adoption of the text will lead to the re-admission of the cumulation of a pension for physical incapacity with a replacement income. It will also allow the pension amounts suspended in 2014 to be repaid without further disputes. The text will be submitted to the Chamber shortly. A specific question has been asked about the role of the sickness funds. I cannot provide any information on this, as the sickness funds belong to the Minister for Social Affairs and Health. At the moment, I cannot give definitive figures on the number of people in this situation.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u5	Minister, I am very pleased that you clearly recognise the problem and will resolve it with a legislative initiative. The case will therefore be resolved from 1 January 2015 with full retroactive effect until 2013. It is also a problem which the Pension Office has been aware of. There was no justification for such a situation. It has led to distressing situations among those concerned. It is therefore only the most normal thing in the world that the problem is resolved as quickly as possible, for which I am grateful.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u6	Mr President, I too would like to thank the Minister for the initiatives he has taken in this respect. Perhaps the issue is a good reason to consider whether the data of the Crossroads Bank cannot be passed on faster and more accurately. After all, we must not forget that the effects are now being reversed, but that right holders have been in this situation for a long period and may have borne financial consequences. In addition to these financial aspects, they have long been in the saddest knowledge that they should continue to live in this new situation. Thank you again, Minister, for your solution to that problem, with the cooperation of our Members of Parliament, whom we will be happy to provide. The problem must make us aware of the sometimes unpleasant side-effects of what good legislation can be.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u7	Mr President, Minister, you have recently given a number of interviews. Quite rightly, because the issue of pensions and pension reform is of course a matter for many. You stated on 12 January in La Libre Belgique that the National Pension Committee would enter into force in March or April. Our group believes that this is not too early. It is high time the bull was caught by the horns. I read in the government agreement that the National Pension Committee will be tripartite, made up of representatives of the government and the two social partners. Social dialogue will then take place within that committee. Support is also provided by a knowledge centre for pensions. The Federal Planning Office, the Study Committee for Ageing and the universities are to be closely involved. When discussing your policy paper, I have already pointed out that we must pay attention so that we continue to see the forest through the trees. Overinformation can cause indigestion. An important principle in our pension system is intergenerational solidarity. Without being reproached, because the situation is what it is, we find that, economically speaking, the generation that is now retiring receives more from the system than it has contributed to. It looks like it will be the other way round for future generations, which naturally puts pressure on our pension system as such. That leads me to three questions for you. Firstly, to what extent has cooperation between the knowledge centre for pensions and the other centres of knowledge already been established? What measures are being taken to ensure that the best use is made of know-how within the administration and that there is no duplication of effort? Secondly, the social dialogue within the National Pension Committee will have to consider transitional measures, the transition from one pension system to another and the harmonization of the different systems. Of course, you must wait for the social dialogue. That goes without saying, but can you tell me what the margin is for negotiation? What is the timetable for the consultation? What will happen if no agreement is reached? Thirdly, as far as intergenerational solidarity is concerned, it is perhaps not imaginary short-term thinking that pension policy in the past has been too marked by the fact that the social partners would propose measures that would not put the cost of ageing at the grassroots level right now, but that would move to the next generation, which would, of course, put a great deal of pressure on our pension system. To what extent will the government be able to ensure that solidarity with future generations is given sufficient attention?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u8	Mr President, Minister, Mr De Roover's question is a little more extensive than mine. I limited my question to the National Pension Committee. We have known the Committee on Pension Reform which has delivered its report and has itself proposed to make it a permanent pension committee in order to ensure the follow-up. That initiative was taken up in the coalition agreement. It stated that we must establish a National Pension Committee that will play a crucial role in monitoring the financial and social sustainability of our pensions. You have announced that this committee will be set up. A National Pension Committee is provided for, as well as the government agreement that a knowledge centre for pensions will be set up to take care of the services and know-how of existing pension institutions. The Federal Planning Bureau, the Study Committee for Ageing and the universities would also be involved in the operation. In addition, the Pension Reform Committee would be asked to act as a kind of academic council. Minister, I have a few questions about this. Firstly, how are the preparations for the establishment of the National Pension Committee going? Where are you on the composition? Which persons will be included? Do you already have a look at the agenda that you will provide? Or will you not? Which topic will you propose as a priority? I believe that this element is also important. There is also a demand for the composition of the knowledge centre. Will it be operational after the establishment of the National Pension Committee and go into consultation with it? How will that trio work with the National Pension Committee, the knowledge centre and the committee that has to follow things up? After all, these three bodies will have to coordinate for the future of our pensions.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u9	Mr President, the draft texts are currently being prepared. At this stage, therefore, I am still unable to let you know which organisations will be represented or what the number of representatives will be. That's for the Group of Ten. You're being prudent. At this stage, it is too early to set a precise agenda for the National Pension Committee. In any case, I can tell you that I intend to have the file on the heavy professions evaluated as a matter of priority by the National Pensions Committee, as well as that on part-time or part-time pensions. Until the establishment of the National Pension Committee, I asked the Pension Reform Committee 2020-2040 to prepare the National Pension Committee's tasks on these issues. The Centre of Knowledge will be composed by experts with the necessary capacities to provide the expected support. It will start simultaneously with the National Pension Committee in order to be operational simultaneously. The measures laid down in the government agreement are precisely designed to take account of our intergenerational solidarity, since they encourage all our fellow citizens to work a little longer and this from today on.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u10	Minister, unlike the previous question, it was more general. I cannot therefore expect you to respond in detail. I have probably missed your answer to the question of what timetable you want to follow. Or maybe you didn't answer that. I would like to hear this on occasion, because there is a need for some haste. I trust that you will ensure that all information reaches us in a coordinated manner where it can be used meaningfully.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u11	Minister, I had also asked about the timing. I understand that you have submitted this to the Group of Ten and that the decisions will be taken on the basis of that consultation. I suspect and hope that this will happen in the near future. I think it is important that you put the heavy professions forward as one of the important issues to be discussed. It is difficult to begin with the demand for adapted tantiemes if the heavy professions are not included. There is also a demand for a shorter career due to a heavy occupation and to the criteria that are eligible for it. Will there be room for the people of the National Pension Committee to set priorities for themselves after mutual consultation? I can imagine that they would like to take other files with them. I am thinking, for example, of supplementary pensions. It is often said that they should be encouraged for everyone, including those who are not entitled to them now. This is an important issue for the weaker sectors. The point system will also need time. Good preparation is needed in this respect. It has never been the intention, through the point system, to achieve a reduction in the pension. There must be sufficient time and space to ensure that the point system does not prejudice certain people. We look forward to that.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u12	Mr President, Minister, my question dates back to October last year. It was a bottleneck at the time, but I understand that a number of questions were answered in the meantime. However, you will understand that people are a little panicked when the government agreement announces a number of measures relating to their pensions, especially those that are not as far away from their possible retirement date as possible. Even now there are doubts and doubts about the diploma bonus, the tantiemes and the extension of the early retirement pension. Of course, people ask themselves questions. We then forward them to the pension number or to their services to ask for information, including for the files of the PDOS, where they have been told at some point that there is no more information. Diplomacy would then enter into force in 2015, meanwhile this was shifted to 2016. I ask this question to know to what extent this has now been fully resolved? Are there any gaps? Shouldn't that be communicated more clearly? There were bottlenecks experienced in the PDOS. Was it necessary to block all the files? I was told that all the files were simply withdrawn. Have any initiatives been taken on this? Is there social dialogue to reach agreements? We know that in the meantime some measures have been taken, for example the KBS. In what way are people treated who have asked for information and did not receive an answer? Are they automatically re-contacted if there is any clarity? In what way have these agreements been made? How will communication take place as long as there is no clarity on some issues?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u13	Mr President, I do not think we can talk about a blocking of pensions, since in practice no dossier has been blocked. The Public Sector Pension Service has merely postponed the dispatch of a number of pension decisions. The pension files themselves have not been blocked, they have always been treated. The messages in the press and the emotions of the citizens are the result of a far too broad interpretation of the measure taken. The PDOS wanted to take a measure that would protect officials from wrong information that could lead them to wrong choices. The PDOS, an institution that accepts its responsibility, has also wanted to protect itself in case it would pass incorrect information on to officials. In fact, certain pension decisions were not sent to the addressee from 13 October 2014. The shipments have been renewed since October 2014 following a consultation between the PDOS and myself. Since then, the situation has been normalized. The preliminary draft law on the abolition of time-bonification due to diploma, permitted work for the retired and the abolition of the pension bonus was adopted by the Council of Ministers on 7 November 2014. The texts were forwarded to the Public Enterprises Committee and to the A Committee so that social dialogue could take place in accordance with the usual procedures. Social dialogue at the A Committee is still ongoing.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u14	Minister, I am well aware of the problem facing the officials responsible for providing the information. I certainly don't want to blame you. They rightly do not want to give people the wrong information, because then there will be more problems. I understand that the period has been short. There are also people who have subsequently pointed out to me that they have received a very good answer to their questions. However, a number of things are not yet clear. People will accept that, too. However, I understand that the period of real blocking has been rather short, but also that the files of people who asked for information have been delivered to everyone and no one has fallen between the meshes of the net. I must therefore assume that the files have been followed up. It was once said that all 55-plussers would get information about their retirement. During the previous legislature, that information never came to everyone and was never made up for it. The reason I asked this question again was to make sure that everyone who had questions received an answer.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u15	Mr President, since this was the same subject, Mrs Cassart-Mailleux decided to withdraw her question.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u16	I didn't have that information.
