ParlaMint-BE_2015-04-01-54-commissie-ic140x.u1	Mrs Cassart withdrew her question No 3527.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u2	Mr President, Secretary of State, when you are a minister of a country, it is not easy to face an enterprise of international scale. However, this is the situation in which you found yourself last February, when you met with Facebook representatives, at their request. Facebook is the subject of legal action by our Committee on the Protection of Privacy but also by the "Privacy" Commissions of the various European countries. You chose to meet them while they were illegal because they had not yet responded to the Privacy Commission's letter. Why this method of work? Does this not short-circuit our Privacy Commission? Does this not put her in a more difficult position in relation to these large groups which are far too easily refusing the important competences of these private life commissions? You said in the press that the Facebook problem was primarily a communication problem, even misunderstandings. What are these misunderstandings? Is this really a communication problem? Do you have the firm belief that Facebook is complying with the obligations for which the Privacy Commission is at trial? Do you consider the management of personal data by Facebook to be problematic, particularly in the face of the provisions relating to direct marketing of the law on the protection of personal data? Do you think that Facebook's general terms and conditions are in accordance with the law?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u3	Mrs Onkelinx, I will refer to my detailed response to my interview with Facebook, which was given to this committee on February 25 of this year. I would like to reiterate that this conversation took place at the request of Facebook itself. It was a constructive conversation, in which I had the opportunity to share with them my main concerns, in particular:- the lack of clarity on the purposes of data processing and the third parties with whom the data are shared; - the practice that photos and videos of users could be used by Facebook for commercial or non-commercial activities; - lack of informed consent for these different data processing. Facebook acknowledged that some misunderstandings were rooted in their new conditions of use, admitting that they needed to be clarified. According to them, these new conditions do not bring about profound changes and Facebook has categorically denied that user data can be transmitted to third parties for advertising purposes. Thus, according to Facebook, it is an "absolute misunderstood". Only the profile photo would be used. I'm going to check that this is the case. Facebook offered to send us clarifications on these points. During our interview, Facebook representatives were very aware of the particular attention to be paid to the most vulnerable users, such as young people. They were willing to work together to plan measures to better inform this fraction of users. All this does not prevent the Privacy Commission from fully taking up its role as auditor and carrying out a thorough analysis of the legality of some of Facebook's user conditions on my request. Facebook needs to come back to us with more detailed information that, according to them, will confirm their comments and in particular with proposals to improve their communication and transparency towards users. In my reply to this committee on 25 February, I also noted that WhatsApp and Instagram services are also part of the discussion, which is also Facebook's subsidiary companies. On the other hand, Snapchat has not come to us. In addition, following my request for information, the Commission for the Protection of Privacy has informed me that it is not competent to carry out an investigation because the company has no headquarters or infrastructure in Belgium. That's a problem. To the Commission's knowledge, Snapchat would have nowhere in Europe. I think I have answered your questions. Are there any other questions?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u4	Minister, you tell me you've listened... that they're going to complete... that they recognize certain mistakes. In a way, you tell us that you have not fallen under the charm of Facebook, that you do not take for cash everything they tell you and that you will see according to the new information they will pass on to you. At the same time, all the work of the Privacy Commission continues. Good, we'll be paying attention because this is not the first time you've said that. It is not so much the fact that they could transmit personal data, which would be particularly reprehensible, but it is also that they could use them themselves in return for a fee by a commercial third party, without the consent of the user. It is above all this aspect which represents a grey area. You know that the forums of newspaper websites are increasingly working with websites like Facebook. As a result, Facebook still has more information on opinions, on profiles that could be used dangerously.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u5	Just so we're clear, the Privacy Commission has to play its part. In fact, she asked me not to make any new statements about this now, because clear agreements have been made with Germany and the Netherlands regarding the listing of the problems with Facebook, not only where there are grey zones, but also for the clear black zones. I have said very clearly and formally: whether it is Facebook or another company, we have to abide by the privacy rules. I will not give up on that. I have asked the Privacy Commission, together with Germany and the Netherlands, to negotiate with Facebook to bring itself into line with the law. Collaboration may have more effect. If Facebook does not comply with Belgian legislation or the European directive of 1995, pending the new regulation, we will take legal action if necessary. For the rest, I am abstaining from making any serious statements. I've said this before. I think the Privacy Commission should play its part. After all, she is the guardian of privacy law in our country. Together with you, I am responsible for making the laws. Then it is up to the Privacy Commission and the court to enforce the laws.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u6	Mr President, Secretary of State, Mr Deseyn has just referred to the overlap between the European privacy story and other pieces of legislation, such as the telecoms law. The European Directive No. 2006/24 in relation to data retention has generated a strong debate on the scope of privacy protection in recent years. We too, during the previous legislature, had this directive transposed with a great deal of delay and, of course, a great deal of debate. At that time, the directive was already at odds. In April 2014, she was finally destroyed by the European Court of Justice for reasons of proportionality. As I said, we had already transposed it into Belgian law in July 2013. Following the destruction of the Directive, the national retention obligation was still maintained in Belgian law, pending a new European data retention directive. On 12 March, the European Commissioner for the Interior, Mr Dimitris Avramopoulos, announced that the European Commission would not take a new legislative initiative. There will therefore be no new data retention directive, which we should not transpose into Belgian law. The European Member States are thus free to develop a national policy, which will allow us to see what we will do to review a number of controversial and far-reaching retention obligations and, above all, a number of far-reaching access obligations. The latter go quite far in Belgium today. Mr Minister, are you prepared to review the data retention obligation by the telecom operators? In your policy paper, you write about privacy security as a starting point for your policy. How will you apply this to the removal of the European retention obligation? What are your policy objectives with the retention obligation? Do you want to reduce these to strengthen the protection of privacy and reduce the administrative burden on telecom operators? Or do you have other objectives? In particular, I would like to ask what you think about access to that data. With us, not only the police and the police have access to these data in the context of an investigation, but also the security of the State and other services have easy access to them, i.e. without strong formal procedure. Hence my concern and my questions.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u7	Mr Dedecker, as you know, the data retention directive dates from the previous legislature. I assume that my predecessors have checked whether there was sufficient protection of fundamental rights and privacy in this area. There are currently two actions for the destruction of this law before the Constitutional Court. Last time, I said that I will not take any initiative to amend a law that is currently the subject of proceedings before the Constitutional Court. In the first instance, I await the judgment of the Constitutional Court. This can be very useful, because I can carry out a thorough analysis and review of the law on the basis of the judgment. This has also happened in certain neighbouring countries. If the judgment makes it very clear that we must destroy the law, then so will we. If the judgment contains a number of proposals for changing parameters, we must also look at them. In any case, I believe that measures that have a serious impact on fundamental rights and the right to privacy should be more strictly assessed against the requirements of necessity and proportionality that I have just announced. I would also point out that Minister De Croo, responsible for Telecommunications, is the pilot in this matter, as it concerns the application of the law on electronic communications. As with many other laws, I also give my opinion on this and will cooperate in any revision or repeal of the law. As far as data retention for criminal investigations is concerned, I must refer to the Minister of Justice None, who is responsible for the matter.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u8	Mr Secretary of State, your colleague De Croo is indeed a pilot on the telecoms law, but you are obviously very closely involved.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u9	I'm a copilot.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u10	Copilot, that could sound dangerous indeed. The privacy, your jurisdiction, is important to almost every minister, in almost every law. It's a transversal jurisdiction. As far as privacy is concerned, I think you are one of the first contact points. I am pleased that you want to check the law more strictly with regard to necessity and proportionality. The judgment can indeed provide input. However, there are also possibilities proactively. For example, the telecoms law was amended to strengthen the autonomy of BIPT in order to avoid a conviction by the European Court of Justice. I don't know what's the best option here. The destruction of the data retention directive by the European Court of Justice was, in my view, already a very clear signal that the directive was not such a good idea. We have transposed the directive in a more far-reaching way; we are going beyond the provisions of the directive. In fact, we are now waiting for the negative comments of the Constitutional Court. I do not think it is a good idea to wait for the negative comment; it would be better to act proactively in this matter.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u11	Mr Geerts, Mrs Cassart-Mailleux and Mrs Becq were absent.
