ParlaMint-BE_2015-03-11-54-commissie-ic115x.u1	Mr Luykx apologized for the meeting.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u2	Mr President, ladies and gentlemen, I will first give an introduction to the diplomatic posts and then I will answer your questions and listen to your comments. The very tight fiscal path for 2015-2019, as outlined by the federal government, also implies a serious savings effort for the Foreign Affairs Office that cannot be achieved without closing a number of posts. Within the postal network, savings of around €9 million will have to be achieved in the coming years, staffing and operating costs combined. In 2011, a first country study was carried out in order to obtain an objective idea of the interest of third countries in Belgium with a view to optimising its diplomatic and consular network. In 2014, this study was updated on the basis of five criteria: economic, political, development and consular cooperation, level of difficulty and risk of operating for entrepreneurs in another country, for example for entrepreneurs. The results of this country study were used to identify the items to be closed in the following way, while maintaining the principle of the widest possible network worldwide, but with a view to a substantial contribution towards achieving the intended savings target of €9 million within the postal network. Countries of minor political and economic importance and a limited presence of Belgium can be abandoned. This also applies to countries with a certain political and economic importance but with few Belgians and who are not at risk. The current situation of European integration allows us to be no longer present in all the countries of the European Union without prejudice to our interests, as demonstrated by the closure of the Embassy in Malta in May 2013. Cross-border cooperation with our neighbouring countries is now established and institutionalized to such an extent that a daily presence of our FPS on the ground in the border region is no longer necessary and that the services provided to our compatriots can be entrusted to the respective embassies in Berlin and Paris. The modalities are further developed to ensure that these services are as smooth as possible. All areas of activity should contribute to the effort, embassies as well as consulates or consulates-general and the Development Cooperation Offices. On the basis of these objective criteria, I finally decided to close the following eighteen posts: the embassies of Tallinn, Riga, Vilnius, Bratislava, Ljubljana, Nicosia, Brazzaville, Tripoli and Kabul; the consulates-general of Cologne, Lille, Strasbourg, Geneva and Casablanca; the consulates of Toronto and Johannesburg; and the development cooperation offices of La Paz and Quito. Toronto has already closed at the end of 2014, while all other closures are scheduled this year – as long as possible before the summer – with the exception of Johannesburg and Geneva in 2016 and Casablanca in 2017. A diplomatic office was eventually retained in Pristina, but consular activities in that post would be discontinued, thereby achieving savings. Despite the closure of our posts in the Baltic States on the basis of the above criteria, however, close relations will be maintained with them through regular bilateral contacts between Benelux and the European Union, a military presence within NATO and a transfer of jurisdiction to the most appropriate neighbouring Belgian embassies in Stockholm, Helsinki and Warsaw. The Communities and the Regions were immediately informed of these planned closures and a coordination meeting took place on 9 February between my services and the competent departments of the Communities and the Regions to discuss the practical consequences of these closures on the network of the Länder abroad, including with regard to the status and housing of regional representatives abroad. This meeting has been very constructive. My services remain in close contact with the competent services in the Länder to ensure that the closure of the federal post, while maintaining a regional presence on the ground, goes smoothly everywhere. In reassigning the courts of the posts to be closed, we have taken into account the distance between them and their accessibility, the political and cultural compatibility or incompatibilities and the action of other countries. Headquarters support will be provided to ensure the re-entry of files by the appropriate new positions to ensure that they are prepared for their new tasks in the best possible way. The closure of a post inevitably means that local staff will be dismissed, with due respect for the applicable notice periods and fees, which in the long term will result in structural savings in the staff envelope. In particular, it concerns a total of ninety-seven redundancies of locally recruited staff in posts. In some cases, the new competent post will be strengthened by an agent and/or local staff, as far as possible by transfer from the post that is being closed, due to the increased workload after transfer of jurisdiction. The termination of the leases of the chanceries that are closed also means a permanent structural economy. The sale of the Chanceries on property is also part of the active management of the real estate assets of the FPS Foreign Affairs. Further closure of posts is not currently on the agenda, but further adjustments to the postal network remain possible on an analogous basis on the basis of the above mentioned criteria. In the light of the rationalization of the postal network, further efforts will be made to integrate Belgian chancery into the same city, for example Paris, New York, Rome and Vienna, and opportunities for co-locations in Benelux and with other European countries will be pursued further. Colocation and cooperation projects with the Netherlands are currently in Astana, Sarajevo, Tirana, Caracas, Buenos Aires and Kinshasa. Finally, I would like to answer the more specific questions about specific posts within our postal network. In Spain, the consulates of Barcelona, Alicante and Tenerife are kept in view of the large number of Belgian tourists who request consular assistance. However, this country is the subject of a pilot project under which all administration and budgetary activities are centralized in our embassy in Madrid. Following the closure of Toronto, there are still two professional posts in Canada, namely Ottawa and Montreal. Only Montreal exercises consular activities and has therefore taken over the consular jurisdiction of Toronto. A further streamlining is not planned in Canada at the moment. The closure of the development cooperation offices in Quito and La Paz is not directly linked to the update planned later this year of Belgium's list of partner countries in this field. After the closure of the offices, development programmes in Ecuador and Bolivia will be monitored from our embassy in Lima. The conclusion of the Consulate General in Casablanca will only take place in 2017, when the construction project is completed in Rabat and the embassy will thus have the space and resources to fully take over the tasks from Casablanca. The closure of the Brazzaville embassy does not prevent possible evacuations from Kinshasa via Brazzaville in the event of a crisis. The closure of the embassy will be offset by, among other things, the appointment of an honorary consul and agreements with other embassies on the spot. Following the conclusion of the Consulate General in Geneva, the aim is to maintain a consular antenna, limited to a point of contact, within the permanent representation in Geneva. The future of the Chancery building in Cologne is currently under study. I am also trying to see how the Regions and perhaps other partners – I am thinking in particular of the Chamber of Commerce – are planning to maintain a presence and rent this building at least until the end of the year and perhaps beyond. We will see what other options will be on the agenda. I conclude, Mr President, by repeating that it must be said that, in relation to the situation 10 or 20 years ago, Belgium is now more strongly represented abroad than in the past. I am not talking about the quality of people, they have always been exceptional, I am talking about the intensity of representation. Why? Because, since then, we have seen the development, beyond federal representation through embassies, consulates general and consulates, of a representation of Regions and Communities. In fact – we do – it is timely to present, at some point, the map of the overall representation of our country, which is no longer just the result of federal activity. Better collaboration and distribution of settlements on the ground would, perhaps, further strengthen this approach. Not only is Belgium more strongly represented through the many regional and Community locations, but also through what we helped to set up during the last Belgian Presidency at European level in 2010, namely the European External Action Service. There are now also more and more opportunities for our country to be represented through European representation. I would like to make this clear because, in terms of the cost of representing Belgium as a whole outside, we are spending more money today than a few decades ago, compared to the capacity that other levels of power now have to invest very heavily on the ground, not only in Europe, but also beyond the world.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u3	As far as the replies are concerned, I will follow the order of the questions submitted. In the meantime, Mr Maingain is also present in our sitting.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u4	Mr President, Minister, my question is already a few weeks ago. You have just given us a list of which, to a large extent, we had already been able to get acquainted by means of the press. You said that five criteria were the basis of this selection. I regret the budgetary choices made by the government because I believe that external relations policy is crucial for a state. You have made budgetary choices and you are linearly imposing a number of reductions on all departments. As far as the criteria are concerned, you do not tell us how the rankings were made against these criteria. It would be interesting to know which diplomatic or consular posts were in balance according to a number of political or other issues. For example, I regret that the Baltic countries are no longer entitled to any diplomatic representation. It could be understood that diplomatic representation is grouped into one of the three countries, but to tell the Baltic countries today that they are no longer entitled to diplomatic representation seems to me to be very unsatisfactory for these countries, which have become very interesting partners in resolving a number of conflicts at the gates of Europe. Moreover, Belgium is the host country of the European institutions, which places an additional burden or duty on us in our relations with the other States of the European Union. I would therefore like to know more about how the rankings were made against the criteria and how they were weighted to know the arbitrations that were made. It is not up to me to tell you which positions should be abolished, but I would still like to understand the justification for each decision you have made.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u5	Minister, thank you for this presentation. However, as Mr Maingain pointed out, we had already been informed in the press. I regret that Parliament was not informed earlier and correctly. I interviewed you unsuccessfully in December. It is a pity that this debate takes place only three months later. Parliament deserves better, especially since it is an unprecedented decision in terms of diplomatic representation. There was never such an important reorganization of our external delegations. It is essential that our diplomacy defend our interests, our security and our cooperation. That is why I believe that this debate should have taken place earlier and in a transparent manner. We had already heard of this 2011 study. In fact, I had insisted that cooperation should fall within the criteria, because that was not the case at the outset. I note that this has not changed in depth, since the countries with which we had cooperation, but in which we did not have an embassy, are still without one. That's too bad. Then we can ask ourselves a series of questions about some diplomatic posts that are closed. An agreement was reached with the Baltic States on the protection of airspace. It's not nothing on the political side. At the same time, we close our representations. I find this somewhat vexatious. Indeed, their diplomatic responsibility is subordinated to three different countries (Poland, Sweden and Finland) which are in a way regarded as the godmothers of the Baltic States. It's not very clever. Those countries of great political importance probably deserved our political representation. As far as Brazzaville is concerned, you say that this is not going to change anything about the possibility of evacuation. I do not know what an honorary consul can do in the event of a serious diplomatic crisis and an evacuation. I do not think it falls within the remit of an honorary consul to deal with such politically difficult arrangements. That seems very light to me. This will certainly pose problems in this historically important base for our military operations and cooperation in Central Africa. As far as postal services in Europe are concerned, I mean that you retain those who are of tourist importance. However, in Lille, there is a large expatriate community, with important economic stakes and cross-border regional development. You keep Alicante, why not? But why remove representations in places where economic interest is greater? In terms of decision-making and transparency, you announced to me that you would consult with the Regions and the Communities. In fact, you just informed them, after the decisions were made by your department. It's not a concertation. In a federal state, real consultation would have been important. You also announced a consultation with the Benelux partners. Did it happen? What criteria were discussed? Finally, you had entered 1 500 000 euros for the renovation of the performance in Cologne, which will be closed. I guess that's not going to happen. I mention it because it had escaped your services at first. This should not happen again. You mentioned 97 dismissals, but I would have wanted to know if there had also been an impact on the number of diplomats. Is it down? Is he going down?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u6	Mr President, Minister, thank you for your briefing. You have already answered a large number of questions, including those related to the criteria. I agree with Mr. Maingain's questions about the weighting and arbitration that has been carried out. I look forward to hearing from you about this. I would also like to know whether you have an assessment of the overall cost of the savings achieved in this context? Is an assessment of the impact of these closures planned? What is the deadline? Will some things be reorganized later? If this assessment were to take place, it would be interesting for Parliament to be kept informed. The closing of the post in Afghanistan is calling me. We know we still have a military presence in this country. Is it consistent to proceed with this closure while our soldiers are still there? Finally, in the government agreement, you mentioned the Swiss model for embassies. I would have wanted to know what you meant by that and take advantage of this debate to hear your explanations. Are your intentions to make the federated entities contribute? If so, how do you intend to achieve this?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u7	Mr President, Minister, thank you for your statement. Most of my questions have been answered, but there are some left. The coalition agreement stated that objective criteria had to be taken into account. You have given us a picture of this. It also stated that the closure of posts would respect the interests of the federal government and the Länder. Hence my question as to whether you have asked for an opinion in advance from the Regions. You just said in your statement that the Communities and the Regions were informed and that there was a coordination meeting. However, has there been consultation in the process of weighing up the criteria and making the choices? I also have a few questions about the specific posts. The motivation to maintain the post in Congo-Brazaville has always been the argument of the evacuations in the past. You said just now that it will not be a problem to guarantee it. Is the security situation of the Belgians in the Democratic Republic of Congo assessed differently today? Another question concerns the consulate in Casablanca, a very important consulate for the Moroccan community in Belgium. You say Rabat will take over the duties. Will Rabat be able to take over the scope of Casablanca's tasks? I don't think you just said anything about Lille, or I just missed it. It happened pretty fast.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u8	(...)
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u9	Then I missed it. I have one final question about the agencies of development cooperation in Quito and La Paz. Does this also have implications for Ecuador and Bolivia as partners of Belgian Development Cooperation?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u10	With this we have finished the list of questioners. Are there any fellow Members who have not tabled a question, but who may have a comment? No? I would like to give the floor to the Minister for the answer to the questions put by my fellow Members.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u11	Mr President, with regard to the criteria and the study carried out, as a new legislature has been restarted, this may not have been communicated to all members of the committee, but the 2011 study has been communicated to the committee. It is she who bases the whole analysis. That's the whole study document. I would point out that it has been available to Parliament since I was asked to do so in the previous Parliament. This comprehensive study serves as the basis for the entire analysis. It is true that as far as the criteria are concerned, there has been a debate on the criteria for development cooperation. We added them. I gave an answer in my introduction to Quito and La Paz. There's no change. We will work from Lima for possible actions on the ground. We'll look into that in the next few weeks or months. My colleague from Development Cooperation will come forward with a review of our development cooperation policy. In the event of such a review, it may be possible to make some adjustments. However, there is no change in the terrain; after the closure of Quito and La Paz we will work from Lima. The study was communicated. At the time, it was also examined through exchanges with the Regions and the Communities. It was asked whether it was possible to start the preparation of the study with the Regions. I will ask that, since the study was started by my predecessor, Mr Vanackere. I only took a study in December 2011, as a result. I have been at this post since December 6, 2011, but the study was conducted throughout the year 2011 and started in 2011. I will therefore ask whether Mr Vanackere came into contact with the regions in the months preceding the preparatory study. As far as the update is concerned, I am quite open to giving you the elements of it. There's not much to change. There is, above all, this approach to the five criteria, but above all the concept of development cooperation which has been added and on which we will rework according to what my colleague from Cooperation will do in terms of the organisation of our cooperation action in the coming months. As regards the consultation of the Regions, the chairman of the department had a whole series of contacts during the discussion on the update. The services of the various regions – I mentioned them myself at the Interdepartmental Conference on Foreign Affairs – were consulted from this point of view. What we have done is to inform most of the closures that will occur. Some had already been decided in 2013, as for Malta. I had announced further closures in other debates, including the situation in Kabul or Tripoli, where we had the opportunity to close, like many other States, including the United States. I had also made the decision to close Damascus in its time as many other countries also closed their embassy there. These elements have been communicated. What I am communicating to you today are closures that are mostly scheduled by the summer and on which we are also working with the Regions to see how to take account of their location. Sometimes the execution takes a very long time. For Casablanca it is about 2017/2018, after the installation of our new capacity in Rabat. It will be perfectly possible to work from Rabat, with a new building and a new chancery. We decided to close the consulate in Casablanca, but only after the transition to Rabat. That won't be before 2015. It is for 2017 and 2018, as is the case for Johannesburg. The closure of the Consulate in Johannesburg is also for the second half of 2016, after a transfer and the provision of capacity in Pretoria. We also work with the Regions there. Is proper cooperation with the Regions possible? I'm going to the Swiss model. For my part, I am not an absolute supporter of one model or another. But we are already working, Mr Crusnière, with rentals that are paid for by the Regions or the Communities that occupy spaces within our buildings. I have announced collaborations with the Netherlands. I have recently signed the MoU in The Hague concerning the rental of 500 m2 by our Dutch colleagues in Kinshasa. I went there to see the state of the construction of our new chancery. I can tell you that the deadlines are being met. If this goes well, we should be able to open our chancery just before the presidential elections. Indeed, we still have two months to do so. We'll see! Every time, we make a rental. Sometimes we also occupy the buildings of our Dutch colleagues. We intend to continue to work in this way. Today, however, it is the only kind of modern way of working. If at some point partners feel they have better offers and want to move elsewhere, they can do so. But in the capitals where we are present, I advocate the consolidation of services, including the Regions. On the other hand, I often invite them to settle elsewhere in the country, in economically developed cities, with the aim of better ensuring our representation. As far as Cologne is concerned, discussions are currently under way. Indeed, I do not exclude – that is why the budget is still planned – from investing in this building, since the Regions will remain there until the end of the year. In addition, the question will arise at some point as to whether or not the building in question is being sold. But when you have a building for sale, it is not excluded that it is preferable to do so under more optimal conditions in terms of layout. In the meantime, it is important to see what the needs of those who occupy it are. Nevertheless, the matter remains open. It is possible that the work will not be carried out. But the budget will exist until the formal decision is taken to abandon the building, which has a practically closed floor, because it houses a theatre and premises that are not usable to date. As far as Lille is concerned, I gave the answer. There is no demand from the Regions to have a real location. That is why we will proceed to a sale of the building there. Of course, we can always discuss delays and difficulties, but it takes 37 minutes of Thalys journey to be in Brussels from Lille. It must therefore be made clear that consular assistance can be provided either in Paris or in Brussels. But imagine! Taking Thalys from Lille can take us very quickly to the French capital, or even to the Belgian capital. There is also a series of other important activities. I'm thinking about the community economically. I remain convinced that there must be a presence of the regions on the spot, which want to play a more economic role. But from the point of view of consular assistance itself, we are situated there in such a proximity area that it is possible to work differently, perhaps by strengthening the means, especially in Paris in the case of Lille but perhaps in other places in other cases. To review a series of other comments, we have actually made savings through job closures, but sometimes also due to the very high security costs. With regard to Kabul or Tripoli – and I am not talking about what we should have done in Damascus – one of the criteria of choice was at one point to tell us that we were no longer able to take such drastic security measures to ensure our presence. In Kabul, it must be admitted that logic consists of withdrawal, as for most States. This does not mean that we will no longer be represented at all. I hope, like many other Europeans, that the European Union will remain present with manageable security rules. This will allow us, if necessary, to have a defence on the spot. National Defence fully agrees with this approach. As far as the European States and the Baltic States are concerned, the choice of the government team at the time was to open posts everywhere, in all the candidate countries, which I am not criticising. But in my opinion, this is not the best decision, because we have needs elsewhere in the world. I had the opportunity to open a Consulate General in Chennai, India. We may need to open other positions elsewhere in emerging countries. This does not only apply to foreign affairs. In the light of developments, opening new posts systematically - I am thinking of Malta which has been closed, Cyprus, the Baltic countries and the Balkans gradually - is not feasible. As far as the Baltic countries are concerned, we have a military presence through our representation in NATO. We regularly have Benelux/EU contacts. I was still in Tallinn a short time ago during a contact with the Baltic countries / Benelux. Do not be entirely convinced that maintaining a post in one of the three Baltic States is necessarily better perceived, in any case in the other two, than working from neighbouring countries. This is a consideration that I have had the opportunity to discuss with several colleagues in the region. But I do not hide that we are going to see with Benelux in particular the possibilities of strengthening our presence and of seeing how to strengthen the process, even if we are already working with honorary consuls and Benelux partners. It is true that the choice was made to close a number of consulates general and embassies in Europe in the first place, before seeing how to work outside. As far as Brazzaville is concerned, the Honorary Consul will not have the essential responsibilities for evacuation, but it is with the French Embassy that we are working on the subject today. We must realize that this is where the important capacity lies. We are strengthening our representation in Kinshasa, we will have a new chancery on the Boulevard on 30 June as soon as the end of next year. We will have the opportunity to work live with our usual partners, including France. It is not indeed the Honorary Consul who will be on the front line, even if he can play a role in these occurrences. As far as the number of diplomats is concerned, the closures of posts lead to redeployments, but we will launch a diplomatic competition whose ambition is to recruit 40 new diplomats. This is the first time in a long time that we have organized such a competition. The ambition is therefore to go in this direction and, for the past few weeks, I have been responding favourably to a few requests to see diplomats extend their careers so that they can still exercise one or the other mission for the department. We can also use this solution from time to time, which is in line with the reforms we are putting in place in the area of retirement. At some point, there will be a stronger openness in this area. The overall gain is 9 million euros, programmed over the entire period because closures will only occur in 2016, in 2017 for Casablanca or in 2018. Mr Maingain referred to the role of Brussels as the seat of the European Union and NATO. We are not alone in carrying out this kind of restructuring. The Scandinavian countries have already reorganized their presence abroad by regrouping, as we do with Benelux. Other countries, such as the Netherlands, are organising job restructuring, job closures in a number of places around the world and especially in Brussels. I find this entirely legitimate. There are also reorganizations that are taking place: several states have already grouped their embassies together to have only one embassy with the bilateral of the European Union or NATO or to have two rather than three. I can understand why. Sometimes they choose to extend the jurisdiction, to go to a more Benelux jurisdiction or at least to belgo-luxemburgish jurisdiction. Of course, we must be careful to maintain a good relationship with our partners. I would add that I have already raised, within the government, the remark about the security of our positions abroad. Today we have a number of measures that are being taken in collaboration with National Defence. These are close protection services: Detachments of Security Officers (DAS). One might wonder whether, at some point, depending on the circumstances, in one country or another – we talked about it for Central Africa – there would be no need for mobile teams in this area. This would allow for a security presence on site for limited periods of time. There is not yet a decision on this matter, but it must be part of the analysis. Security concerns are growing in a number of places.
