ParlaMint-BE_2015-10-28-54-commissie-ic255x.u1	Merged questions Nos 6373 by Mrs Van Cauter and 6732 by Mrs Lanjri are postponed.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u2	Mr President, I would like to begin by thanking you for the flexibility you have shown in your work, which is not the case in every committee. At least on Wednesday I have to go from one committee meeting to another and then some flexibility in our work is well taken into account. Mr Secretary of State, I would like some clarification on the status of asylum seekers. In recent months there have been many asylum seekers in this country and in Europe. They are referred to as refugees. In this context, the perception is created that they are to a large extent war refugees, those who are not personally prosecuted, but who are fleeing a war situation. That distinction is important, and I should not explain it to you because both situations result in a different protection status. The refugee status is reserved for persons who are personally prosecuted and gives very broad rights, while the status of subsidiary protection, which was created for people who had to flee but who are not personally at risk, is limited in time. It is renewable, but it is a different statute, for which social assistance can be limited, among other things. In stark contrast to the perception that these are mainly war refugees, the vast majority of those who apply for asylum get the refugee status. Only a minority enjoy subsidiary protection. The figures of the CGVS give preliminary results for 2015, until August: 4 089 recognised refugees and only 829 persons who have received the status of subsidiary protection. Thus, less than 17% of the recognitions are subsidiary protection. I therefore have a number of questions, Mr Secretary of State, about the way in which the asylum authorities grant protection status and the way in which the perception in the media is created that this does not correspond to reality. Firstly, how is it that only a minority of subsidiary protection is granted? Can it be assumed that those who receive refugee status are effectively personally endorsed in their mother country and that they are not here simply because of the conditions of war? Secondly, is the criterion 'personally prosecuted' strictly applied or is it interpreted very broadly? Have you given instructions on whether or not to apply a strict application? Finally, what social rights are currently granted to beneficiaries of subsidiary protection? Do you intend to restrict these social rights if necessary?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u3	Mr President, Mrs Pas, an asylum application is being assessed taking into account the definitions laid down in the law and international conventions. The law and the EU directive clearly state that it is necessary to examine first whether the person concerned can be regarded as a refugee. Only then will it be examined whether there is a reason for granting subsidiary protection if it is established that there is no reason to grant refugee status. The CGVS and the RVV apply that legislation. Both are independent bodies, you know that. The result is that in more cases refugee status is granted than subsidiary protection status. Compared to the European level, there is really no big difference. For the number of refugee recognitions we are above the European average, for the status of subsidiary protection we are below the average. I have already spoken a lot about this with Mr Van den Bulck and his explanation sounds plausible. He also went to this committee to answer questions. In accordance with the law, the Secretary of State cannot give instructions regarding the assessment of the protection status of an asylum seeker. As you know, I have to abide by the law. There is no difference with regard to social status. This is currently being discussed within the government.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u4	Thank you for your reply, Mr Secretary of State. I have another question. You say that the effective status is only granted in second order. What is the time limit for this?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u5	First there's an interview at the Foreign Office. Then there's an interview at the CGVS. The latter takes between one and two hours and is therefore really being asked, after which the decision is taken. It is then always necessary to check whether the person concerned is eligible for the refugee status. If the answer is negative, it will only be considered whether the status of subsidiary protection can be granted. It is the case in all European countries that the recognition of refugee status is usually granted a little faster. Those things aren't at the same level. We must first consider whether the refugee status can be granted, but only in the second place can subsidiary protection be applied. If the refugee status can be granted, it is no longer necessary to consider whether subsidiary protection can be granted. This, of course, ensures that there are sometimes more recognised refugees.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u6	That is not true with the perception that it is mainly about people fleeing war situations and not about people being personally prosecuted.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u7	I know. I think it is up to Mr Van den Bulck to explain this. What I have remembered from the discussions on this is that, when it comes to people coming from a conflict zone with a lot of religious sectarian violence with a lot of victims and with a lot of atrocities, then it is possible to grant recognised refugee status instead of subsidiary protection status. According to the European Asylum Office, this is also possible. Some countries, or rather, some Commissioners-General are stricter in this than others. I believe that our country is acting correctly in this area and that the investigations are being carried out correctly. I get questions about this almost weekly. After many discussions about this, my opinion is that it is happening correctly here.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u8	Mr Secretary of State, at the end of March/beginning of April you paid an official visit to Morocco. We did not get much explanation in committee about the results of that visit. I submitted a written question on this subject in which the Secretary of State stated that he had again planned a visit to Morocco at the end of September/beginning of October to evaluate progress and agreed points. Mr Secretary of State, my follow-up question follows. What progress has been made and what progress has been made on the arrangements made during the first visit? Is that new mission going to Morocco? That was not 100% certain when I received the answer to my written question. What's the agenda for the mission? Will you also mention the problems that were raised last time? It concerns in particular the renegotiation and, as far as we are concerned, the withdrawal of the bilateral employment treaty in order to limit family reunification. Will the bilateral convention on social security be renegotiated? What is the specific agenda of that mission?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u9	Ms Pas, the mission took place on 1 October 2015. I visited three countries together with Minister Vandeput and Minister Jambon, in particular Tunisia, Algeria and Morocco. Morocco was the last country we visited. The meeting went well. The agreement with Minister for the Interior Hassad is to sign an effective bilateral agreement on technical matters. The negotiation of a Readmission Agreement is, as you know, a competence of the European Commission. We cannot negotiate on this, but we can make technical agreements. The deal is to be done with that by the end of the year. I agreed with Minister Jambon this morning that he would call Minister Hassad again. That is important to keep the soup warm, so to speak. We're working on that very intensely. It is the first time that the Minister of the Interior and the Secretary of State for Migration go to Morocco twice within six months. I have also seen the Moroccan ambassador a few times and Minister Jambon has also met him. It is certainly an important priority for this government to be able to make good agreements there. There have also been three technical missions of the Foreign Office. Our top officials also go there all the time. It's a long-term process, but I hope to get it done before the end of the year. I can say that there is a growing awareness that this is an important dossier for us. We have shown this in the past year by sending or receiving a delegation every two months. There is another discussion on the deadlines for the Readmission. When will we get an answer when we ask for the identification of someone without a right of residence? Now it can take years or we can't get an answer at all. So it is important that we put a deadline on that. That is the most important point of discussion. I think we'll figure it out. If we want to find a compromise, it must be possible. There are enough elements on the table to achieve that. I do not think it is a good idea to cancel the bilateral agreement on family reunification, employment or social security rights. I'm sure I understand where that might come from. Let me give you the example of the Netherlands. In the Netherlands, there has been a very fierce debate about limiting the social security rights of Moroccan family men and women, especially those who go back to Morocco afterwards. It was said that the standard of living in Morocco is lower and that they should not receive such a high pension or such a high benefit. This has led to an immense diplomatic riot with Morocco. The result is that the Netherlands has since returned zero persons to Morocco. We send back 350 to 450 people a year. Those are often people with a hard past, let me put it this way. I believe that we must have the courage to weigh things up. Moreover, it is not the case that the Netherlands has achieved this. They've got two zeros on the counter. They have no agreement on reducing those benefits when Moroccan migrants return. Let me give you an example. A Moroccan migrant comes here, he works here under the bilateral employment agreement for thirty years and then gets a pension. Then he wants to buy a cottage in Marrakech and he goes to live there. The Dutch Government intended to say that the standard of living there is lower and that the pension had to be cut by half or at least reduced, I do not know exactly in what order of magnitude. From a Moroccan point of view, this was found unjust. After all, they had done that work here. So they haven't brought that in and in the meantime they can't get anyone away to Morocco either. If you ever speak to a parliamentary delegation from the Netherlands, I would advise you to discuss with them how they are looking at this incident. It may seem a good idea, but if you push that stone into the corridor, you should be careful not to come back and flatten you.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u10	Thank you, Mr Secretary of State, for your comprehensive reply. It is to your credit that you make it a priority to bring this to your attention, but it is of course not the frequency with which you go there that interests me, but the results that will eventually be achieved. If one is too careful and lays too many eggs under it, perhaps nothing will happen at all. Mr Secretary of State, last time you specifically referred to the problem of Casablanca airport as a transit airport, but now you have not said anything about it. Have we made any progress on this? I'll follow up on that. You say that things should be done by the end of the year. I will ask about the results by then.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u11	Mr President, Mr Secretary of State, I have a question, partly in connection with a story in MO Magazine. However, I am concerned about the general principles that we apply here in our country when a child of majority age asks for family reunification. The story of a 21-year-old young man from Syria who applied for asylum in our country because his uncle, aunt and two cousins are already living in our country. His parents also live in our country. The person concerned entered the European Union and registered in Latvia. Afterwards he travelled to Belgium, assuming that he could go to his parents. However, when examining his application, of course, the place where he was first registered was looked at, namely Latvia. So our country sent him back to Latvia, where he was granted refugee status. He has a blue passport, so he can still visit his parents in Belgium. However, he was not reunited with his family. My questions also relate to the application of the Dublin Convention. A revision of the Dublin Convention has taken place following the MSS judgment. MSS is the Afghan asylum seeker who had applied for asylum in our country in 2012, but which we had sent back to Greece, because Greece was his first country of application. Nevertheless, our country was eventually condemned because our country should have taken care of the asylum seeker for inhumane treatment in Greece. Following that revision of the Dublin Convention, a number of criteria have been established. A first criterion stipulates that someone can be taken care of in the country with which he or she has the strongest family ties. That applies to spouses and underage children. There are also administrative links, which are the country that admitted the asylum seeker at the border of the Schengen area. That's the second phase or step. If none of the above criteria apply, the country where someone applies for asylum shall be considered. Finally, a country always has the opportunity to ignore these criteria and to deal with someone's asylum application on a humanitarian basis. My questions are as follows. Can we also use family ties to apply for asylum in our country? Is this limited, where appropriate, to minor children or are adult children also eligible who are clearly related to the parents and are therefore still family members? Is it possible to go even further towards ties with brothers or sisters? Can one be recognized because one has a brother or a sister here? Does DVZ apply the Dublin Convention in this way when someone proves that he has family ties or always depends on the first country of entry? Do they always send these people back there? Apparently, there are different applications in Europe. There are countries that also make use of the possibility to allow people on a humanitarian basis. How many applications were refused because of the Dublin Convention? Was there always a question of family ties with the applicant in our country? Since the 2012 MMS judgment, we have not sent asylum seekers back to Greece. Is that still the case today? Are we still not sending people registered in Greece back, or is that happening in the meantime? After all, you now have a completely new context, with the hotspots and registration. Do we also use these humanitarian grounds? Do we give admission on the basis of the existing possibilities in the Dublin Convention if it is clear that a 19-year-old or a 20-year-old was part of a family in Syria and is therefore not a single adult? What do we decide if his family is recognized here and he arrives later and asks for asylum to live with his parents? Are we dealing with this asylum application on the basis of the possibilities offered by the Dublin Convention or are we saying that it is over 18 years old and that it has to go back to the country where it was first registered? Dublin provides for this possibility. I hope we use that, but I'm not sure, given the story in the media about the Syrian boy of 21.
