Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-11-24-54-commissie-ic274x	ParlaMint-BE_2015-11-24-54-commissie-ic274x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 24-11-2015	2015-11-24	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
