ParlaMint-BE_2015-10-21-54-commissie-ic252x.u1	Debates of the European Parliament Mrs Temmerman's 5175 is converted into a written question.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u2	Mr Minister, in 2016 and 2017, you are planning major investments to computerize the integrated police, i-Police. Originally, the aim was to finance the common modernisation of ICT through a new key of the second drive of the Road Safety Fund. There has been a great deal of reaction from the local authorities. There wasn't much willingness to do that. So you've given up on that. For many local authorities this is good news, but the question is how the modernisation will be financed. Indeed, many local areas absolutely need the renewal of ICT. In recent years, I received the response that people have been waiting for the development or renewal of a number of important projects, such as the GALOP staff management tool and the ISLP application. In addition, the new management of IT also announced the realisation of new projects, such as the interaction with the Internet platform and mobile work for police officers in the field. From the previous one, we can see that renewed ICT, and especially its integration, is really very important, hence my questions. Can you confirm, to be sure, that the financing of i-Police will no longer be done through a change in the key of the Road Safety Fund? In the meantime, has a solution been found for financing? Can you give an update on the ICT projects in the integrated police force currently running or possibly being implemented in the future?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u3	Mr President, Mrs Temmerman, in reply to your first question, I can confirm to you that most of the time I have also confirmed what I said about the fact that the financing of i-Police will not be done through a change in the key in the second drive of the Road Safety Fund. I am also pleased to understand that police information management and the associated modern ICT are crucial for the proper functioning of the police and that you agree with that. After all, the foregoing is also my firm conviction. To date, we only have a beginning to think about the way in which the project is financed. We will get out of it, but the final solution that indicates how things will happen is not yet in my hands and is certainly not ready for communication. Allow me to put it that way. However, given its importance, I hope to be able to count on everyone's support when a political solution to funding will be presented. Nor should proper computerisation of the police be seen as an exclusive responsibility of the federal police. It is a responsibility of all and everyone. It is my firm belief that, given the activities of the local police in the development and maintenance of products, it is possible to optimise its costs. I repeat, however, that it is certainly not the intention to intervene in the existing funding of local police to finance i-Police. However, I understand that I need to clarify very quickly how we will finance this. After all, that will be the demand of many local authorities. I therefore commit myself to doing so quickly. With regard to the ongoing ICT projects, I would point out that giving a very exhaustive list of all ICT projects currently under way would provide a very large list of important and less important projects. The difficulty in modernising is just to maintain the current systems, adapt existing systems to the current legal and operational requirements, and at the same time prepare and implement new projects. It has to be done with the same experts. Nevertheless, I will give an overview of the ongoing modernisation projects. The first important initiative is the interactive web platform, which has been operational since mid-2013. During 2014 we already migrated most of the police zones to that new web platform. Since April 2015, the federal police have also switched to that platform. That's a new web platform. The initiatives for changing working conditions were launched in the course of 2013 in cooperation with the services of the Prime Minister's Chancellery, where the new cooperation platform was installed. The necessary modernisation adjustments were introduced in 2014 to allow the use of a new technology. In order to provide these services to the local police, the necessary approvals and a decision of the Council of Ministers are required. A positive decision by the Council of Ministers is expected in the near future. Subsequently, a framework contract for services can be signed by the Chancery to the integrated police. The first services are then offered federally and locally in the months of October and November 2015. Further operationalisation of local police forces can follow in autumn 2015. What was it about? It was about the fact that, by auditing the software used by the police, we found that a whole range of software, including local police, is actually pirate software. Versions were not followed and their own versions were installed. We have made a global agreement with Microsoft to equalize all software. This has happened and has already been approved by the government so that we can now roll out these services. The technology for mobile work also became operational during the same period. The decision of the Council of Ministers was also necessary for the delivery of this service to the local police. That's a little more complex because it's about changing both federal and local systems. The Council of Ministers has taken the decision and we are now in the process of rolling it out so that the local areas that want to respond to it can also use mobile work. The intelligent policing is a priority for the integrated police. I also believe that we absolutely need to work to ensure the performance of police forces and to meet the challenges of the future. If police zones want to work together, for example to put together night patrols, it is not so easy to print records from one zone to another. The intelligent policing is really necessary. As indicated above, a solution to the financing needs to be found. I will make a proposal to that effect in the near future. A vision was also developed for the HRM and for logistics information management as regards the current staff application used by the services. The impact of the business cases and the possible solutions are currently being considered. There is certainly progress. A number of administrative obstacles have already been removed and the obstacle that remains to be overcome is funding. As has already been said, I will make a proposal for this shortly.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u4	Mr President, Minister, it is clear that these matters must be centralised. One of the problems is effective that otherwise everyone starts working with and in their own system and develops a number of things themselves, in good faith, as is the case now, causing communication problems. We must, above all, avoid that.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u5	Debates of the European Parliament Mrs Dedry's 4555 will be converted into a written question. Debates of the European Parliament Question No 5294 and Question No 5294 Mrs Schepmans' 5323 will be converted into a written question.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u6	Minister, a report recently published by the British Institute Chatham House points to the vulnerability of the nuclear industry to cyber attacks. For this study group, the nuclear sector as a whole would be lagging behind in the prevention of technological risk and would be a particularly vulnerable target in the face of more widespread and sophisticated cybercrime. While we should not draw too hasty conclusions from such studies on our own nuclear power plants, this raises legitimate questions. The Institute believes that nuclear power plants "lack of preparedness to deal with a cybersecurity emergency in a large-scale incident and would find it difficult to coordinate an adequate response". In order to explain this situation, the report refers to insufficient funding for prevention, a lack of training, a lack of regulatory standards and a culture of cybersecurity. The report also refers to the increasing use of digital technology in power plant operating systems and the use of low-cost but piracy-prone software. I would therefore like to ask you about the preparation of Belgian nuclear power plants for such threats. What do you think is the degree of vulnerability of our nuclear power plants to cyberattacks and the effectiveness of the protective device to deal with them? Although measures are being taken, notably in the context of the cybersecurity strategy adopted since 2012 and the opening of the Belgian Cybersecurity Centre, I would like to know whether specific initiatives are being taken to protect our nuclear power plants? In this regard, do you believe that additional budgetary resources should be released as part of this strategy?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u7	Mr President, Chatham House, a British think tank, published a study a few days ago on the vulnerability of nuclear power plants to cyber attacks. The Institute believes that nuclear power plants "failed to respond to a cybersecurity emergency in a large-scale incident and would find it difficult to coordinate an adequate response". What about the risk at our seven plants? What preventive measures have you put in place with regard to the cybersecurity of our power plants? The study also notes the increasing use of digital technology in power plant operating systems. What exactly is the situation? If this growth is confirmed, what are the operators' obligations with regard to the precautionary measures to be taken to counter computer piracy? What about the use of software? What steps have you taken to ensure that operators commit themselves to do everything possible to protect themselves from such attacks? Minister, I would finally like to know what political lessons you learn from this report? Thank you for the clarification you can give us.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u8	The Chatham House report undoubtedly deals with a sensitive and topical issue. It should be stressed that the situation differs from one European country to another and that the protection of Belgian nuclear power plants against cyberattacks has already been thoroughly audited in the context of the 2011 resistance tests. As you may recall, Belgium decided at the time to extend the scope of these tests of resistance to events related to human activity, including cyberattacks. The experts then checked the risks associated with the various types of cyberattacks and examined whether hackers were able to take control of a nuclear power plant. The results show that a cyber attack on a Belgian power plant would not lead to a loss of safety function, in particular due to the fact that reactor control and protection systems are separated from the computer networks of the power plant and the company. In addition, almost all reactor control and protection systems use technology that is invulnerable to cyberattacks. Nevertheless, all parties concerned are aware that these resistance tests were only a snapshot and that continuous monitoring of cybersecurity is essential in view of the rapid and constant evolution in this area. Furthermore, it should be borne in mind that the modernization of the computer systems of power stations increases their vulnerability and that new "malware" are regularly developed to tackle industrial systems such as Scada (supervisory control and data acquisition). Belgium is closely monitoring developments in this area and will continue to take the necessary initiatives to ensure that its systems are adequately protected. In any event, with the law of 30 March 2011 and the Royal Decree of 17 October 2011, Belgium has specific regulations on the physical protection of nuclear power plants and the protection of classified and categorised information, which organises in particular the physical protection measures used to protect nuclear power plants. Under these regulations, which are an essential part of an effective cybersecurity policy, the operator is responsible for the physical protection of its nuclear power plants. The Federal Nuclear Control Agency (FCAC) ensures compliance with these regulations. Finally, Belgium is also involved in the development of various national and international cyber security initiatives. For example, our country participates in various working groups within the International Atomic Energy Agency (IAEA) to develop specific recommendations on cybersecurity in the nuclear sector. Follow-up to this problem is therefore ensured.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u9	Minister, thank you for these reassuring answers. It may also be necessary to check whether the Federal Nuclear Control Agency is well prepared against cyberattacks. This could explain how hackers changed legal opinions, etc. It was a joke. We'll talk about it again.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u10	Minister, thank you for your answer. I understand that on the reactor control side, in your opinion, everything is armored, but I am less certain of your response to a possible attack on the power source of the facility that would cause a power cut. What would happen if hackers attacked the power plant's basic power supply? I would like you to take the time to check if this has not yet been done. Indeed, this risk is also pointed out in the study. It is not only the attack on the reactor itself but on the supply of the premises, rooms that have to deal with the situation, especially in the event of a simple power cut. I don't know if you have any more information to share with us now or in the future. Moreover, we must remain attentive to the evolution, as you said, of the turns of these cyberattacks.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u11	Mr President, Minister, at the beginning of September the press reported an internal report on the police in the Brussels area CAPITAL Ixelles. Produced by the Internal Service for the Prevention and Protection of Labour (SIPPT) for 3 months and according to a rigorous methodology, this report highlights deplorable working conditions and practices for the least intimidating: inadequate and poorly disinfected premises, arbitrary arrests, alcoholism, unreachable hierarchy, insubordination, sofa promotions. Minister, how is it that the area police council has learned of this report in the press and still does not have a copy? Would it be possible to have access to this report? Since I have no doubt that you have read this report carefully, I would also like to know what action you intend to take. What do you intend to do, and within what time frame, to remedy the problems that have been denounced, which appear to be quite intriguing and rather serious? Have you ever had any contact with the hierarchy concerned? Do you intend to impose sanctions on him? What communication has been made to staff to ensure that this audit is taken into account and the follow-up given to it?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u12	Mr Vanden Burre, I was not aware of this report. However, I have asked for clarification both from my administration and from the Brussels police zone CAPITALE Ixelles. According to my information, this is an analysis of 12 April 2014 prepared by the Internal Service of Prevention and Protection at Work, which is organized by the Law of 4 August 1996 on well-being at work. In principle, this department reports directly to the Chief of Staff. Neither I nor my administration have received this report – which is normal. However, the report referred to by the media consists of a psychosocial risk analysis of District 3 of the police zone conducted between 2013 and 2014. The final version was communicated to the Chief of Staff and the local administrative authority on 12 April 2014. As a reminder, a risk analysis is an instant snapshot of staff to optimize the functioning of the service and increase the well-being of staff. Subsequently, collective preventive measures can be taken. They are then discussed within the welfare committee at work in the area. In view of the confidentiality of such an analysis and in order to ensure anonymity, only the members of the basic consultation committee, composed of the police college and representative trade union organisations, may consult it. Therefore, we are not in a position to give you access to this document. That's the law. The findings of the analysis had noted some complaints in the areas of communication, inter-service collaboration, staff management and the working environment. On this basis, the police zone has taken various preventive measures for each of these areas. District 3 management has taken the necessary steps to communicate these measures to its staff. Several follow-up meetings are still planned. The police zone has assumed its responsibilities, but must also deplore the fact that the elements relayed by the press are often wrong and run counter to the philosophy and purpose of this type of analysis. At the moment, I am not planning any specific measures, since preventive arrangements have been made within the committee for well-being at work. However, I will remain attentive to this issue.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u13	Minister, thank you for your detailed answer. Is it possible to know the action plan and the measures that will be taken? That would be interesting, even if I understood that the report should remain confidential. In this way, we could follow the file closely.
