ParlaMint-BE_2015-02-11-54-commissie-ic092x.u1	Maya Detiège requested the postponement of her question No. 1835.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u2	Minister, the latest IPCC report dated November 1, 2014 confirms the magnitude and speed of global warming. IPCC experts also indicate that inaction will cost much more than the investments needed to keep warming below two degrees. In order to study the effects of warming and the most effective measures to deal with it, several experts argue for the establishment of a climate centre of excellence in Belgium. The centre would allow for structural collaboration between climatologists, glaciologists, carbon cycle specialists, geologists, geographers, mathematicians, biodiversity specialists, soil chemists, sustainable development experts, all from the country's universities and scientific institutions. In addition to being able to support the policy of reducing emissions and adapting to climate change by providing objective information to public authorities and stakeholders, businesses or civil society, such a centre would enable our researchers to gain greater international visibility. In this way, they could in particular be included in European and international programmes and thus obtain funding that is very useful for their operation. Minister, the benefits of a climate centre of excellence in knowledge and information seem undeniable. Would you therefore be in favour, in collaboration with the federated entities, of setting up such a centre in Belgium, as is the case, for example, in Great Britain, Austria or France?
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u3	Mr President, the message conveyed by the IPCC in its last report resonates as an alarm signal that constantly reminds us of the urgent measures to be taken both to reduce our greenhouse gas emissions and to limit the impacts of climate change. A strong knowledge base is essential to support these efforts and to guide decision-making, both in the areas of mitigation and adaptation to climate change. There is a real need for access to objective, consistent and reliable climate information in order to better understand and understand future risks. The networking of climate research institutions would make it possible to establish a multidisciplinary reference structure in Belgium. It could provide a sound scientific basis for supporting climate policies, informing the various economic or institutional actors and valuing the expertise available, particularly at the international level. That is why the creation of a federal centre of climate expertise is one of the 34 measures proposed in the draft federal plan "Adaptation to climate change" which I intend to adopt as soon as possible in consultation with my colleagues concerned with its implementation, including the Secretary of State for Science Policy, Ms Elke Sleurs. A preparatory study for the establishment of this centre, carried out on the initiative of the SPF Scientific Policy, is being finalized. It should make it possible to formulate proposals on the structure and mode of operation of the centre and to draw up a road map for its implementation. For more information, I would refer you to my colleague in charge of scientific policy.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u4	Minister, thank you for your response and your willingness to participate in the establishment of this centre of excellence. I will return to the subject in due course, when the studies in progress are finalized to know the fate you reserve for this proposal.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u5	Madam Secretary, on 1 December 2014, the 20th International Climate Conference was launched in Lima. An agreement between the 195 participating countries was not immediately expected, but we were hoping to lay the foundations of a larger climate agreement in Paris at the end of 2015. Its purpose should be to limit global warming to a maximum of two degrees Celcius. There was still a large gap between the larger economies and the growing countries. The latter do not immediately stand in the way of taking climate measures that could possibly slow down their economic growth. In itself, the individual role of Belgium at such a large summit is, of course, limited. We do participate fully in European climate initiatives and make a number of efforts ourselves. Recently it became known that we are paying EUR 50 million extra to the UN Climate Fund. In the meantime, the Brussels-Capital Region has committed EUR 600 000. Only Flanders and Wallonia had yet to follow. Madam Secretary, how do you see the discussions between the federal government and the Länder evolving in the future? Do you believe that, in addition to an international climate agreement in 2015, a federal climate agreement is also necessary, namely an agreement between federal and regional authorities on a possible key to the efforts to be made within the climate and energy objectives?
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u6	Mrs Capoen, I would like to thank you for this very interesting question in which you raise a number of very important issues. It is true that the 20th climate conference, COP 20, has not been easy. The discussions were often intense and thus illustrated the differences that still exist between the views of the different parties. However, this conference must not be seen as a failure, because a clear work programme was agreed which should enable us to reach a legally binding global agreement in Paris in December, which is far from negligible. The negotiations due to take place in 2015 will also be complex, I admit, but I am optimistic about the end result. Let me also be surprised by your assessment of Belgium's role in these negotiations. Our country is far from being inactive and has a high-quality delegation, coordinated by the Climate Change department of my administration. The Belgian delegation's experts carry out important coordination functions within the European Union and seek to defend important values such as the fairness of the future agreement and its ambition. In addition, Belgium, through its contribution of €51.6 million to the Green Climate Fund, has exceeded the $10 billion mark in the Fund, which was one of the main objectives of COP 20. For the sake of accuracy, let me also add that in addition to the 50 million of the federal authority, the Brussels Region to the tune of 600,000 euros and the Walloon Region to the amount of 1 million euros, have also contributed to this objective. I hope that the Flemish Region will join this collective effort in the future. However, let us not lose sight of the fact that this contribution is distributed over four years and constitutes only part of the minimum EUR 50 million that Belgium must provide each year in the period 2013-2015 as part of its international climate finance commitments. It is therefore essential that we achieve a structural and balanced solution for the future of the Belgian contribution. Discussions on this subject must be resumed quickly and are closely linked to the dossier on the distribution of efforts between the Federal State and the Regions in achieving the objectives of the Climate and European Energy package for the period 2013-2020. Within the framework of the European Semester, Belgium has already been reminded more than once by the European Commission and the European Council because of this lack of agreement, and the OECD has also recently expressed criticism on this subject. The Government will give priority to obtaining a cooperation agreement on burden-sharing for the period 2013-2020 and will therefore contribute to an equitable distribution of the objectives and revenues of the auctioning of CO2 allowances between the Federal State and the Regions on the one hand, and between the Regions themselves on the other. I hope that we can quickly reach a political agreement on this issue and I can already point out to you that my colleague from the Brussels-Capital Region, who currently holds the chairmanship of the National Climate Committee, which met for the first time during this parliamentary term on 30 January, has already informed me that she will soon take the initiative to start discussions in this direction. In this context, the Government will play the role of facilitator and federator, in particular by implementing measures in the areas of taxation, biofuels, offshore wind energy, the promotion of cycling, product standards, railways and energy efficiency in the buildings of the federal public authority, thus contributing to the achievement of Belgium's 2020 targets. In this regard, I am in favour of strengthening cooperation between the Federal State and the Regions, with a view to achieving greater coherence and effectiveness in climate policies. The future intra-Belgian agreement must also include strict rules to ensure compliance with and follow-up to the commitments made by all Belgian authorities in this context. The international agreement expected in Paris at the end of 2015 focuses on the post-2020 effort. The European climate target for this period was decided at the European Council on 23 and 24 October 2014, in the context of the 2030 European climate-energy framework. It consists of an internal reduction of at least 40% of our greenhouse gas emissions in 2030 compared to 1990. This objective constitutes the European offer in the context of international negotiations, and should be formally notified in an official EU submission to UNFCCC in March. Discussions on the 2030 European Climate and Energy Framework will continue this year, in particular through the discussion of the legislative proposals by the European Commission. It is only after that process that discussions on the national effort-sharing of the 2030 climate and energy framework can begin.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u7	Madam Minister, although I am convinced that Belgium is already making great efforts on climate issues, it can never hurt to push them up again, as our country is one of the countries with the largest ecological footprint in the world. The time for moving the hot potato between the various governments must also be over. We were not wrongly given the title Fossil of the Year at the Lima conference. We therefore urgently need to work on agreements between the various authorities in our country. I'm glad you're going to work on that.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u8	Mr. Speaker, Madam Minister, as we all know, a lot of chemicals, sometimes dangerous, come into the composition of objects that we use every day. These include formaldehyde, the basis of formol, which is one of the most widely used. It can be found in fake leathers, carpets, agglomerated panels, wooden panels, glues and also in baby beds and furniture. This substance is therefore also present in basic nurseries and schools. This question was also put to the Parliament of the French Community by the Minister for Education, who replied that the Federal Minister for the Environment had jurisdiction. That's why I'm asking you now. Formaldehyde has been catalogued as a carcinogen by the WHO International Cancer Research Centre (IARC). It is considered particularly dangerous in young subjects. In 2009, the Association Santé Environnement (ASEF) in France quantified formaldehyde in four wooden baby beds, sold in large furniture brands. In all cases, the amount of formaldehyde emitted was close to one quarter of the value from which this product is dangerous to man - not to mention the usual presence of other furniture, carpets and paints in a normal dwelling. The European directives already prohibit formaldehyde for its use in phytopharmaceuticals and envisage its prohibition as a biocide. Minister, have any studies already been conducted under the auspices of your services on the dangerousness of this product to the health of our fellow citizens? Should it not be legally ensured that it has a minimum presence in everyday consumer goods, such as furniture and interior decorations? Indeed, this addition of product increases the possibility of contamination to the individual.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u9	Dear colleague, thank you for your question, which has received my full attention. Formaldehyde, as you said, is a compound widely present in our various indoor environments - it is unreassuring to hear you list them. In Belgium, studies in this area are carried out by the Regions in private homes, schools and crèches. The studies carried out are carried out within the framework of the National Environment Health Action Plan (NEHAP), i.e. they derive from an Environment/Health Cooperation Agreement of 10 December 2003. These studies have shown that the average concentration of this product is approximately 30 micrograms per m3. You can also consult the report of the Crèches project, which is available on the nehap.be website.This concentration in the environment is three times higher than that mentioned in the WHO recommendation when it comes to protecting sensitive people, i.e. 10 micrograms per m3, but it is below the recommended value for the general population, which is 100 micrograms per m3. The carcinogenic classification of formaldehyde has recently been re-evaluated under the CLP Regulation, namely the existing regulations on the classification, labelling and packaging of chemicals as a carcinogen 1B, i.e. a substance whose carcinogenic potential for humans is assumed; this classification will apply from 1 April 2015. In addition to labelling requirements, this new classification will lead to a restriction on the composition of products, which will impose the 0.1% limit on the composition of substances and mixtures placed on the consumer market, on the basis of the REACH regulation we discussed earlier in the exchange of views. As regards the articles placed on the market, i.e. products other than mixtures and substances as such, the REACH Regulation provides for a composition limitation provision in the articles for consumers with regard to carcinogenic, mutagenic or reproductively toxic substances. This subject is also under discussion at European level. Our services are awaiting a Commission proposal in this area in the course of 2015. In preparation for this proposal, the Commission will launch, in the first quarter of 2015, a public consultation, visible on the Europa site of DG Enterprise, in which economic actors and citizens are invited to participate. Textiles were selected as the first category of items for this initiative. Then follow the children's items, decoration materials and so on. In this discussion, Belgium took a position in favour of a maximum reduction in consumer exposure to carcinogenic, mutagenic and reprotoxic substances from articles placed on the market. However, in addition to the products containing it, formaldehyde is a substance generated by many chemical degradation processes in products that did not contain it at the base. Acting on simple composition is therefore not enough. In the absence of a harmonised European initiative in this area, based on the German and French approaches, Belgium has adopted legislation to limit emissions from construction materials and related products. The Royal Decree of 8 May 2014 lays down the thresholds for emissions to the indoor environment of construction products for certain intended uses, and in particular formaldehyde. This legislation currently applies only to floor coverings. Federal advisory councils, including the Central Economic Council, the Federal Council for Sustainable Development and the Higher Council for Health, called for its gradual expansion to cover other types of coating. For wall and ceiling coverings, the feasibility study is under way. The first results of this study will be presented and discussed with the parties involved on February 23, 2015. A similar study will be undertaken this year for furniture, decoration and certain consumables, including those for the maintenance of heating and ventilation systems. For maintenance products, a similar study is planned for 2016. As you can see, we're surrounded.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u10	Minister, thank you for that substantiated answer. I note that Belgium has for a long time taken into account the extent of the pollution that we might suffer because of this formaldehyde. I hear a lot of studies are under way. I'll follow the case carefully. This topic is topical, mainly for children in nurseries. As an authority, our responsibility is to ensure that pollution is limited to young people.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u11	Madam Secretary, I asked Mrs De Block my question. Mrs De Block has informed me that you would give me the answer. Recent Dutch research in Schiphol and its environs shows that the life expectancy of people living around an airport is declining significantly. It goes from a few months to more than a year shorter life by exposure to increased concentrations of ultra-fine particulate matter emitted by aircraft engines. Experts have long known that there is a link between exposure to ultra-fine dust and mortality. That is why I am asking you the following questions. Will you also have the impact of air traffic around our airports........................................................................................................................................... What measures will you take to reduce the effects of increased exposure to ultra-fine dust? Will you also pay specific attention to the residents and the workers who are exposed every day because they work at an airport? Do you or do your colleagues in the current government intend to reduce the sulphur content of aviation fuel?
