ParlaMint-BE_2015-10-28-54-commissie-ic262x.u1	Questions Nos 4227 and 4228 by Mrs Fonck are converted into written questions.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u2	Minister, I would like to welcome you to what is formally called the new year of work. My question says'recent', but that is a relative concept when it takes a while before the question is asked. In the case of unemployment benefits unduly paid, recovery shall be due after five years in the event of bad faith or negligence. Pensions and the Income Guarantee for Older People (IGO) shall be subject to a limitation period of six months in the event of good faith and three years if the pensioner is in bad faith, has failed to comply with the statutory reporting obligation or has received a foreign pension which the person concerned has not indicated. For example, if a succession declaration shows that someone did not indicate a moving capital when examining the right to IGO, then it can be recovered for three years. Until 2005, the limitation period, as in the unemployment benefit, was five years. We can ask ourselves whether a uniform limitation period for the social security provider in the event of malpractice or negligence is not recommended. How many claims have been made on the basis of the three-year limitation period for pension services and what amount are they? Is there a good, special and justified reason why the limitation period for pensions is different from that for unemployment benefits? Does the Minister have any ideas for improving the recovery of sums unduly paid?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u3	The answer to your first question requires research to be carried out manually and on a case-by-case basis. The statistical data requested are currently not available either from the Public Pensions Service or from the National Pensions Service. With regard to your second question, I do not know why there is a difference between the recovery period for unemployment benefits and the recovery period used by other social security institutions, such as pensions. In the public sector pension system, the recovery period was reduced from five to three years due to a similar adjustment in the pension system for employees, in order to maintain the uniformity between the various pension systems. In the pension scheme for employees, this change was made on the basis of Article 60 of the Law of 27 December 2005 laying down various provisions. This amendment took effect on 1 January 2006. As regards the public sector pension system, the reduction in the recovery period from five to three years, as initially provided for by Article 59 (2) of the Law of 24 December 1976, was achieved by the Royal Decree of 21 January 2007 implementing Article 61 of the Law of 27 December 2005. With regard to the third question, it is indeed necessary to organise better the recovery of amounts unduly paid. This design is part of the board agreement of the National Pensions Office for the period 2016-2018.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u4	Minister, I understand your answer to the first question. I will therefore formulate them as a written question. I am pleased that you share the concern to achieve better recovery. We will keep an eye on whether there is real progress in this area.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u5	Mr President, Minister, perhaps you saw a little earlier than I did that this question dates back to 10 May. I'll rephrase them a little bit. At that time there was still discussion about the preferential system for the police. In the meantime, a separate regulation was drawn up, to which I referred at the time because it was already in the process of being drawn up. In the meantime, the scheme on non-activity prior to the pension was approved by your colleague, Minister Jambon. The question remains, however, in general. What's the status? What is the possible method of regulating police pensions? In the event of enlargement, what is the regime for heavy-duty professions that would be under discussion in the National Pension Committee? What's the status there? How's that gonna go? More generally, is the regulation as planned for the police a reflection of what might be possible for the heavy professions?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u6	Mr President, the problem is not an early retirement for the police, it is an end-of-life measure which falls exclusively within the competence of the Minister for the Interior, Mr Jambon, responsible for the conduct of the careers of police officers. The debate on heavy work will be held in the National Pension Committee in the coming weeks. If I were to express my opinion on the issues you are putting before me, this could undermine the debate to be held in the National Pension Committee.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u7	Of course, Minister, I expect a very careful response from you. The question was about the scheme which regulates the non-activity prior to the pension. This must be in line with the moment when one can retire. In this sense, this is not entirely non-committal or taken out of the air. I understand that you say that this arrangement will be included within the National Pension Committee within a few weeks. I assume that the start-up of the working group that is specifically concerned with this will begin. Is this discussed in the committee dealing with public pensions or in the committee dealing with the heavy-duty professions? Or is this matter discussed in both committees?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u8	In both, there's a public sector committee on the National Pension Committee and there's a debate in this committee.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u9	Minister, the Belgian Pension Institutions Association held a symposium on the future of sectoral pension systems on 19 May 2015. From the data presented by the FSMA and Sigedis there, we could see that the second pillar today covers a large part of the workforce. In the last year, however, the number of entries into the system has decreased. It's looking for the reason. When many people are already involved, the percentage growth rate is, of course, more difficult statistically, but it is also about absolute figures. If sectoral plans and business plans are combined, about 75% of employees have a second pension pillar. That's an impressive number. Of course, within the framework of the coalition agreement, we are also seeking to broaden the system as much as possible. What is particularly striking is the strong under-representation of women in the second pillar. In 2013, this concerned only 37% of active members of a sectoral pension system. If we want to further democratize the second pillar, it is important that female workers also have the widest possible access to supplementary pensions. Do you envisage measures, and if so, which, to improve the representation of women within the second pension pillar? A number of sectors in which women are above proportional do not have a sectoral pension system. Well, that explains a lot of that low grade for women. Do you have any plans to encourage the creation of a sectoral pension system in this sector?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u10	Mr President, Mr De Roover, you ask me whether I intend to improve the representation of women in the second pillar of pensions. My answer is clear: of course. But my answer is also more general in nature. I hope that the majority of our population, including women, will build up a supplementary pension. More importantly, all citizens should build up a supplementary pension. As I have been able to clarify, I am currently preparing a draft law that allows an employee who does not receive a supplementary pension to ask his or her employer to withhold part of his or her salary in order to build up a supplementary pension. With regard to sectoral pension plans, the government agrees that the social partners will be invited by the government to use a certain percentage of wage increases in the framework of wage negotiations to finance supplementary pension plans until a contribution level of at least 3% has been reached in each sector. Finally, the harmonization between workers and servants currently introduced in supplementary pensions should also contribute to the generalisation of supplementary pensions, including at sectoral level.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u11	Minister, the measures you are announcing and the draft law on which you are working will undoubtedly be important steps in the right direction. Perhaps it is lacking, but it is possible that my listening ear is still paying particular attention to the sectors in which a higher proportion of women are employed. That was the basis of my question. I would like to draw more than sufficient attention to that. I am particularly counting on the figures to speak volumes at the end of this legislature.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u12	Mr President, Minister, for someone who does not enjoy his own retirement, I am rather persistent on this subject. As mentioned earlier, we also note that accession to the second pillar has been reduced in recent years. I repeat, fewer employees can join. Success, of course, always leads to a lower level of growth at a later level. However, there are other reasons. Of course, there was last week's social agreement. A later question from me concerns that agreement. There was a fear that the companies themselves would have to pay for the low interest rates. When there is uncertainty about the return, there is also reluctance on the part of employees. These issues have been an important subject in the social dialogue. However, both employers and employees are also hampered by a very complex and opaque cost structure in group insurance. This matter concerns everyone, because it is an important part of pension building. Transparency is of the utmost importance. The Supplementary Pensions Act provides that every employee who steps in receives an annual pension sheet from his group insurance, which shows which reserve has been built up and what the estimated pension capital is at the due date. Sigedis and the FSMA are working on a supplementary pension database. My questions are as follows. Do you have plans to have information on the interest and the costs involved included in the pension sheet? If yes, at what time do you plan that obligation? Will this information also be included in the supplementary pension database? Indeed, these data are extremely important in order to keep an eye on the quality of the second pillar.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u13	Mr President, Mr De Roover, I would like to draw your attention to the fact that I have invited the National Labour Council to continue the reflection on a possible revision of the guarantee of return. In this context, I also asked the social partners whether transparency on costs should not be provided for in order to assess the share of the financial return used up by the management of the pension commitment. In the context of the agreement of the Group of Ten, the social partners did not answer that question. In the near future, therefore, I shall concentrate primarily on the implementation of the agreement reached in the lap of the Group of Ten. However, I continue to pay due attention to this question of transparency.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u14	Minister, you and we note that the social partners have done a good job in the part they have answered your question. We therefore welcome the fact that you will carry out that part. But social dialogue has so far failed for a second aspect of it. The quality of the second pension pillar is something that must not be overlooked. The lack of transparency is a legitimate obstacle to building trust in the system and the correct knowledge of what is or is not entitled. I really want to insist that, if the social partners fail, for whatever reason, you and politics will not be passive in finding that there is no solution. If necessary, you should look actively for solutions.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u15	Minister, you know that the government agreement states that we have the ambition to raise benefits and minimum pensions. It is also the first time this government has done so. We agreed in the coalition agreement that we would raise it at least to the European poverty line. On minimum pensions, we have even said that 10% should be above the European poverty threshold. I have a few questions about this. If I calculate it correctly, because I believe that indexations should be taken into account, it would mean that a single person should be entitled to a minimum pension of EUR 1 181 for a full career, which is EUR 58 more than the current minimum pension of EUR 1 123. People receiving a family pension should be able to claim EUR 1 650, which is EUR 247 more than the current minimum pension of EUR 1 403. That's the calculation I made. Of course it is possible that the indexations still have to be taken into account. How many people currently live below that European poverty line? If we say we have to be 10% above it, how many people are we talking about? How many people with a single pension and how many people with a family pension are covered by this European poverty threshold? What budgets do we need for that? What resources have already been provided or will you be asking for in the context of the budgetary negotiations? By what time do you intend to achieve this objective? What's the road map? How are you going to eliminate the difference that still needs to be adjusted in the coming years?
