ParlaMint-UA_2014-02-20-m0.u1	Ladies and gentlemen, please insert e-registration cards. Thank you.
ParlaMint-UA_2014-02-20-m0.u2	Please invite the national deputies to the session room. Ladies and gentlemen, we continue our work. Once again, please invite all the national deputies to the session room. Ladies and gentlemen, unfortunately, we can't vote with the "Council" electronic system, it doesn't work. Taking into account the written registration, we have registered 227 Ukrainian national deputies. [[Applause]] In order to be able to continue our work and adopt a decision, I will ask, taking into account part two of article 37 of the Ukrainian Act on the Rules of Procedure of the Supreme Council of Ukraine, to make a decision by raising hands. I'm asking you to delegate to the Counting Commission. [[B in m in s a l in]] Dear Society, we have a Counting Commission. The deputy head of the Counting Commission is the national deputy of Switzerland. Or is it a substitute? Igor? Oleg Kanovets, Oleg Kanovets. I would like to ask the national deputy Oleg Kanovts to organize a vote count and a vote count. Dear National Deputies! Dear National Deputies! [[B in m in s a l in]] I ask the people's deputies to now vote in favour of the proposed voting procedure. Whoever made that decision, please raise your hand. Oleg Canoetz, please organize a vote count. Please put it down. You didn't count? Who's against it? Who held up? Thank you. 227. We're continuing our work. [[Applause]] Dear National Deputies! [[B in m in s a l in]] I would like to ask the national deputies not to interfere with the plenary session. [[B in m in s a l in]] No one voted against it. Ladies and gentlemen, for the national MPs, so that we can speak today, we will now make a statement that each faction will express its position, also non-factional about the situation that has taken place in Ukraine. I suggest that we determine five or six minutes from factions and deputies who are willing to speak. Ladies and gentlemen, I ask the heads of the factions to sign up for an appearance from the rostrum. People's deputies from non-fractionals, I'm asking you to identify the speaker. And I'd like the national MPs to also identify themselves with the speeches and sign up for the speech. Raise your hand and sign up at the Secretariat. The electronic system doesn't work. Let's get to the show. Heads of factions, who will be the first to speak? Oleg Jaroslavovich! Vitaly Volodymyrovich! From the non-fractionals, Vladimir Litwin. Who will be the leader of the factions? Please, Vitaly Volodymyrovich.
ParlaMint-UA_2014-02-20-m0.u3	Good afternoon, dear fellows! I want to thank those who are joining us now. We know that many deputies have left the Party of Regions. We know that many deputies have now come to Parliament for one very important decision: the most important task now is to stop the bloodshed. This is the most important task facing everyone who has an influence today, every politician who has a responsibility to his country, and this is the most important thing that we have. We must ask today the question: To withdraw troops, we must stop today so that the Ukrainian goes to the Ukrainian, the brother goes to the brother, and this is the result of the work done by today’s authority, which has concentrated all power in its hands and is fully responsible for these actions. People came out because they want reforms because they want them to have perspectives. 2 months ago against corruption, against the law, against the law, against the law that is not in the country. The authorities can't hear them, even though they promised to "hear everyone." And I want to pay attention, you could have solved this conflict very quickly by signing a deal. Then the government of Berkut, a special unit that trained against terrorists, dropped against children, boys and girls who were 17, 18, 19 years old, and then no one took responsibility, but the Minister of Internal Affairs had to step out and clearly declare, "After such actions are taking place in the country, I will resign!" The authorities pretended that nothing was happening. Next is the cleaning of Maidan. Then there's the opposition. The president promised that in 2010, when he was running for office, everyone would be heard. Sadly, to this day the authorities do not hear people. There are millions of Ukrainians who have no prospects. Seven million Ukrainians work abroad because they are unemployed because they cannot feed their families. This opposition, which began today, must be resolved in a peaceful way. Now, when you talk to people, you don't have to explain. Many provocateurs, many of the events that are now taking place when so-called aunts are working with the militia -- a very dangerous mix that can now split the country apart. And I also want to pay attention to the leadership of the state, which should have responded urgently to the call for federalization, the separatist calls, but unfortunately, for today's B.B.I., the prosecution's office, the police are doing a completely different job. I'm sure that today is the key task, we'll then analyze and draw conclusions, but for today, the key task for every Ukrainian is to do everything to stop the bloodshed, that's the first. Secondly, don't do it in the hall, not in any way to warm up to those people who want to split up the country right now, raising questions that aren't of any interest to society at all. The key task, I'm sure, is that together we should simultaneously support those very important issues that are on the order of the day. That's the first one. Secondly, I want to thank the medics. [[Applause]] I want to thank all those who save lives. I understand that many have died on one side or the other. The key question is to stop this, but then we can solve everything else and analyze the situation. Thank you for your attention.
ParlaMint-UA_2014-02-20-m0.u4	Thank you. Head of the faction of the All-Ukrainian "Freedom" Union, Oleg Tegnibok.
ParlaMint-UA_2014-02-20-m0.u5	Dear national deputies, brothers and sisters are Ukrainians. This tragedy, which has now erupted in the Ukrainian state, has no parallels in Ukrainian modern history. Those who call themselves “authority, ” kill their own people, give orders for the destruction of those people whom they would otherwise be required to protect under the Constitution and the laws of the Ukrainian State. And that's why there's a concept like responsibility and an oath. And that's why we here, in the highest legislative body of our nation, should remember that we've given an oath of allegiance to the Ukrainian people, that we should now remember those people who are in pursuit, those people whom the so-called "authority" now issues weapons and directs those weapons against the Ukrainian people. Society, I'm talking to the military, I'm talking to the militia, I'm talking to those who want to be called "right-guards," you don't have the right to serve a separate criminal-oligaric clan that took power, you have to be on the side of the people! And that's why I welcome you, and we all welcome all those who are now standing side by side with us today in the fight against injustice and against it. And I would also like to welcome all the brave MPs from the Party of Regions, the non-fractional MPs who at an extremely responsible time have remembered that there is a concept of "prosecution," there is such a concept as "conscience," there is such a concept as "patriotism," there is such a concept as "responsibility" to his own people, responsibility to his family, responsibility to his own conscience. [[Applause]] And this is very important, society! Because across Ukraine today, many of the representatives of the current so-called "power" express their solidarity with the Ukrainian revolutionary. This enables us to move away from the place, thus enabling us to fulfill our sacred duty. So today, when you and I are adopting the issue of day-to-day order, it is extremely important for us to restore the rule of law first and bring the 2004 Constitution back to the State. This will allow us not even to redistribute power between the various branches of power, this will allow us here in our nation's highest legislative body, assuming responsibility, to immediately suspend the bloodshed that continues in Ukraine. According to recent reports, some seventy people have already been killed in the streets of Kiev, not just in the streets of Kiev. Terrible information about the dead comes from various regions of Ukraine. It is because of the return of the 2004 Constitution that we will be able to resolve the issue of removing all those powerful ministers who today give illegal orders on the use of weapons and on the destruction of the Ukrainian own people. This will enable us to assume the responsibility of assigning to these positions those who give the right orders and to stop the bloodshed. Society! Today, each of us is taking an extremely important step. And this step should fit our conscience, our patriotism, and our sense that we are here with you as state husbands. We made the right decision today, we made the right decision, we're going the right way, we're saving the Ukrainian state with you today that they want to split up. And the Kremlin, which now supports the Yanukovich regime, sees in its dreams that Ukraine is divided. Our sacred duty is to preserve the only constituency independent Ukrainian state without bloodshed and with the law that will have the highest power. This will give us the opportunity to move forward and to be proud that we are a European nation, we do have a future and tomorrow. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u6	Thank you. I would like to welcome you to the words of the leader of the faction of the All-Ukrainian Union of "The Fatherland" of Yatzenuk. Yes, Arsenius Petrovich.
ParlaMint-UA_2014-02-20-m0.u7	Dear brothers and sisters, because we are now not deputies, we are Ukrainian citizens, those who are deeply concerned about the fate of our country. There have never been such tragic events in modern Ukrainian history. Ukraine had various powers: corrupt, professional, but there was never any bloody power in Ukraine. And the fact that people are being shot in the streets today in order to stay in the President's chair, the Prime Minister or any other official vertical is a crime against humanity and against their country. And for crimes, you have to sit down and answer for them. When a young girl was just shot today, who was a volunteer dressed as the Red Cross who pulled the wounded from under the bullets, who's responsible? Personal responsibility lies with the President, his ministers, his government, and those who are no one other than criminals against their own people. I am now specifically addressing those deputies from the Party of Regions and those who are willing to save the country and save the lives of Ukrainians. Come here immediately to the Parliamentary Hall, the fate of a country, a country that can be united, a country that saves millions of lives, a country that has a future. It's up to you, depending on your personal, personal, regional and non-factional position, whether we can close the disgraceful story page, save our Ukrainian state. Let us, in part, thank those non-fractional deputies and those who from the Party of Regions who have overcome fear and who believe in God and believe that the Lord God has born us to do great things to protect each other, to care for each other, to know that the highest value is the value of human life, and we can and must save that value. Dear community, apart from us, it's no one to do it, just nobody. And that's why I once again call upon all the members of all the factions of the entire Ukrainian Parliament -- we have sworn an oath to the Ukrainian people, the Ukrainian people, who are now being bullied, the Ukrainian people, who are being shot by snipers, the Ukrainian people who deserve another life, to have our own country, to keep our families safe, and to make our future peaceful and European. Everyone to the Parliamentary Hall! We vote to save Ukraine! Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u8	Thank you. Ladies and gentlemen, right now the apparatus is doing everything possible to restore the work of the Council system, the necessary experts are now trying to get to the Supreme Council, in order to restore the work, so I'm asking the cards not to pull out, it's okay, we're working to get to some positive denominator in this direction. From the non-fractionals, please, did Vladimir Litwin ask? Oh, no? Please, Rudzkowski, please.
ParlaMint-UA_2014-02-20-m0.u9	Ladies and gentlemen of the national parliament, your honor, Ukraine! Indeed, today is a special day. I now wish to address the national deputies from this rostrum who have not yet come to the Supreme Council of Ukraine. I believe that when we went to the rostrum of the Supreme Council of Ukraine, we swore an oath to the people of Ukraine. Our people are now waiting for us to make the necessary decisions and stop the fratricidal war. Today, in the center of Kiev, those who are behind democracy and freedom in Ukraine are killed and those who defend the rule of law in Ukraine are killed. This fratricidal war was started by people who do not understand and realize their responsibility for the process. I am convinced that only the Supreme Council of Ukraine can stop the shedding of blood by its decisions today. My suggestion is that today the Supreme Council, first of all, vote on the decision to expel law enforcement authorities and demilitarize the city center of Kiev. We must vote on the second decision to ban the entry of troops into the city of Kiev. I think everyone has a high responsibility and understanding. There is no need to pressure politicians and MPs who have differing views. We have to take every step back today. In my second decision, I think that we should consider and vote today by Parliament (and that is enough 226) so that the Supreme Council can determine that the Constitutional Court, in considering the changes made to the Constitution in 2004, has exceeded its powers. The Supreme Council’s ruling on the recognition of the exceedance of powers by the Constitutional Court is sufficient to establish that the Constitution is in force in 2004. And by the Second Decision of the Supreme Council, we can oblige the Head of the Supreme Council to return the act of the Constitution to the Supreme Council site in 2004. Next. I am convinced that we have every reason to reform both the leadership of the Supreme Council and the formation of a coalition government, with perhaps all political parties in this coalition government, in order to remove the opposition they impose on us from abroad. I am convinced that there are sniper rifles not fired by Ukrainians, and I am convinced that those who want a brother to go to a brother in Ukraine are doing this, so that Ukraine will split up in Dniper and there will be no strong, only European Ukrainian state. We MPs must do everything we can to make Ukraine European, civilised, powerful. I'm talking to the deputies who are still coming, have the courage, no one will attack you! Come and let us make the decisions of those responsible. Because it's up to us how many more people are going to die. Thank you. [[Applause]] To conclude, I would like to refer to the presidency, to announce the statements made by the MPs who have filed an application for an exit from the faction. Because I've written twice an application to quit the faction of the Party of Regions, it hasn't been read.
ParlaMint-UA_2014-02-20-m0.u10	Thank you. Please, Vladimir Mikhailovich Litwin.
ParlaMint-UA_2014-02-20-m0.u11	Dear Chairman, dear colleagues! I am convinced that every person today, especially our parents, our relatives and loved ones, and every national MP has a soul that cries out, a heart broken, and a vision of what is happening in Ukraine. The situation in the country is virtually a failure. In many cases, belief in justice has been killed, belief that there is already a state in Ukraine. And we have such a sad reality when we have the Ukrainian people, and I am convinced that we have the Ukrainian people, but at the same time, we are at great risk today. I come from the fact that we must not convince each other that the difficult situation is that the situation that threatens Ukraine's mortal danger. Obviously, we should begin to think wisely and responsibly and make the decisions we need. I would ask the chairman very much if we could make a legal decision, do everything we can to ensure that we have a vote, not by hand, but by electronic voting. Because then we will be no different from the decisions made on January 16. [[Applause]] I don't think the principle of haste should work here at this point. The next moment. We need to approve the work plan of the Supreme Council of Ukraine to provide adequate answers to the questions that society has asked. First of all, I suggest, fellow believers, and I appeal to the leaders of the factions who were involved in the negotiating process to inform them what was the meaning of the negotiations, what had been reached with the agreements that remained unresolved, and what was the reason that, in fact, the truce had turned into new tragic events in Ukraine. At the same time, I think we should look at the issues and form a group of deputies who represent not only different political factions, but the entire Supreme Council as a whole, who would act as mediators between the law enforcement agencies of the people who are now on the streets. I think it's unrealistic to give up those calls that we're going to get everyone out of here right now! But fighting and fighting is a direct duty of the Supreme Council of Ukraine. Decide, hold consultations on how to form a government. At the same time, I would ask, fellow believers, and if you would like, I would insist that we listen to this reasoning: we should not try to solve the human rights issues now, including those of the staff. And the re-scheduling is going to continue because otherwise it's going to be that part of the Supreme Council of Ukraine has come together for only one purpose -- to redistribute positions at a time. You have to make a decision, and then life will show. And to the end. It would be very good if we all now understood not only our shared responsibility here, for the state of affairs in Ukraine, and we asked our colleagues that the left side of the hall should also be filled and that together we should make a joint decision that they should have a high power of law, that they should have absolute perfection in order to show an example of how to get out of this difficult, extremely complex situation. Once again, to conclude, I say that the Supreme Council should work. If we don't have a solution, we need to create groups that work here before we can produce a package that's agreed on, not for us, but for society. Thank you.
