Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Regular	MP	notMinister	Batkivshchyna	All-Ukrainian Union "Fatherland" (Batkivshchyna)	-	Centre	ЛеонідМиколайовичДаценко.1963	Dacenko, Leonid Mykolajovyč	M	1963	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Regular	MP	notMinister	-	-	-	-	ВікторПетровичПилипишин.1961	Pylypyšyn, Viktor Petrovyč	M	1961	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Regular	MP	notMinister	-	-	-	-	РусланГеннадійовичБадаєв.1972	Badajev, Ruslan Hennadijovyč	M	1972	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Regular	MP	notMinister	-	-	-	-	МиколаПетровичКруглов.1950	Kruhlov, Mykola Petrovyč	M	1950	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Regular	MP	notMinister	-	-	-	-	МихайлоМихайловичПоплавський.1949	Poplavs'kyj, Mychajlo Mychajlovyč	M	1949	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
ParlaMint-UA-en_2014-01-15-m0	ParlaMint-UA_2014-01-15-m0.u12	Ukrainian parliamentary corpus ParlaMint-UA-en, term 7, session 3, sitting day 2014-01-15, n0	2014-01-15	Unicameralism	7	3	-	2014-01-15	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	ВолодимирВасильовичРибак.1946	Rybak, Volodymyr Vasyl'ovyč	M	1946	
