Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u129	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u131	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u132	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u133	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u134	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u137	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u138	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u139	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	ŠarabaSlobodan	Šaraba, Slobodan	M	1960	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u140	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u143	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	ŠarabaSlobodan	Šaraba, Slobodan	M	1960	
ParlaMint-BA-en_2007-03-30-0	ParlaMint-BA_2007-03-30-0.u144	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 03	2007-03-30	Unicameralism	5. mandat	-	Sjednica 03	2007-03-30	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
