Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ŠirceljAndrej	Šircelj, Andrej	M	1959	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	PolnarRobert	Polnar, Robert	M	1960	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	LepŠimenkoSuzana	Lep Šimenko, Suzana	F	1979	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	ZabretAndreja	Zabret, Andreja	F	1969	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SD	Social Democrats	Opposition	Centre-left	HotMeira	Hot, Meira	F	1980	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
