Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Regular	notMP	notMinister	JxCAT	Junts per Catalunya	-	Centre-right to right	GeisGemma	Geis i Carreras, Gemma	F	1975	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Regular	MP	notMinister	GP-VOX	Grup Parlamentari de VOX en Cataluña	Opposition	Right to far-right	LoraMónica	Lora Cisquer, Mónica	F	1988	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Regular	notMP	Minister	Independent	Independent	-	-	VergeTània	Verge Mestre, Tània	F	1978	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.10.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Regular	MP	notMinister	GP-VOX	Grup Parlamentari de VOX en Cataluña	Opposition	Right to far-right	LoraMónica	Lora Cisquer, Mónica	F	1988	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.11.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.12.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Regular	notMP	Minister	Independent	Independent	-	-	VergeTània	Verge Mestre, Tània	F	1978	
ParlaMint-ES-CT-en_2021-12-16-2003	ParlaMint-ES-CT_2021-12-16-2003.13.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-12-16 2003.ana	2021-12-16	Unicameralism	XIV Legislatura	-	20	3	-	COVID	English	Chairperson	notMP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BorràsLaura	Borràs i Castanyer, Laura	F	1970	
