ParlaMint-HR_2022-03-10-0.u96310	Your Honor, Mr. Stier.
ParlaMint-HR_2022-03-10-0.u96311	Yeah. Well, you see, on the one hand, a lot of things, of course it resembles Slobodan Milosevic and aggression in Croatia. There is a difference, however, Serbia is not a nuclear force and of course, even though Croatia was much more difficult, we should also have this dimension in mind. Today, Serbia is also not in the same geopolitical situation as Russia. Not only because it is not a nuclear force, but because it is surrounded by NATO members. So all the countries around are NATO members or in the case of Kosovo and BiH, NATO is present in those countries. And then it certainly puts Serbia in a second position, but it must decide which direction it wants to go. So it's now a decision that Belgrade definitely has to make.
ParlaMint-HR_2022-03-10-0.u96312	Dear Representative Deur.
ParlaMint-HR_2022-03-10-0.u96313	Vice President, Your Honor. This is when we look at the time of the '90s, '91, President Tudjman and many decisions that the people had to make in those moments, we have seen many times that prominent politicians in the Croatian state were not at the moment of being able to make a quality decision and thinking about how many people were threatened and the moment of that decision fast and quality. Today, Europe and the environment are at risk, and this government has brought many quality... Decisions and notifications of the Croatian Armed Forces on security and... [[The speaker doesn't understand.]] Croatian leadership as a people and Croatian army. [[The speaker doesn't understand.]]
ParlaMint-HR_2022-03-10-0.u96314	Your Honor, Mr. Stier.
ParlaMint-HR_2022-03-10-0.u96315	Thank you, colleague Deur. It seems to me that when we had a debate about the Declaration of Ukraine on behalf of our club, I mentioned two important decisions. One, you've alluded to it, and that's strengthening our defence capabilities, obtaining warplanes, but also, by strengthening and ground forces,... and announcing further modernisation of the Armed Forces. [[The speaker doesn't understand.]] Another strategic character was the construction of an LNG energy security terminal, which was not always visible to all. Many were against it, from different positions. However, it was the right decision by the government. I think that this situation even now further encourages us to increase and our production, our own gas production and the reduction in actually, imports because there are still a lot of imports of this, and we need to address that issue as well.
ParlaMint-HR_2022-03-10-0.u96316	Dear Representative Barbaric.
ParlaMint-HR_2022-03-10-0.u96317	Thank you, dear Vice President, dear colleague. Several speakers mentioned BiH and possibly endanger the Republic of Croatia, which is understandable given the length of the border of different security aspects. Let's also think of the migrant crisis years back from '15. here, you mentioned the economic interest of the Republic of Croatia, I would prefer to be mentioned in the context of the protection of the survival of Croats in BiH, but that is so. Don't you think that a form of war, a special war has been going on for 20 years in BiH through the imposition of illegal representatives, different forms of taxation and the desire for domination, the harmonisation of the right to.../incomprehensible/... the channel in Croatian language and different forms of discrimination deny freedom. In fact, who besides the Croats in BiH wants Euro-Atlantic integration in the first place?
ParlaMint-HR_2022-03-10-0.u96318	Your Honor, Mr. Stier.
ParlaMint-HR_2022-03-10-0.u96319	I believe that the future of BiH must be according to... And you are correct in alluding that the Croats are the ones who strongly support it. [[The speaker doesn't understand.]] Now, we have debated here several times, and I will repeat, I believe that, especially in this situation, it is important that the leaders of Bosniaks as the most numerous people, and then have a special responsibility, accept Croats as equal partners. To accept an agreement that will allow for the change of the original law and then legitimate representation, not to force the Croats to go into some tactical agreements or co-operation with Banja Luka because I also believe that Banja Luka is the establishment of Belgrade and therefore, if we want BiH to be in the context of this sphere of influence rather than looking west towards Euro-Atlantic integration, it is important that this agreement is reached on the reform of the electoral law.
ParlaMint-HR_2022-03-10-0.u96320	Thank you. Thank you very much. Now we're going to stop by to discuss this point because it's been, like, an hour, and here it is, and we're going to go to the point of view. We will now return to our point which we have briefly interrupted with individual debates, and will now speak the respected representative Marija Selak Rasdic. Here you go.
