Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u1	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u2	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u3	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u4	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MartinBaxa.1975	Baxa, Martin	M	1975	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u5	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u6	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	TomasMartinek.1986	Martínek, Tomáš	M	1986	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u7	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u8	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Opposition	Centre-right	DominikFeri.1996	Feri, Dominik	M	1996	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u9	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u10	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2019-03-13-ps2017-027-06-019-021	ParlaMint-CZ_2019-03-13-ps2017-027-06-019-021.u11	Parliament of the Czech Republic, Chamber of Deputies, 2019-03-13	2019-03-13	Lower house	ps2017	-	ps2017/027	ps2017/027/06	ps2017/027/021	Reference	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
