ParlaMint-HR_2013-06-26-0.u35491	Here you go, colleague Jandrokovic.
ParlaMint-HR_2013-06-26-0.u35492	Thank you, Madam Vice President. So on behalf of the Club of Representatives of the Croatian Democratic Community, please pause for 30 minutes. Namely, information has surfaced on all major portals, in all major media outlets, that German Chancellor Merkel has cancelled her arrival in the Republic of Croatia. It connects to the Perkovic case. At the same time, German police have raised the warrant and raised a reward for information on Mr. Perkovic from 5 to 12,000 euros. So, the clear signals we got from Germany. Clearly, what we have warned is now happening. And please take a break so the Parliament can discuss it.
ParlaMint-HR_2013-06-26-0.u35493	A colleague, Vuksic.
ParlaMint-HR_2013-06-26-0.u35494	And the Croatian Labour Club prays for the same reasons.
ParlaMint-HR_2013-06-26-0.u35495	I'm a colleague of Salapic's.
ParlaMint-HR_2013-06-26-0.u35496	I'd like to join the same break.
ParlaMint-HR_2013-06-26-0.u35497	My colleague Kosor.
ParlaMint-HR_2013-06-26-0.u35498	Also Madam Vice President.
ParlaMint-HR_2013-06-26-0.u35499	Thank you very much. I'm setting a break to 12.37. MEETING IN 12.20 HOURS [[CONTINUATION AFTER MEETING IN 12.35 HOURS]] On behalf of the HDZ Club, colleague Gordan Jandroković.
ParlaMint-HR_2013-06-26-0.u35501	Dear Madam Vice President of the Croatian Parliament, dear colleagues and colleagues. The HDZ advocates' club asked for a break after we received information that has already become very widespread, it is also being discussed among journalists and media that the German police have issued a warrant and raised a reward for who will give them information on the whereabouts of Mr. Josip Perkovic and, on the other hand, immediately after that, the announcement that German Chancellor Merkel will not come to the celebration of Croatia's entry into the European Union. Dear colleagues and colleagues, especially you from the SDP, I'm sorry that you're almost here, what we warned you about happened. You were playing with fire and now you're burned, but it's not a problem that you burned down, the Republic of Croatia is embarrassed just in the days when it enters the European Union. And that is why, because you have subordinated the state to the interests of individuals, to the interests of a particular category of people and it is clearly recognised not only here in Croatia, it is also recognized throughout Europe. You have seriously compromised the credibility of the Republic of Croatia right at times when we become a full member of the European Union and unfortunately your perception is that this government, that the SDP protects those people who have executed the liquidations during the communist system. When we spoke to you, HDZ, opposition, media, here in Croatia, then you shook your hand, tried to accuse others. But now you have received a clear message from a country that has passed totalitarianism, which has seen both left and right totalitarianism, which has condemned both left and right totalitarianism, as left and right totalitarianism condemns the entire European Union. You, unfortunately, cannot accept the fact that during the communist system, there has been a crime, that there have been people who have killed other people for political reasons, their political inexperiences, and now because of such a category of people, we come into a situation that cancels our prime minister, Chancellor Merkel, to celebrate our entry into the European Union. So, my people, are you aware of this, instead of celebrating, instead of being proud, instead of being dignified, happy that we are becoming part of such a community of states and nations today we are having this kind of debate, we all here together have to be ashamed because the Croatian Government is trying to protect those who committed crime. We watched the minister here when he was and when he misread whether the law could be passed or not, that Brussels is not important here at all Brussels, we are important here to know that we can finally set ourselves up according to our past. We were able to condemn the Independent State of Croatia and should have condemned it. What was particularly difficult for all of us Homeland War, some of the crimes that took place back then, the Croatian state had the strength to deal with it. But it is impossible to recognize today and it is amazing that one part of Croatian politicians, that one part of the Croatian political establishment is unable to learn the truth about communism, look the truth in the eyes and say that it was a totalitarian criminal order. And now we're getting a message from Germany that says it to one, so I'm not even going to say a particularly sophisticated way because this is a clear message, the same day to increase the prize for the wanted person and cancel Chancellor Merkel's arrival. It's a very clear message. Is that what we need? Why didn't you listen to us, why did you go into such things and protect the individual at the expense of the state's interests? Here's what you've got now. But we all have now because we all represent Croatia when we go and talk to our friends from the European Union. We ask the Vice-President of the Croatian Parliament to come here a representative of the Government, a prime minister or someone else to explain to us what this is about, to withdraw this law from the procedure and to save the face of the Republic of Croatia. We still have time, it must be done, it is useful for Croatia, it is also for historical truth and for victims, because of those who have been killed, because of their families, but at this point it is important that we enter the European Union with honor, dignity, with pride. Thank you.
ParlaMint-HR_2013-06-26-0.u35502	Thank you very much. On behalf of the Club of Representatives of Croatian Labourists, colleague Dragutin Lesar.
