ParlaMint-HR_2013-07-03-0.u35509	Here you go, Zeljko Reiner.
ParlaMint-HR_2013-07-03-0.u35510	Dear Madam Vice President, I'm looking for a break on behalf of the HDZ Club for another shameful government decision on the replacement of the director of Vukovar's heroin hospital, Dr. Vesna Bosnianac. Before the ceremony in connection with Croatia's entry into the EU, it is likely that to cover it up and go unremembered by the public, the government has made this shameful decision that represents a political reckoning with one of the symbols of the Vukovar resistance to Serbian aggression in the Homeland War, and we believe that this must be discussed here and I am looking for a 15-minute break. Thank you.
ParlaMint-HR_2013-07-03-0.u35511	I'm taking a break until 10 o'clock and 38 minutes. It's 10:00.28. [[CONTINUATION AFTER MEETING IN 10.40 HOURS]] On behalf of the HDZ Club, a colleague, Vice-President Zeljko Reiner, will speak after a break. Here you go.
ParlaMint-HR_2013-07-03-0.u35513	Thank you very much, Madam Vice President, colleagues and colleagues. Here's what we're asking for is a break from the Parliament to discuss another shameful decision by the government that has been removed from the post of Director of Vukovar Hospital Dr. Vesna Bosnian. Dr. Vesna Bosanac, I don't need to think about it and tell anyone about it, is indeed one symbol of resistance to Serbian aggression in Croatia but at the same time a symbol of peace and tolerance. It is recognised in the world not only in Croatia as heroin, which in the most terrible war conditions cared for all wounded people in Vukovar Hospital regardless of nationality and religiousity. We all know what she went through in Serbian prisons, we all know that she was among the first to return to peaceful reintegration in Vukovar and there in the destroyed city to rebuild, equip and modernise the Vukovar Hospital literally from the ruins. This was, of course, done with a transparent excuse with the excuse to do so for the recovery of that hospital as the same excuse used for the party shift of the director of county hospitals under the pretext that these are hospitals that are in debt, so now we need to put resolution managers who will save the matter. Of course, it's about a transparent deception and untrueness. First of all, it needs to be made clear that virtually all hospitals are down, they are down for reasons that are fully reflected precisely in the case of Vukovar Hospital where the Vukovar Hospital is constantly cutting budgets gets 6.2 million kunas lately and only for the salaries of staff spending 7.4 million kuna. And, of course, it is fully evident that it must be at a minus, as in the rest, I stress practically all other Croatian hospitals once again. However, it is a clear, political move and that it is a political reckoning with one of the symbols of the Vukovar resistance that also says that in those hospitals where the principals were members or close parties of the ruling coalition, they were simply declared to be recovery managers. So that's about as much logic as you say you have a company that goes bankrupt and then you declare the CEO of that company as the bankruptcy manager of that same company that was headed when she went bankrupt. But that's not all. Former directors have been named as bankruptcy managers, some of whom have police applications, criminal charges for abuse of duties under the DORH investigations. And they could've stayed the remand managers in their seats. The directors who took over the hospitals were in plus and today tens of millions in minus they could remain in their same places and the heroin of the Homeland War Dr. Vesna Bosnianac was under this repeated transparent pretext replaced. What message is that? A series of associations and defenders but not just defenders but let's say the Croatian patients' association rebelled against it and said that here I quote that she is one lighthouse that shouldn't and shouldn't be put out by violence. And that's exactly what happens, violence and lights out. We need to make it very clear that we are very concerned because it is a message to the defenders. The defenders are obviously good when they're used as a fig tree to fool the public, for example, in connection with the arrest warrant law, but when they're heroes of the Homeland War, then they can be replaced and they're not so important. I also want to make it very clear that many defenders are wondering whether we, too, are going to be replaced by other defenders of the Homeland War or if something worse is going to happen to us. [[Intruder: Lock up please.]] I think it's such a shame to have to talk about it in the Croatian Parliament and I'm actually asking on behalf of the HDZ Club for the Prime Minister to come here and explain this shameful event without any precedent. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44865	We will now move to the first point of today's agenda, that is - Proposal for a law on strategic investment projects of the Republic of Croatia, first reading, PZ No. 420 The legislator is the Government of the Republic of Croatia. You've received the motion for an act in boxes. In the case of the adoption of this law, the provisions of the Rules of Procedure relating to the first reading of the law shall apply, Articles 144 to 150. The debate was conducted by the Committee on Law, the Committee on Economy and the Committee on Environment and Nature Protection. You received the reports at the session. And the introduction of the bill will be explained by the Minister of Economy, Mr Ivan Vrdoljak. Here you go, Minister.
ParlaMint-HR_2013-07-03-0.u44866	I'd like to thank the esteemed vice president. Ladies and gentlemen of the Parliament. In short, a few introductory sentences about the law. A big debate arose a few months ago when at all with some draft, the first draft of the law, we went out in public debate and here I am saddened by my grief, and many investors, we failed to complete both rounds of passage through the parliamentary procedure before the summer break. It doesn't matter. Nothing radical, catastrophic happens. Obviously, both the public and the constituency clubs and MPs have spent several months on a quality debate may be better than to rush into the procedure, and later in the application of the realisation, there may be problems. So the fundamental reason why we propose this law stems from the need to launch an investment cycle in the Republic of Croatia as one of the main drivers of the development of the Croatian economy. The law is passed in order to speed up procedures that have so far been halted, significantly slowed or made time-consuming investment projects of great value and importance to the Republic of Croatia. You know that we have had a very large number of investments that have stood for years for a variety of procedural reasons or various adoptions of spatial plans at various levels where, in fact, only by retaining investments, they would have led it to questionability for reasons why and then the price of capital that should be realised is of course changing if all investment, investor and financial sector plans followed by investors are being questioned. The proposed legislative solutions will provide the necessary legal framework to create assumptions for the launch of a sustainable investment cycle, and the launch of an investment cycle and major projects will positively affect the overall investment climate and the even greater attraction of other projects. Those reasons shall also be supported by the constitutional tasks of the State which, pursuant to Article 49(3). The Constitution of the Republic of Croatia raises economic progress and the social well-being of citizens and takes care of the economic development of all its regions. Here are several basic legal solutions and why we decided to encourage large investment projects. There has been a lot of debate on why not all the projects put in place and how it is possible to monitor it operationally. Why the big one? Large investments have a different, completely different investment cycle but not of course someone less. They are affected by more regulations than when it comes to smaller investments. Also, for such large projects, the investor is most often obliged to adopt detailed plans of the organisation and urban plans of the lower order, which very often slowed down and complicated the realization at the levels of local and regional administrations. Large investments are not neglecting, of course, and these are less important than the state's importance and interest, and because of the employment of a larger number of people because it is a major investment and a wider impact on economic opportunities in the region where they are realised in the country. Of course, it should be taken into account that every major investment and even after realisation, but even during realisation, employs a large number of medium and small enterprises. Some of the ratios we all talk about are that one large sector employee in the large industry and in a large investment brings 4 to 8 employees in small and medium-sized enterprises based on either co-operatives during or after the realization of companies in the large system. And big investments help to develop infrastructure from both transport, municipal, energy and everything else. It is my desire here to highlight a few more things, that certain segments in the regulation of the relationship to which this law is reflected are set out by a series of specific laws and regulations which remain in force and which will continue to apply. This law only aims to shorten and speed up the process of coming up with the overall documentation necessary for the implementation of projects both public and private projects. The first idea a half year ago when we discussed that we needed such a law was actually public, to speed up public projects even basically those that come from structural, funding from structural cohesion funds. Then we realized that there was really no reason not to give that chance to big investment projects that were initiated by the private sector. A procedure for preparing and implementing an investment project is established with the aim of achieving it effectively. The procedure shall be designed to establish all the necessary processes, the competences of the bodies in which the work is to be taken, the appointment of responsible persons who will play the role of the executives by the competent authorities, the obligations of the national regional and local authorities, the obligations of the investor and the dynamics of their enforcement. So, a completely clean picture within which deadlines, which responsible persons, which bodies of the state administration should do. The criteria and procedures for the establishment of strategic investment projects and the availability of real estate owned by the Republic of Croatia by concession regarding the implementation of the strategic project and the issue of administrative acts relating to the implementation of these projects are also laid down. The law does not give more rights than is currently prescribed by the current laws of the Republic of Croatia which regulate the implementation of the investment in the Republic of Croatia, and the conditions under which someone can currently be authorised do not change and remain regulated by the current law, but only affects the speed and effectiveness of these procedures. So there was also an open discussion that something like selling, owning, selling. Under the current law, all powers go hand in hand. The only thing he'll care about is the efficiency of the procedure. I also say that no strategic project will make this particular point if it is necessary several times it will not be possible to achieve this if it is not provided for in the spatial planning documents. So simply what's not in the spatial plans can't be realized and no one's ever had an idea and it's never written that differently. However, for the issue of a local permit, building permits, the applicable permits are prescribed the unique jurisdiction of the Ministry of Construction and Spatial Planning, thereby significantly shortening the authorisation procedure. We are all witnessing what it looks like when the local administration is waiting for its position first, and then when they smell it somewhere, then they ask the ministry's opinions, so they eat there for a few weeks or months in correspondence between the various authorities of the state administration. Here, according to existing legislation, we have only given jurisdiction to the Ministry of Construction and Spatial Planning. It is also of particular importance to create the possibility of attracting investments in areas of special state concern as well as in all areas considered less developed according to the development index criterion, where the total value of investment costs is needed 20 million kuna. It is also possible to implement projects that can be co-financed by funds as I mentioned earlier in the EU programme, and the total value of the project's capital costs is the same, in fact, greater than 75 million kuna. Under this law, the Government of the Republic of Croatia can make a public call to potential investors to invest and implement an individual strategic project when it is estimated to be of state interest and with the aim of attracting investment and reaching a decision to realise its investments within the Republic of Croatia. The proposal for a law of the Ministry of Economy has been agreed with the Ministry of Justice on the procedure of expropriation and the speedy resolution of property-legal relations as well as with the Ministry of Finance and the Ministry of Maritime Affairs, Transport and Infrastructure related to concessions. Then, the Ministry of Construction and Spatial Planning, Tourism, Agriculture, Regional Development, EU funds, culture, environmental protection, nature, the Ministry of Administration and all colleagues have been very detailed in which procedures are expected in the last few months and that any ministry's reaction is expected during the implementation of the project. In fact, the ministries themselves have sought solutions that some of their existing laws that have been amended through this law in order to speed up investment in the Republic of Croatia, in fact, through this law, have their formal and legal obstacles that they have in this way speeded up, and then, of course, in a period that follows and in the existing legislation, they will remove those barriers. Perhaps, in conclusion, this law should be seen as an instrument that will allow us to raise the administration system to one higher level within a relatively short time, so that the administration gets specific instructions and procedures on how and when to prepare and implement an investment project either in the public or in the private sector. It is important to note that under this law non-compliance in the adoption of administrative acts, sanctions such as the imposition of a serious violation of official duty as well as sanctions for serious infringements of official duty are to be imposed. So, one supplement that can be sensitive but is necessary in order to essentially and responsible people who will know that they are responsible for a part of the job to know their responsibilities, to know their deadlines so that once we say that when someone takes one such responsibility that after that they do not execute, and the employee is a state administration, they can be sanctioned. And I will repeat the law is passed in order to speed up the procedures that have been stopped so far, significantly slowed down and made time-consuming very unacceptable investment projects and to create assumptions for the launch of a sustainable investment cycle and the necessary growth of the entire Croatian economy. A few closing sentences. We really invite you to an open debate, we are open to all suggestions that can help make this law as good as possible for the Republic of Croatia, for investors who come, for citizens who will be the greatest consumers of this law. And as we go into two readings during a break in the Parliament we will, last week I think we opened a public debate for another month, to perhaps get more in the public debate of suggestions that can help in the realization of all these investment cycles. We do not want to disabling any legal frameworks today, we just want in a very clear way to define both time limits and responsible people and responsible bodies of the state administration so that they do not have so that I can tell some historical story in the Republic that very often investors and when I can't go into investment don't even know who's responsible for anything or who's to blame for not happening. In a very transparent way, the government will also decide on a list of projects that will get the status of strategic investment projects of the Republic of Croatia, so in my opinion, all the processes that are happening today in some investments in Croatia do not know what is happening at local level. In this way, in a much more transparent and clear and public way, monitoring any of the projects the government will appoint as in line with the criteria of strategicity. So I urge you to make a joint law in a constructive debate that will help, we do not need to help this government to help investors and our citizens realise their investment as effectively as possible. After all, I would really like to live in a country where this law is not necessary and that is to be said. That we have a formal legal framework where it is becoming more clear, where the authorities of the state administration and even the employees can react in a very clear way and where there is no difference that in some local self-government unit licenses can be obtained in 7 days and in another in 11 months. Or somewhere the spatial plan will change in three months, and somewhere in six years. However, for the overall change in the investment climate in the Republic of Croatia, it still takes a few years because a negative investment climate has been broken down for many years. I don't think we have a right to wait. This is a law that needs to actually provide for a period of several years while the formal legal framework and while everything we do to raise the competitiveness of this country and to amend the legislation in other laws, here is the Law on Spatial and Construction will be very soon, as has been amended and adopted. At a time when we change all this, I think this law will not be necessary in this country in a few years, and until then we have no right to tell our citizens to wait a year or two days because tens, tens of laws cannot be passed within a short period of time, which is much easier to resolve by this law. Here, I invite you to a public open hearing. I am convinced that since autumn he will again come to another reading on benches of law that will be useful to all of us. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44867	Thank you, Minister. We have a replica of a colleague named Ivan Shuker. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44868	Thank you very much, Madam Vice President of the Croatian Parliament. Mr. Minister, I therefore expected that in your opening part of your argument you would dedicate the most part of your reasoning to Article 17 because all these articles are, can be discussed in one way or another, but Article 17 is something that creates a dispute. Therefore, it is said that real estate owned by the Republic of Croatia including forests, forest land, agricultural land and public roads for the implementation of the strategic project is available to the Government of the Republic of Croatia. What about AUDI? You want to change the AUDI Act? That's one thing. Article 2 The Government of the Republic of Croatia shall have no public competition or no public collection of offers of market value according to the assessment of the authorised court expert. An authorised court expert is a market value in two things opposite. The market value has the IRS, and the court expert by some other parameters for assessment. However, this is a key reason why without public procurement and public competition. So, I expected you to explain that. And paragraph 3. The Government of the Republic of Croatia, with the consent of the Resoring Central Authority of the State Administration, may set out the forests, i.e. forest land necessary for the implementation of the Strategic Project, etc. I think it's a fundamental challenge and in the first practically draft law, you have to define to what level it is. It can't, because there could be a thousand acres here, and there could be 100 square meters. To pull some kind of parallel, you had an IKEA case where one part of their plot didn't fit them, the other they needed, and they were supposed to replace it with the state. So, one piece of agricultural land for another piece of agricultural land. So it's not disputed to make it so. But in this paragraph 3. it is necessary to define which surface it is. 100 acres isn't some area for a strategic project, you understand. But look, I'm just telling you if you're opening up space, and this opens up space for a variety of manipulations if you don't have a public competition, then we can think about what might happen. I'm saying, it's been a struggle since the beginning, and I expected that in your opening part of that article, you'd form the 17th, and then the debate would probably go in another direction.
ParlaMint-HR_2013-07-03-0.u44869	The reply to the replica by Minister Ivan Vrdoljak.
ParlaMint-HR_2013-07-03-0.u44870	I don't know in which way I would assume what you're thinking and what you expect from me when I present the introduction of what the ideas of the law are, in which way I should conclude at what point the article 17 is in the focus of your thoughts, but fine. Article 17 is one of the articles that is not crucial and we are not running away from you suggesting very simply what your proposal is. How do you know how long the IKEA lasted and one piece should be replaced with another piece, so it lasted as long as Mr. Schucker, a few years. So we almost lost them, so we got them anyway. I invited you in a public debate to suggest how much a restriction should be, so maybe all of us here, as I do and all the MPs, will say what are the advantages or disadvantages of your proposal. I personally don't think that we should put restrictions because the restrictions very often if we say it is 100 square meters will come to us an investment that will be 102 square meters so we'll tell yao how now, we want to change the law or you're how very often the state administration says you've crossed a 1mm and you don't fit the laws anymore, so we wanted to be strategic if we decide for a strategic decision that the government will then say in a transparent way what are squares or hectares that are in the interest of realisation and investment solved, and not have a limit so that someone once found a reason to think about one plot, two parcels, three plots or one investor or two investors on one strategic project financed... or anything else, so it was an idea. But okay. suggest, let's go in two readings, say what your assessment is that we can write it down that it's something that this law cannot apply to, whether it's 100 square meters or 100 acres, and we'll discuss it together, I think it's the wisest thing. As far as your comments on public procurement are concerned, I am pleased to see it if in your opinion all articles are excellent except for Article 17 that I am primarily pleased, as regards public procurement means if the Government decides in its procedure and criteria to put on the list a strategic project which will in a very public and transparent way be presented to the public then procedures that are below it Here, then are the procedures that are below it, let's not complicate them, let's not assume that then someone in public procurement systems and we have problems in public procurement systems that you and you know and we know, we know how to lose them, we know how to lose hundreds of millions of kunas, we know that companies will get into trouble because we have a system of public procurement at work, and in this way we have already made a decision that should go in a transparent way and there is no reason to lose then months and months to some unnecessary public... [[Aggression: Lock down the ministers.]]
ParlaMint-HR_2013-07-03-0.u44871	Thank you very much. You can explain that when you get back to me in 10 minutes. Do the committee's reporters want to take a word for it? Chairman of the Committee on Economy Igor Radinovic. Here you go, buddy.
