Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e956	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e987	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1020	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1047	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1104	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	Q1253	Ban, Ki-moon	M	-	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1344	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1371	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_35504	Schieder, Andreas	M	1969	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1426	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1447	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_15526	Lopatka, Reinhold	M	1960	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1502	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1524	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35518	Strache, Heinz-Christian	M	1969	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1587	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1602	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35518	Strache, Heinz-Christian	M	1969	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1633	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1654	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1730	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1752	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_10304	Strolz, Matthias	M	1973	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1831	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2016-04-28-025-XXV-NRSITZ-00125	ParlaMint-AT_2016-04-28-025-XXV-NRSITZ-00125_d7e1852	Sitting Number 125, Legislative period XXV, Thursday, 28. April 2016	2016-04-28	Lower house	Legislative period XXV	-	-	Sitting 125	-	Reference	English	Regular	MP	notMinister	STRONACH	parliamentary group Team Stronach	-	Centre-right to right	PAD_51579	Lugar, Robert	M	1970	
