ParlaMint-FR_2018-12-20-O1113.u1	The next item is the discussion, for final reading, of the 2019 Finance Bill (No. 1545, 1550).
ParlaMint-FR_2018-12-20-O1113.u2	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2018-12-20-O1113.u3	I'll be very brief. First of all, I want to thank all of you for your readiness to review the finance bill, despite the particular circumstances, and for the dialogue between Parliament and the Government, which allowed us to answer some questions – I am thinking of the arrangements made for fiscal integration or for chambers of commerce and industry.
ParlaMint-FR_2018-12-20-O1113.u4	Big subject!
ParlaMint-FR_2018-12-20-O1113.u5	Our commitment on this issue will be fulfilled: next September, we will take stock of the status of the KICs, determine whether the measures adopted are being implemented in good conditions and, if necessary, make the necessary adjustments. Finally, I would like to report to the national representative on my discussions yesterday with European Commission Vice-President Valdis Dombrovskis and Commissioner Pierre Moscovici. The Commission has fully understood, I believe, the exceptional circumstances in which France finds itself and the need to respond to the cry of anger and suffering that has manifested itself in our country. I told my interlocutors that our public deficit would be 3.2% but that, apart from the specific adjustment for the CICE – the tax credit for competitiveness and employment – it would be only 2.3%, so below the 3% mark, in line with our European commitments. I recalled that the line of the Government and the President of the Republic remains that of restoring our public finances and improving the competitiveness of our companies, guaranteeing a better quality French offer. This recovery is not negotiable – it is a conviction that we share with Gérald Darmanin – for a simple reason: there will be no prosperity for the French and France without solid public finances. As I said to the Commission, that is the aim we must pursue in the coming months. [[Applause on the benches of the LaREM and MODEM groups]] I also recalled that our determination to continue the country's economic and social transformation remained complete and that all the fundamental elements, pillars of our economic and social policy, which you have adopted since 2017 – capital taxation, labour market reform, the action plan for business growth and transformation – remained unchanged. As for the future, we are determined to achieve the profound reforms that our economy needs to create prosperity and jobs, reindustrialize our territories and simply allow our compatriots to live better.
ParlaMint-FR_2018-12-20-O1113.u6	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2018-12-20-O1113.u7	[[Applause]] The final reading of the 2019 finance bill is an opportunity for me, as for Bruno Le Maire, to thank all the parliamentarians who have contributed to the drafting of the bill. Let me have a special word for the rapporteur-general, who has worked extensively with our teams, both upstream and downstream of the bill, as well as the chairman of the Finance Committee. We have had respectful and constructive exchanges that have brought honour to the parliamentary debate. I would also like, as I did the day before yesterday – during the night, or more precisely early in the morning – to thank the staff of the National Assembly mobilized on the stage or with the deputies. Finally, I welcome the presidency of the Assembly: the Vice-Presidents and President Ferrand, who followed in the rostrum during the four months of financial debates. I am all the more grateful for the work done by all the parliamentarians, officials of the Assembly and collaborators of our ministries, as well as by our two Secretaries of State who also sat on these benches, that the debate in the Assembly and in the Senate has been the subject of several novations. First, the expanded commissions have been removed, in return for the re-evaluation of the review of the settlement bill, in accordance with the wishes of your assembly. Secondly, the number of articles in this finance law – 363 – is all the higher as the budget collective has been reduced to its original purpose, with nine budget articles. Finally, it is important to stress the reactivity of your assembly to translate immediately the announcements of the President of the Republic into concrete measures. For example, yesterday afternoon, the Committee on Social Affairs adopted the draft law on emergency economic and social measures, which you will be debating in the House this afternoon. Aware of the need to go even further in the exercise, I will have the opportunity, together with the minister responsible for relations with Parliament, to propose to you adjustments that will allow us to go further in the renovation of the budgetary procedure, subject to constant duty. We may be able to discuss this in the context of institutional reform, when it comes back to your House next year. In particular, I would suggest that we reconsider the silo examination of the various missions of the general budget, so as to allow the discussion to gain speed, consistency and rationality. In the shorter term, from the beginning of next year, I will submit concrete measures to accompany the strengthening of your public policy evaluation role, on which Amélie de Montchalin has spoken several times in the media. The Government's idea is to support Parliament's initiatives for a more effective, independent and perhaps more precise evaluation, specifically in its budgetary and financial dimension, which underpins the analysis of public action.
ParlaMint-FR_2018-12-20-O1113.u8	All right!
ParlaMint-FR_2018-12-20-O1113.u9	[[Applause on the benches of the LaREM group]] I will propose that you share with your Finance Committee the most useful data from the Chorus information system. As I indicated in writing to the President of the National Assembly less than 24 hours ago, this access will allow you to consult in real time the availability and consumption of State appropriations, in order to carry out the monitoring work necessary for the proper conduct of public policies. This is an important step forward in the transparency of public data. This proposal is part of the Government's determination to enrich the quality of our budgetary exchanges while ensuring the transparency that I and the Minister of the Economy wish to guarantee. In substance, as the Minister of Economy has noted, this budget has made it possible to further clean up our public finances while respecting our commitments. It reconciles pragmatism and fiscal justice, on the one hand, encouragement at work and social protection, on the other. I would also like to say a word about the Social Security Financing Bill, which we completed a few days ago. We continue to fulfil our commitments in the field of methodology, by continuing to make the state budget sound, by clarifying our fiscal policy, by abolishing small taxes – I particularly welcome the work of the Member of Parliament Laurent Saint-Martin on this point – and by bringing our taxes into line with European standards, which the Minister of the Economy mentioned in the debate. We are also continuing the financial contracting process, which began with the largest communities in 2018. More generally, we continue to deliver on presidential commitments. As the Minister of Economy pointed out, we keep our priorities: the decrease in taxation and the increase in the purchasing power of our fellow citizens – an unprecedented increase in 2019, noted by INSEE as well as by most major French newspapers; the encouragement to the working France, thanks to the PLFSS and the text that Muriel Pénicaud and Agnès Buzyn will defend this afternoon; the strengthening of the security of the French, both physical, by strengthening the regal domains of the State, as well as social. [[Applause on the benches of the LaREM and MODEM groups]] Ladies and gentlemen, it is with some relief that I thank you, for the second year in a row, for four months of debate, day and night. Like Sisyphus, we will resume next year's review of the nation's budget. In any case, it is exciting to take our place and try to work best for our fellow citizens and our beautiful country.
ParlaMint-FR_2018-12-20-O1113.u10	Mr Le Fur has the floor for a point of order.
ParlaMint-FR_2018-12-20-O1113.u11	My point of order relates directly to our work. Indeed, while being mobilised by the finance law, we are also preparing the law on economic and social emergency measures. Curiously, several amendments from our group, to which we attach the greatest importance, have been declared inadmissible. These are, in particular, proposals for indexing pensions and family allowances, which are clearly linked to the proposed emergency measures. This request is made on roundabouts by families and pensioners. Why don't you hold her? Madam President, I stress the need to refer the matter to the Bureau of the Assembly, the Conference of Presidents or the President of the Assembly himself. Let us not truncate the debate: we want to discuss calmly and move forward quickly, without delaying the vote, but our proposals must also be dealt with.
ParlaMint-FR_2018-12-20-O1113.u12	We are going to look into this. Your group is certainly not the only one concerned with amendments that have been declared inadmissible. I will answer you as soon as I have the explanations, during the sitting.
ParlaMint-FR_2018-12-20-O1113.u13	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
