ParlaMint-FR_2018-11-12-O1058.u1	The next item is the debate on the draft amending finance law for 2018 (No. 1371, 1395).
ParlaMint-FR_2018-11-12-O1058.u2	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2018-11-12-O1058.u3	I come back to you with an amending finance bill – PLFR – which has the enormous advantage of being in line with the Government's promise. In fact, last year, I made a commitment before you not to make a decree in advance – that will now be the norm – and not to provide for any tax measures in the PLFR, which had never happened since the adoption of the Organic Law on Finance Laws – LOLF. We want to submit to Parliament for approval sincere budget envelopes that respect the appropriations entered in the finance law that you voted for. As a result, we are returning to sounder budgetary management, as evidenced by the reduction in the reserve rate from 8 per cent to 3 per cent. I have reserved for the National Assembly the beginning of the news: as it is, I have accepted the thawing of EUR 2 billion in appropriations, in accordance with the discussions in committee and between ministers. This decision is important for the proper management of our public finances and our departments. The technical choice of the new PLFR format is put at the service of a political ambition: to enable Parliament to improve its rights. I confess that I did not understand the debates in the Committee on Finance. Together with the Chairs of the Finance Committees of the Assembly and the Senate, and the two rapporteurs general, we decided that the end-of-management budget collective could no longer remain the vehicle that it had become, mixing forgotten tax measures and articles that had not found their place in the finance bill – PLF. The format we propose will strengthen the scope of parliamentary authorization. The PLFR will no longer be used to repeat the debates of the PLF or PLFSS – a bill to finance social security. I will therefore give an unfavorable opinion on the whole of the amendments providing for changes in taxation. It does not seem normal to me to use the end-of-management PLFR as a government broom car – mea culpa! – or Parliament. I shall therefore refuse to enter into this debate which does not correspond to the spirit of the exercise, nor to the wishes of many parliamentarians, such as Mr de Courson, who will join us later, or Mr Carrez. He had the opportunity to point out several times – notably on 5 December 2016, during the previous legislature – that these too complete PLFRs clearly reflected sub-budgetings, making it necessary to issue decrees in advance too important. Even under the majority he supported, in 2004, when he was rapporteur-general, Mr Carrez referred to this as a classic way to avoid seeking parliamentary authorisation, which is guaranteed by the Constitution. As chairman of the Finance Committee, he denounced the "faith" – I quote – significant shortcomings in the initial budget as reflected in the advance decree presented by the Government. Mr de Courson, for his part, uses even harder words to describe this somewhat special way of designing end-of-management texts; We'll probably have a chance to get back. Finally, the Conference of the Presidents of the Senate, and I thank him for that, noted that the Government has made an effort to ensure that there is no tax debate in a moment that is not conducive to an intelligent and constructive exchange. As for the deadline for Members to table amendments, reduced to a few hours, I note that they have not been prevented from doing so: 482 amendments have been tabled, which promises a late end of the sitting.
ParlaMint-FR_2018-11-12-O1058.u4	These are real wrong amendments!
ParlaMint-FR_2018-11-12-O1058.u5	Many of these amendments are tax-related and have no place in this text. On the other hand, those dealing with the budgetary aspect will give us an opportunity to debate. To show that this bill is only a very simple addition to the finance bill and that it reflects the budgetary sincerity to which we have committed ourselves, I would like to confirm the trajectory of the Public Accounts Adjustment. The Government has not lied in its forecasts: for example, we have seen an improvement in the government deficit of 1.3 billion, from €81.3 billion to €80 billion. The plan adopted by the Government for the end of management allows us to spend 600 million less than planned, in accordance with the target set. You can therefore see, Mr rapporteur-general, that we have fulfilled the commitments we made before you. The appropriations relate to the external and internal operations of the Ministry of Armed Forces – EUR 400 million – the overexpenditure in the staff expenditure of certain ministries, relating to Title II – 300 million, this is one of the negative elements that remain – the slight surplus of the activity premium – 200 million – the small increase in the allocation of asylum seekers – 100 million – the personal housing aid – 100 million – and the exemptions on the overseas perimeter – also 100 million. I would remind you that these openings will be fully managed by cancellations due to competition, in accordance with the principle of self-assurance that you are familiar with. I would also like to point out that the growth forecast for this PLFR – 1.7% for 2018 – does not contradict the PLF for 2019. This issue has been the subject of extensive debate during the review of the PLF last year as well as this year. The government deficit is maintained at -2.6% of GDP. The structural balance is unchanged, at -2.2% of GDP, as is structural adjustment. The public expenditure rate remains at 54.6 per cent of GDP. The national health insurance expenditure target – ONDAM – will be met at 2.3%. Finally, revenue developments bring the mandatory levy rate, as expected, to 45% of GDP in 2018. [[Applause on the benches of the LaREM group. – Mr. Jean-Louis Bourlanges also applauds]] Far from being an ad hoc text, this PLFR, which lacks any discussion of end-of-management or measures that could not be proposed within the framework of the PLF, supports on the contrary the arguments of the Government when it tells you to present a sincere budget. This development shows that the Government has learned from 2017 and that it respects the principle of parliamentary authorization. It gives hope for a better future, where the PLF would represent the time for fiscal and budgetary discussion, while the PLFR, except in the event of a major event affecting our nation, would only be an opportunity to verify that the Government had not lied to the National Assembly and the Senate.
ParlaMint-FR_2018-11-12-O1058.u6	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2018-11-12-O1058.u7	This amending finance bill is both traditional and innovative. It is traditional at the end of the year to adjust the budget estimates according to the data found in progress. This allows Parliament to make an assessment and to be fully informed about the budget data for the current fiscal year, without waiting for the settlement law. This year, we can see that improving our public finances is faster than expected. The budget deficit is updated to €80 billion, up $5.7 billion from the original finance law. The expenditure is held, with a net appropriation of only $80 million from the general budget. The government deficit will be reduced to 2.6 per cent of GDP, while the original Finance Act and the Public Finance Programming Act provided for 2.8 per cent. In summary, the recovery of our public accounts continues during the 2018 financial year with a sustainable return below the 3% government deficit mark, as evidenced by France's exit from the excessive deficit procedure. This is the main political message of this collective: while many doubted it last year, the public deficit continues to fall and falls below the 3% of GDP mark. This finance bill is also innovative. For the first time since 1985, it prevents an advance order from being made to make budgetary adjustments in progress or at the end of management, i.e. without parliamentary authorization. This is a considerable step forward for the rights of Parliament: rather than being subject to a simple advisory opinion, the Government's copy must indeed obtain the consent of Parliament. To this end, the PLFR is limited to budgetary aspects and does not contain any tax provisions. I welcome this; I had asked, like many of you, on all benches, and many of my predecessors. The calendar is tightened, but it remains perfectly compatible with the purpose of the text. The nine sections of the bill contain either budgetary adjustments or provisions that must, in a mandatory manner, be included in a finance law under the rules established by the LOLF. Unlike previous years, there is no complex provision that requires time to analyze. Even if I may regret, with you, that we did not have more time to examine it, I therefore support without a state of soul and with conviction, on the substance, this refocusing of the end-of-year PLFR. This development is also in line with the reform of the financial law review procedures, the aim of which was to achieve better time management and better organization of parliamentary discussion. The first two stages of this reform have been implemented this year, on an ongoing basis, pending the revision of the Constitution and the LOLF. The first stage was carried out at the initiative of the Finance Committee of the National Assembly, with the establishment of the spring evaluation. We strengthened the review of the settlement legislation to focus on the actual results of public policies, which we did not have time to talk about in the fall. Now, in the spring, we evaluate; in the autumn, we decide for the coming year. Previously, we were trying to do both at the same time, which was not rational. The second stage of the reform is carried out at the initiative of the Government with the refocusing of the PLFR on budgetary provisions only. This change makes it possible to make a clear distinction between the original finance bill, which covers fiscal policy and fiscal measures for the coming year, and the PLFR, which focuses on the end-of-management budget adjustment. This clarification between the PLF and the PLFR at the end of the year, which was called for by the working group on budgetary reform convened by our committee, makes it possible to improve the readability of the autumn budget debates. Over the years, the end-of-year collective had in fact become at best a finance bill bis, a catch-up PLF, at worst the spillover of tax measures that had not been prepared or arbitrated in sufficient time to be included in the PLF, out of Bercy's closets. Parliament then had only 10 days to examine very complex tax arrangements. Thus, gradually, the PLFR had become the symbol of the wrong legislation, because examined in time incompatible with serious work – a text heavy with ambiguous provisions, much of the risk of litigation. I would like everyone to be aware that the budgetary debate is taking place this year under conditions that are objectively much more respectful of Parliament. Previously, we discussed tax measures in two separate texts. We had very little time to deal with those of the PLFR, and the budgetary adjustments were made through an advance order on which we could only give an advisory opinion. From this year onwards, the Government has had to present all the tax measures in the PLF, which gives us more time to examine them and allows us to decide on the budgetary adjustments, or even to amend them in the context of a refocused PLF. I hope that this reform will succeed. This means promulgating the PLFR at the very beginning of December, in order to guarantee the December pay, the pre-liquidation of which takes place at the beginning of the month. We must therefore compel ourselves to collective discipline: the Government must fulfil its commitment to limit the content of the PLFR to budgetary aspects and refrain from tabling extra-budgetary amendments; As for parliamentarians, they must reserve their tax amendments to the PLF, under discussion at the same time. I will therefore systematically give an unfavorable opinion, with a brief argument, to all the amendments that fall within the scope of the PLF. Many have already been seen in the debate on the first part, or in the committee on the second part. Others, including some of the non-attached articles, will be in session on the second part. For these reasons, the tax amendments which some groups have submitted in large numbers seem to me to demonstrate a desire to slow down the discussion or even represent a form of obstruction.
ParlaMint-FR_2018-11-12-O1058.u8	Yes!
ParlaMint-FR_2018-11-12-O1058.u9	I also wonder about their constitutionality. Of course, the question has never been put so directly to the Constitutional Council, since this is the first time that Parliament has discussed a PLFR with only budgetary provisions. But we can legitimately question whether tax amendments would not be analysed by the Council as horsemen, since they are aimed at a bill that does not contain a tax provision.
ParlaMint-FR_2018-11-12-O1058.u10	That's right!
ParlaMint-FR_2018-11-12-O1058.u11	It is true that the deadline for tabling amendments was very short – I think that my teams and I are in the best position to testify. However, in view of the limited purpose of this PLFR, the right of amendment guaranteed by our Constitution has in this case been respected. This is proof of the number of amendments that have been tabled. On the other hand, I will develop a longer and more comprehensive argument on the amendments in relation to the text, i.e. those relating to the very articles of the PLFR or to the amounts of appropriations. I also observe that some opposition groups, in particular La France insoumée, which I thank, have endeavoured to table exclusively amendments which are directly related to the subject matter of the text. Of course, they are almost one by one opposed to all the cancellations of appropriations, but it will be my role as rapporteur-general to respond to each of these amendments. Apart from the "Repayments and Discounts" mission, the PLFR makes EUR 2.1 billion of movements, both in openings and cancellations of payment appropriations. These movements are rather below average: year-end amending finance laws averaged €2.9 billion in openings and €2.7 billion in cancellations over the period 2007-2017. In committee, we have addressed the question of the Defence Mission: the PLFR provides for an appropriation of 404 million on the "Preparation and Use of Forces" programme to finance the additional costs of external operations – OPEX – and internal missions – MISSINT – and a symmetrical cancellation of 404 million on the other programmes of the Mission, including 319 million on the "Equipment of Forces" programme. This means that the additional costs of OPEX and MISSINT will be funded within the Defence Mission. Minister, I have no doubt that you will explain this dual movement and its link with the military programming law.
