ParlaMint-FR_2018-05-29-O1235.u1	The next item is the question to the Government.
ParlaMint-FR_2018-05-29-O1235.u2	Mr Christian Hutin has the floor.
ParlaMint-FR_2018-05-29-O1235.u3	Mr. Minister of Agriculture, you know my friend, Member of Parliament and farmer Dominique Potier well. It is extremely rare for him to get angry – I have never seen him. Last night, he justifiably got angry for a very simple reason: the Government refused to set up a fund to compensate the victims of plant protection products, a decision that was totally incomprehensible. Senator Bernard Jomier's report and the bill to create a fund to compensate the victims of plant protection products were unanimously passed by the Senate last January. You forgot it.
ParlaMint-FR_2018-05-29-O1235.u4	Exactly!
ParlaMint-FR_2018-05-29-O1235.u5	The General Inspectorate of Social Affairs, a reference body – we cannot do better – has given a clear opinion in favour of the creation of the fund. So imagine our dismay last night – that of our group, of other groups, but also of a number of parliamentarians on all benches. It's incomprehensible. [[Applause on the benches of the NG, GDR and FI groups as well as on some benches of the LaREM and MODEM groups]] Why is Christian Hutin asking the question, you ask yourself, when his constituency is three, four, five, perhaps six farmers in search of good luck – it is an industrial constituency? Because when the association Phyto-victims is mentioned, I think immediately of those who defended the victims of asbestos for twenty years. When I hear the argument against us, namely causation, I am thinking of the widows of Dunkirk's asbestos who, in ten days' time, will be before the Court of Cassation to find a responsible person. [[Applause on the benches of the NG, GDR and FI groups and on a few benches of the MODEM group]] I am listening to the President of the Republic and I heard him at the Agriculture Fair. Minister, show dignity and respect, get out from the top of this agricultural law by creating this fund, which I believe is indispensable.
ParlaMint-FR_2018-05-29-O1235.u6	All right!
ParlaMint-FR_2018-05-29-O1235.u7	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2018-05-29-O1235.u8	We had the opportunity last night to address this issue. As I have said on several occasions, the Government has chosen to improve the current system of care for occupational diseases.
ParlaMint-FR_2018-05-29-O1235.u9	You chose to say no!
ParlaMint-FR_2018-05-29-O1235.u10	A general inspection report has been published, which recommends different options. We have chosen to refer the matter to the National Agency for Food, Environment and Labour Health Security – ANSES – and the National Institute of Health and Medical Research – INSERM – to update knowledge on the links between pathologies and occupational exposures to certain products. Above all, we would like to renew the picture of occupational diseases in order to have a much stronger, collective and independent scientific base and to harmonize the work of the regional commissions. Persons who consider themselves victims may request that their pathology be recognised as an occupational disease in order to be compensated. Diseases for which the link with professional activity is proven on the basis of sound scientific evidence may be subject to compensation. We have chosen to favour this path in order to avoid differences in treatment between the regional commissions...
ParlaMint-FR_2018-05-29-O1235.u11	That's not what the President of the Republic said!
ParlaMint-FR_2018-05-29-O1235.u12	... because, as I told you last night, the bill you cited might lead to a reversal of the burden of proof.
ParlaMint-FR_2018-05-29-O1235.u13	Waiver, Minister!
ParlaMint-FR_2018-05-29-O1235.u14	[[Applause on a few benches of the LaREM group]] However, we hope that the system will be sustainable and effective, that it will enable those who are victims of occupational diseases, whether they be lymphomas or other occupational diseases, that they will be brought before the committees and that they will be dealt with under the best possible conditions.
ParlaMint-FR_2018-05-29-O1235.u15	The next speaker is Mr Stanislas Guerini, on behalf of the Group of the European People's Party.
ParlaMint-FR_2018-05-29-O1235.u16	[[Applause on all benches]] Prime Minister, last Saturday, in the 18th arrondissement of Paris, at twenty o'clock, a four-year-old boy hung in a vacuum, hanging on a balcony on the fourth floor of a building. It was then that Mamoudou Gassama, a twenty-two-year-old Malian, in a gesture that only a heroic unconsciousness made possible, climbed the balconies of this building with the strength of his arms, and saved this little boy. [[Applause on the benches of the LaREM group and on several benches of the MODEM group]] The whole of France, as our assembly does today, has turned its eyes to this young Malian, has given him a look filled with admiration for this act of bravery, this exceptional act. Today, Mamoudou Gassama is a Malian hero. Tomorrow, by the decision of the President of the Republic, he will be a French hero. This is an exceptional decision, to reward an exceptional act. Yes, Mamoudou Gassama has a place in our country. His gesture has brought the values of our Republic to life. From the top of these four floors, the fraternity in what is most absolute has been expressed. [[Applause on the benches of the LaREM and MODEM groups]] These values, other French heroes make them live and embody them on a daily basis. "Saving or perishing" is the maxim of the hero, the one who thinks about the lives of others before thinking about his own. "Saving or perishing" is the motto of firefighters, who are also heroes of our daily lives. Mamoudou Gassama knows, the doors of the brigade of the fire brigade of Paris are now open to him. [[Exclaims on the banks of the LR, FI and GDR groups]] [[Applause on the benches of the LaREM and MODEM groups]] Prime Minister, how do you look at this heroic gesture? How will you follow up on the commitment of the President of the Republic to the naturalization of Mamoudou Gassama?
ParlaMint-FR_2018-05-29-O1235.u17	I wouldn't have asked the question that way! It's at the limit of decency!
ParlaMint-FR_2018-05-29-O1235.u18	Regularizations! No, no, no, no, no, no, no, no, no, no, no, no, no, no, No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
ParlaMint-FR_2018-05-29-O1235.u19	The Prime Minister has the floor.
ParlaMint-FR_2018-05-29-O1235.u20	A heroic act, as you said, is an act carried out by someone who risks his life to save someone else. In this case, it was someone the person concerned did not know at all, a child who was about to make a fall that could be fatal. It is also a reflex, an act that is not preceded by a great deliberation or a great reflection, which is carried out at the moment and gives rise, after the fact – Mr Gassama had the opportunity to say it – to a very great fear. Last Saturday we saw an act of this nature. Turns out he's been filmed. It was thus able to be shared and admired not only by the passers-by who were in this street of the 18th arrondissement, not only by those who shuddered at the idea that this child falls and that this man does not succeed in saving him, but also, gradually, as the broadcasts and rebroadcasts of these images, by the whole of France. This sharing and the virality of the image made this act exceptional. We must, of course, pay tribute to this courageous act and to the panache that Mr Gassama has demonstrated. But, through our admiration for him, also through the humility and modesty that this gesture gave rise to among all those who attended it – for who can say that he would have had the same courage, the same guts in the face of this situation? –, we must also take advantage of these images to express our admiration – I think Mr Gassama would be sensitive to them himself – for those who carry out heroic acts that we never see,...
ParlaMint-FR_2018-05-29-O1235.u21	Yes!
ParlaMint-FR_2018-05-29-O1235.u22	[[Applause on the benches of the LaREM and MODEM groups as well as on a few benches of the LR group and among non-attached Members]] ... because they're not filmed, because they don't get the reputation Mr. Gassama enjoys today without looking for him.
ParlaMint-FR_2018-05-29-O1235.u23	Regularize the undocumented!
ParlaMint-FR_2018-05-29-O1235.u24	You're still evicting!
ParlaMint-FR_2018-05-29-O1235.u25	This heroism, to which the notoriety that accompanies the diffusion of the image does not take away anything, but, in a certain way, does not add anything either, is shown very regularly in our country, if not every day, by formidable acts, which sometimes end worse, as we know, than last Saturday's. You were right to recall, Mr. Member, that a residence permit was issued to Mr. Gassama this morning...
ParlaMint-FR_2018-05-29-O1235.u26	Do it for everyone!
ParlaMint-FR_2018-05-29-O1235.u27	... and that the procedure for its naturalization has been initiated. I don't want to prejudge the decision that will be made, but one can imagine that, in the case of a young man who has shown such courage,...
ParlaMint-FR_2018-05-29-O1235.u28	They're all brave!
ParlaMint-FR_2018-05-29-O1235.u29	They're all like that!
ParlaMint-FR_2018-05-29-O1235.u30	... of such dedication, of such a commitment to save a member of the national community, the will to become French will, of course, be demonstrated. [[Applause on the benches of the LaREM and MODEM groups as well as on some benches of the LR and FI groups]] Thank you, honourable Member, for your question. On behalf of the Government and, I think, of the entire national representation, I express our gratitude, our admiration and our humility, too, in the face of this exceptional act.
ParlaMint-FR_2018-05-29-O1235.u31	Mr Gilles Lurton, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-05-29-O1235.u32	[[Applause on the benches of the LR group, on several benches of the LaREM, MODEM and UDI-Agir groups as well as on some benches of the NG group]] On behalf of my group, I would like to pay tribute to the great industrialist who has just left us: Serge Dassault. I associate his family with our colleague Olivier Dassault. Mr Prime Minister, a few days ago, my colleagues in the Republican Group and I defended, within this Chamber itself, a bill to give the combatant's card to soldiers hired in Algeria between 2 July 1962 and 1 July 1964. For the past five years, we have been working on this proposal. For the past five years, we have been improving on a daily basis the report I submitted to the Committee on National Defence and the Armed Forces. We have sought above all consensus with the entire fighting world.
ParlaMint-FR_2018-05-29-O1235.u33	Sarkozy promised, Darrieussecq did!
ParlaMint-FR_2018-05-29-O1235.u34	We have found this consensus. This bill, supported by the LR group, was approved by all the opposition groups of this assembly, without exception, but was rejected as a whole by your majority and your government,...
ParlaMint-FR_2018-05-29-O1235.u35	Scandalous!
ParlaMint-FR_2018-05-29-O1235.u36	In a sectarian way!
ParlaMint-FR_2018-05-29-O1235.u37	... when many of you told me that they would have liked to vote but were prevented from voting. [[Applause on the benches of the LR group and on some benches of the UDI-Agir group]] On Sunday, we officially learned that your government has decided to respond positively to this request. Prime Minister, I want to tell you that it is with great emotion that I learned this decision, emotion for all those veterans who have been waiting for so many years for us to give them what is only justice, emotion for the 535 veterans "dead for France" between 1962 and 1964 who were counted. I want to pay tribute to them today. [[Mrs. and Mr. Members of the LR, UDI-Agir, NG, GDR and FI groups stand up and applaud at length]] But, Prime Minister, today give you all the work done to achieve this result, only a few days after rejecting the same proposal, lacks the most elementary elegance towards parliamentary work and opposition.
ParlaMint-FR_2018-05-29-O1235.u38	That's amazing!
ParlaMint-FR_2018-05-29-O1235.u39	The Secretary of State to the Minister of Armed Forces has the floor.
ParlaMint-FR_2018-05-29-O1235.u40	It's shameful!
ParlaMint-FR_2018-05-29-O1235.u41	And now the sectarians are on the move!
ParlaMint-FR_2018-05-29-O1235.u42	[[Rires on the benches of the LR group]] Thank you, Mr. Lurton, for the question you asked. I'm glad we've met a request you've been making for five years...
ParlaMint-FR_2018-05-29-O1235.u43	Mr. Lurton's constant!
ParlaMint-FR_2018-05-29-O1235.u44	[[Mrs. and Mr. Members of the LaREM and MODEM groups stand up and applaud strongly. – Hulls on the benches of the LR group]] ... by taking a measure that you would certainly have been able to implement before. [[Applause on the benches of the LaREM and MODEM groups]] I would just like you to recognize that we are people of speech and method. During the review of the 2018 Finance Bill, I made a commitment to you, Member of Parliament, to work in a methodical manner.
ParlaMint-FR_2018-05-29-O1235.u45	It's not a method, it's recovery!
ParlaMint-FR_2018-05-29-O1235.u46	I did this work with veterans' associations. I received you when you tabled your bill, and I told you about my method, which I believe you fully understood.
ParlaMint-FR_2018-05-29-O1235.u47	The cuckoo method!
ParlaMint-FR_2018-05-29-O1235.u48	I just asked you to wait a little while: your bill was premature, because our work was not finished. [[Applause on the benches of the LaREM and MODEM groups]] So, MP, let's stop installing political reports on the issue of veterans.
ParlaMint-FR_2018-05-29-O1235.u49	You don't have any glitches!
ParlaMint-FR_2018-05-29-O1235.u50	This is ridiculous!
ParlaMint-FR_2018-05-29-O1235.u51	On the day after the seventy-fifth anniversary of the National Council of the Resistance,...
ParlaMint-FR_2018-05-29-O1235.u52	Off the subject!
ParlaMint-FR_2018-05-29-O1235.u53	Don't mess with the veterans!
ParlaMint-FR_2018-05-29-O1235.u54	...the day after my visit to Buffon High School, where I was able to honour the memory of his young martyrs, I have a very precise idea, like you, of what veterans are, what those who gave for France represent.
ParlaMint-FR_2018-05-29-O1235.u55	Your sectarianism is indecent!
ParlaMint-FR_2018-05-29-O1235.u56	[[Vif applause on the benches of the LaREM and MODEM groups. – Hulls on the benches of the LR group]] I can assure you that we are all here gathered and ready to honour the world of veterans, which we are doing today. I thank the Prime Minister for the strong decision he has taken over time.
ParlaMint-FR_2018-05-29-O1235.u57	Because you have not done so before, colleagues LR!
ParlaMint-FR_2018-05-29-O1235.u58	Mr Bruno Millienne, for the Group of the Democratic and Related Movement, has the floor.
ParlaMint-FR_2018-05-29-O1235.u59	The French oil group Total, the minister of ecological and solidarity transition, intends to commission the biorefinery of the Méde, in the Bouches-du-Rhône, in the summer of 2018. It will be able to process 650000 tonnes of inputs to produce 500,000 tonnes per year of biodiesel, a true alternative to fossil fuels. In a press release dated May 16th, Total announced that its biorefinery will supply 60% to 70% of raw vegetable oils from as diverse a variety of sources as rapeseed, sunflower, soy or palm. Among environmental associations, farmers, trade union representatives from the agricultural world, this announcement raises legitimate concerns. The supply of palm oil leads to deforestation, which, I would remind you, accounts for more than 10% of global greenhouse gas emissions, weakens the ecosystem, biodiversity and also affects local populations. [[Applause on several benches of MODEM, UDI-Agir, LR, NG and FI groups]] While Total is committed to providing itself with labeled palm oil, these certification schemes are considered insufficient by non-governmental organizations and industry. This project would increase French imports of palm oil by 64%. How would we dare to stand as a global leader in the environmental cause and "at the same time" promote such imports? Palm oil, soybeans and cocoa are the three most important imported products contributing to deforestation. If we are in the process of solving the soy problem in France, palm oil remains a major problem, although we could easily do without it, especially thanks to rapeseed. Our farmers are ready to provide the plant material needed for biofuels and biomass! The European Parliament voted last January to phase out palm oil in biofuels by 2021, which demonstrates genuine political will. [[Applause on the benches of the MODEM, UDI-Agir, NG, GDR and FI groups, as well as on several benches of the LaREM and LR groups]] Minister, how does France intend to reaffirm its fight against deforestation? What actions do you intend to take to reassure our fellow citizens and to reaffirm France's position on the urgent need to maintain the environmental imperative?
ParlaMint-FR_2018-05-29-O1235.u60	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2018-05-29-O1235.u61	Mr. Member of Parliament, "at the same time" – as you said – is what the Government is trying to do in terms of ecological transition, since a real ecological transition cannot be created over time and effective if it is not in solidarity. [[Exclaims on the banks of the NG group]] [[New exclamations on the NG benches]] With this project, we touch on the difficulty of the ecological transition, which must also be supportive. It is for this reason, moreover, that the previous government took the difficult decision, in agreement of course with Total, to transform this company which, I recall, was based on... I believe that your government was in power at the time and your political party, and that you could have insured yourself then instead of giving us lessons today,...
ParlaMint-FR_2018-05-29-O1235.u62	Because at the time, you weren't socialist, maybe?
ParlaMint-FR_2018-05-29-O1235.u63	[[Applause on the benches of the LaREM group. – Hulls on the benches of the LR group]] ... because the ecological transition is something difficult and we want to do it in solidarity. That is why, in the key, there were 250 jobs, Mr.Member, 250 jobs that we saved and that we will continue to defend. It is also for this reason that we are transforming the economic model. We were facing a company like Total that had a biorefinery producing diesel. It was the economic model of the past. Today, Total produces and will continue to produce biofuels. Of course, it's not ideal. For this reason, the Minister of State, Minister of Environmental Transition, met with representatives of Total and urged them to use as little palm oil as possible. And that is why they have since agreed to reduce the amount of palm oil that would be used by 30%. [[Exclaims on the benches of the LR group. – Applause on a few benches of the LaREM group]] We want to make it a source of outlets also for some of our oils, especially waste oils that pollute enormously, and 25% of the oil production will be made from....
ParlaMint-FR_2018-05-29-O1235.u64	It's rowing!
ParlaMint-FR_2018-05-29-O1235.u65	Mr Sebastien Jumel, for the Group of the Democratic and Republican Left, has the floor.
ParlaMint-FR_2018-05-29-O1235.u66	[[Smiles and applause on the benches of the GDR and FI groups]] My question is for the Minister of Transport, who is responsible for degraded public services, mobilized railway operators and relegated territories. Since Sunday, the train no longer whistles between Abbeville in the Somme and Le Tréport in the Seine-Maritime. It is replaced by buses. It now takes one hour to travel the 35 kilometres that were covered in forty minutes by rail. This lifeline, which serves eight stations, is waiting for work. But nothing comes despite the citizen mobilization to which your government and SNCF remain deaf. Are you finally going to see us? At the moment when the railway workers are mobilized – they have just affirmed, through their "vote" action, their massive opposition to your plan to dismantle the public service – this referendum, you do not see it. By the time Xavier Bertrand and Hervé Morin are ready to commit, this line of life has become a symbol, because it draws the model whose railway law will give birth. This model? Trains for those who can afford them. Trains from one metropolis to another, buses for others. Medium towns, rural territories to which we're going to cut the line. These territories and those people who have already been hit by the crisis, we want to unplug them. We unplug them and tell them to go to work, to high school or to treat you, take the bus! I invite you, Madam Minister, to come and see the tourist season that is beginning, to come and see the spectacle of the hundreds of tourists who are entangled in trains – trains that, although they are tools of the tourist attraction of our territories, are threatened. Your law does not contain any insurance on the preservation of rail mesh and refers to future consultations without guarantee. This line is a symbol. [[Applause on the benches of the GDR, FI and NG groups]] Madam Minister, the wind of anger carried by the railwaymen, shared in our territories, will the wind of hope carried by the users be heard?
ParlaMint-FR_2018-05-29-O1235.u67	The Minister responsible for transport has the floor.
ParlaMint-FR_2018-05-29-O1235.u68	[[Applause on a few benches of the LaREM group]] Mr. MP, the Government's reform is an unprecedented commitment to rail transport, after decades of underinvestment in daily networks.
ParlaMint-FR_2018-05-29-O1235.u69	You were already here, ma'am!
ParlaMint-FR_2018-05-29-O1235.u70	[[Exclaims on the banks of the NG group]] This unprecedented commitment, the Prime Minister, clarified the scope of this commitment last Friday. We are committed to €3.6 billion a year, 50% more than in the previous decade.
ParlaMint-FR_2018-05-29-O1235.u71	Come on, Mr. David, it was you who made the checks at the time, not her!
ParlaMint-FR_2018-05-29-O1235.u72	[[Applause on several benches of the LaREM group]] We will go further, since by 2022 we will spend an additional 200 million a year to accelerate the modernization of our national rail network. And above all, we come out of thirty years of hypocrisy...
ParlaMint-FR_2018-05-29-O1235.u73	Yours too, ma'am!
ParlaMint-FR_2018-05-29-O1235.u74	...and we take responsibility for the debt.
ParlaMint-FR_2018-05-29-O1235.u75	Oh, no! Not you!
ParlaMint-FR_2018-05-29-O1235.u76	During the quinquennium, the Government will recover €35 billion in debt, €25 billion in 2020, €10 billion in 2022. It's historical. With regard to the so-called "small lines", which are essential to the service of our territories and to the development of freight, I have made it clear on several occasions that the State will fulfil its commitments under the State-region plan contracts. As you know, as regards the Abbeville - Le Tréport line in particular, neither the Hauts-de-France region nor the Normandy region had asked for the necessary works to be included in the current plan contract. That being said, I hear the strong expectations expressed by all the elected representatives concerned. The State is ready to participate in the financing under the plan contracts. Together with your colleague Emmanuel Maquet and the presidents of the Normandy and Hauts-de-France regions, you presented me with funding proposals last Thursday. [[Applause on the benches of the LaREM and MODEM groups]] In order to move forward, I propose that we meet as soon as possible with the Presidents of the two regions concerned, in order to define together the conditions under which plan contracts can be amended.
ParlaMint-FR_2018-05-29-O1235.u77	The next speaker is Mr Jean-Jacques Bridey, for the Group of the European People's Party (La République en marche).
ParlaMint-FR_2018-05-29-O1235.u78	Mr. Chairman, my question is to Mrs. Geneviève Darrieussecq, our Secretary of State for Veterans Affairs. Since this question was asked to you by Gilles Lurton, the Secretary of State, I will not come back to it. I would like to speak here in my capacity as chairman of the Committee on National Defence and the Armed Forces, with seriousness, emotion and a lot of anger. For the past year, we have been talking about map 62-64 in our committee with responsibility.
ParlaMint-FR_2018-05-29-O1235.u79	You refused!
ParlaMint-FR_2018-05-29-O1235.u80	[[Exclaims on the benches of the LR group]] [[Long exclamations on the benches of the LR group – Applause on the benches of the LaREM group]] [[Exclaims on the benches of the LR group]] We talked about this during the 2018 budget debate, and Philippe Michel-Kleisbauer, our veterans' rapporteur, asked all the questions that were necessary and argued the committee's position. Questions have been asked from all sides of the House. With constancy, method, simplicity, our minister... Please! Ladies and gentlemen, we are national representation: the nation is watching us! On a subject like this...
ParlaMint-FR_2018-05-29-O1235.u81	Please listen to the speaker, ladies and gentlemen!
ParlaMint-FR_2018-05-29-O1235.u82	If we can't talk without polemics, we don't have to argue!
ParlaMint-FR_2018-05-29-O1235.u83	Keep your lessons!
ParlaMint-FR_2018-05-29-O1235.u84	[[Applause on the benches of the LaREM and MODEM groups]] [[New exclamations on the banks of the LR group]] It is easier, ladies and gentlemen, to table bills when you are in opposition than to assume your responsibilities when you belong to the majority. That's what the Secretary of State did...
ParlaMint-FR_2018-05-29-O1235.u85	You were in business!
ParlaMint-FR_2018-05-29-O1235.u86	Please, ladies and gentlemen!
ParlaMint-FR_2018-05-29-O1235.u87	[[Mrs. and Mr. Members of the LaREM Group rise and applaud. – Applause on several benches of the MODEM group. – Exclaims on the benches of the LR group]] ...which said it twice, in the budget debate and in the examination of Mr Lurton's bill. We acted responsibly, methodically, and today we see the results, after consultation with all veterans' associations. We should all welcome this together.
ParlaMint-FR_2018-05-29-O1235.u88	What's the question?
ParlaMint-FR_2018-05-29-O1235.u89	The Secretary of State to the Minister of Armed Forces has the floor.
ParlaMint-FR_2018-05-29-O1235.u90	Mr Bridey, thank you for reminding you that we have acted with method.
ParlaMint-FR_2018-05-29-O1235.u91	The Socialists are talking to you!
ParlaMint-FR_2018-05-29-O1235.u92	I would simply like to recall the commitment of the President of the Republic, the Prime Minister and the Government to the duty of recognizing the nation to all those who fought for it, both yesterday and today. You all seem to be united here, although by expressing it in different ways, by the same attachment.
ParlaMint-FR_2018-05-29-O1235.u93	It's bla-bla!
ParlaMint-FR_2018-05-29-O1235.u94	I preferred Gilles Lurton!
ParlaMint-FR_2018-05-29-O1235.u95	Why didn't they do it when they were at the PS?
