ParlaMint-FR_2018-01-30-O1127.u1	The next item is the question to the Government.
ParlaMint-FR_2018-01-30-O1127.u2	Mrs Valérie Rabault has the floor for the New Left Group.
ParlaMint-FR_2018-01-30-O1127.u3	Prime Minister, a tarn-et-garon farmer, with seventy-five dairy cows, works more than ten hours a day. For this work, he earns barely 400 euros net per month. Within a few days, he may not win anything at all, so he may have to put the key under the door and face his creditors. Why? As a result of the recasting of so-called simple disadvantaged areas: livestock farming in an area considered to be underprivileged is entitled to a natural disability compensation, called ICHN. This ICHN, which ranges from 6000 euros to 10000 euros per year, is essential for the survival of livestock farming in our territories. For the past 18 months, agricultural organizations and elected representatives have been fighting to maintain the ICHN where it is essential for the survival of livestock farming; And we got some progress. But on 20 December and especially last Friday, the administration of the Ministry of Agriculture created an earthquake with new versions of this map. If these versions are confirmed, they will make half of the farms disappear in many of our departments: the Tarn-et-Garonne, the Gers, the Deux-Sèvres, the Landes, the Ardèche, the Béarn... [[Applause on several benches in the NG group]] Prime Minister, you must prevent this. You must prevent the death of the French farm! You have to stop the bronces from replacing the cows and our territories from turning into wasteland. [[Applause on the benches of the NG and GDR groups and on many benches of the LR group]] Mr Prime Minister, there are four of my requests: come and see for yourself, in Tarn-et-Garonne for example, a farm; putting your veto on the revised cards announced last week; immediately calling for a moratorium on Europe – the Spanish and Germans would agree – for a comprehensive discussion to take place in the context of the next review of the CAP – the common agricultural policy; commit yourself to saving the French farm.
ParlaMint-FR_2018-01-30-O1127.u4	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2018-01-30-O1127.u5	Madam Member, we have already mentioned this subject together on many occasions; You are right to come back to it, because it is a matter of importance to our farmers and our territories. Simple disadvantaged areas, known as ZDS, were defined in the late 1970s with socio-economic criteria that no longer really correspond to much of today. A review was therefore necessary to sustain the relevant support for farmers in these areas, as a 2013 Court of Auditors report pointed to the use of somewhat disparate criteria. The European Rural Development Regulation has made this review mandatory for Member States by 2019. We have undertaken a number of reflections with agricultural professionals and with the regions on the different zonings. The zoning envisaged at the end of the first cycle of work resulted in a very wide map compared to the current map, considerably increasing the need for EAFRD funds – the European Agricultural Fund for Rural Development – which remains a closed envelope.
ParlaMint-FR_2018-01-30-O1127.u6	We have to save the farm!
ParlaMint-FR_2018-01-30-O1127.u7	[[Exclaims on the banks of the NG group]] This map could not be considered fiscally sustainable and the relevance of certain criteria was difficult to justify at European level. The President of the Republic therefore announced last week, in his wishes to the rural world, that mountain areas would be completely preserved, and that mountain farmers would continue to perceive their ICHN. Work on the ZDS should continue. We continue to work with you, with parliamentarians, with elected officials. The Government's objective is to achieve a fair and fiscally sustainable map that preserves our livestock areas, including yours in particular, within a time frame compatible with its timely approval by the European Commission. The work is in the final stages.
ParlaMint-FR_2018-01-30-O1127.u8	The next speaker is Mr Laurent Saint-Martin, for the La République group on the move.
ParlaMint-FR_2018-01-30-O1127.u9	Mr. Minister of Public Action and Accounts, we will, in a few moments, be voting on a bill that lays the foundations of a state at the service of a society of trust.
ParlaMint-FR_2018-01-30-O1127.u10	Propaganda!
ParlaMint-FR_2018-01-30-O1127.u11	Thanks to this text, which we discussed at length and amended both in committee and in public session, we have indeed strengthened trust between users and the administration.
ParlaMint-FR_2018-01-30-O1127.u12	For now, the users have not seen anything!
ParlaMint-FR_2018-01-30-O1127.u13	[[Exclaims on the benches of the LR group]] [[Applause on the benches of the REM group]] Thus, starting tomorrow, a company will be able to ask the administration for a blank check to ensure that its practices comply with the law. Starting tomorrow, a user will be able to ask for a single reference to finally have a single front door to the complexity of the organisation of administrations. Finally, extra-taxed calls will be eliminated from 2020. All these advances are extremely important to our citizens, but I want to draw your attention, Minister, to another aspect at least as important: the implementation of this text. There will be more than twenty-five decrees to be published, experiments to be evaluated and orders to be ratified. You have parliamentarians in front of you who want to follow this work closely. That is the meaning of the reform council, the creation of which is provided for in the bill. So, minister, I'll have two questions. Can you assure us of the proper coordination between the executive, the administrations and the parliamentarians? Do you commit yourself to continuing the simplification of future bills in this legislation?
ParlaMint-FR_2018-01-30-O1127.u14	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2018-01-30-O1127.u15	[[Applause on the benches of the REM group]] Mr President, first of all let me welcome the work you have done, together with the chairman of the special committee Sophie Errante and the rapporteur Stanislas Guerini, in drawing up a text that will indeed revolutionise the relationship between companies, taxpayers and the administration.
ParlaMint-FR_2018-01-30-O1127.u16	Just that?
ParlaMint-FR_2018-01-30-O1127.u17	[[Applause on the benches of the REM group as well as on some benches of the LR, MODEM and UDI-Agir groups]] Let me also welcome the whole of the national representation, since one third of the 700 amendments discussed were adopted, some of them from the opposition, which I would also like to thank for the very important work carried out in the special committee as well as during the three days of debate in the public sitting. I will not go back to the measures you are referring to, Mr President, since we will have the pleasure of having this text voted. You ask me the question of "post-vote service." Many measures are regulatory; Many commitments have been made by the Government. Many choices were made in the texts, but also in the heads. The reform council, which comes from the national representation and which, if the Prime Minister so wishes, will sit with me, will one by one follow all the texts, decrees, ordinances and other measures taken to implement the law. We will thus have the opportunity to verify, text by text, that everything that the national representation has voted for, all the announcements made to the French during the presidential campaign and parliamentary debates, will be followed by effect. We co-built before; We've been talking a lot during this. If, as I hope, the Senate passes the bill and once the Joint Joint Committee has reached an agreement, we can address the following. [[Applause on the benches of the REM group and on several benches of the MODEM and IUD-Agir groups]] The Prime Minister's circular is extremely clear in this regard: each of the texts that the Government will submit to you will include a simplification component. It's just the beginning, let's keep fighting!
ParlaMint-FR_2018-01-30-O1127.u18	Mr Damien Abad, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-01-30-O1127.u19	[[Applause on several benches of the LR and UDI-Agir groups]] Prime Minister, I come here to ask you, on behalf of the Republicans, to make the dignity of our elderly a great national cause. The situation in most residential institutions for dependent elderly people, particularly in my department of Ain, is apocalyptic and unworthy of the greatness of France. Infernal cadences, dehumanized residents, a boomed staff: this is the reality and no one can ignore it!
ParlaMint-FR_2018-01-30-O1127.u20	Thank you Bachelot!
ParlaMint-FR_2018-01-30-O1127.u21	[[Protests on the benches of the NG and GDR groups]] The 35 hours killed the public hospital and today's strike is above all a reflection of an unprecedented ill-being of health personnel. France of EHPADs, retirement homes and community hospitals is a France that suffers and, through it, it is France of pensioners that suffers. [["Caricature! »on the banks of the MODEM group]] [[Applause on the benches of the LR group]] It suffers all the more as your tax policy, through the increase in the CSG, greatly diminishes the purchasing power of pensioners, at the same time as the daily rates of EHPAD increase. Far from reducing the medical fracture, you have added a new fracture, the generational fracture, through your policy. In the name of national representation, I wish to solemnly denounce this violation of human dignity. Prime Minister, you are the guarantor of the fundamental rights of our elders. Every day, they are flouted in our institutions for lack of resources. Every day, we spend only a quarter of an hour in the toilet, clothing and breakfast of our elders.
ParlaMint-FR_2018-01-30-O1127.u22	What a shame!
