ParlaMint-FR_2018-09-18-E2012.u1	The meeting was suspended.
ParlaMint-FR_2018-09-18-E2012.u2	The meeting was resumed.
ParlaMint-FR_2018-09-18-E2012.u3	The next item is the continuation of the discussion of the draft law on combating fraud (No 1142, 1212, 1188).
ParlaMint-FR_2018-09-18-E2012.u4	This afternoon, the Assembly continued its discussion of the articles of the draft law, concluding with amendment No. 105 to article 9 bis. On Article 9a, I am seized by the Socialist and Related Group and by the Group of the Democratic and Republican Left of the United Kingdom of Great Britain and Northern Ireland of a request for a public vote. The vote is announced in the National Assembly.
ParlaMint-FR_2018-09-18-E2012.u5	Call to order, Madam President!
ParlaMint-FR_2018-09-18-E2012.u6	Mr Fabien Di Filippo has the floor for a point of order.
ParlaMint-FR_2018-09-18-E2012.u7	[[Applause on the benches of the LR group]] On the basis of Rule 58(1), Madam Chair. The years pass and despite all the bad habits persist: each time, the people involved in the texts, who make the effort to resume the debates at twenty-one and thirty hours as it should be, are confronted, in an institution like ours where we vote the law on behalf of the French people, with suspensions of convenience because Mrs. and Mrs. of the majority did not deign to finish in time for dinner and that they met almost one Member of Parliament at the time of the start of the debate. It is not to show respect that we owe our fellow citizens! It's not up to our function! It is not up to all the demands on our mission!
ParlaMint-FR_2018-09-18-E2012.u8	That's right!
ParlaMint-FR_2018-09-18-E2012.u9	[[Same movements – Exclaims on the banks of the LaREM Group]] In addition, you pay for words about the importance of everything you want to revolutionize in France and in the world! Start already by being there for debates that you claim to be so important.
ParlaMint-FR_2018-09-18-E2012.u10	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2018-09-18-E2012.u11	[[Applause on the benches of the FI group]] My point of order is also based on Rule 58(1), Madam President. As my colleague has said, it is beginning to get painful to have to resume sittings five minutes late because the digestion of some Members may be a longer than that of others... We are told very regularly that we do not know the Rules of Procedure, but I can tell you that in France we are still on time to defend our amendments and to debate the texts. I would like these delays not to last this whole new session because it really becomes all the more painful as we all represent the French people.
ParlaMint-FR_2018-09-18-E2012.u12	Mrs Danièle Obono has the floor.
ParlaMint-FR_2018-09-18-E2012.u13	[[Applause on the benches of the FI group]] Beyond the crude manoeuvre just carried out by the majority, I would like to make a point of order on the same basis because it affects the proper conduct of the debates, in particular their sincerity. We, members of the La France insoumée group, would like an explanation from the Minister for Action and Public Accounts on Article 9 bis since it turns out that the same minister had given a favourable opinion to the two deletion amendments presented to the Senate, explaining, brilliantly for once, the reasons for his position: "The new extension to the facts of tax fraud has two consequences. On the one hand, it makes it possible to circumvent the lock, since it is a form of judicial transaction that does not constitute a prosecution. On the other hand, in the absence of a judgement of conviction, criminal repression is liable to lose all its specificity, since it would be closer to the mode of transactional settlement carried out by the tax administration. It might then be paradoxical to want the judicial authority to be able to take up the tax fraud case if it is to provide it with treatment similar to that which is implemented by the administration. I refer you to the debate we had earlier and to the debate we will have, I imagine, at the end of the discussion. For all these reasons, the Government gives a favourable opinion on these two amendments, which seek to abolish this measure. So we have a minister in the Senate who approved amendments identical to those he opposed this afternoon. We have played the game, once again, by approving amendments that we thought were positive and by taking to the word the colleagues of the majority on the good intentions they show, but we now ask for the presence of Mr Darmanin to try to believe in it still a little bit – unless Mr Dussopt can explain to us himself why this volte-face in a few weeks... But we want to know: What happened? What are the reasons for this? We urge the presence of Mr Darmanin, including out of respect for Parliament.
ParlaMint-FR_2018-09-18-E2012.u14	Mr Jean-Paul Dufrègne has the floor to support Amendment No. 105.
