ParlaMint-FR_2018-05-16-O1213.u1	The next item is the question to the Government.
ParlaMint-FR_2018-05-16-O1213.u2	Mrs Sarah El Haïry, for the Group of the Democratic and Related Movement, has the floor.
ParlaMint-FR_2018-05-16-O1213.u3	Mr President, ladies and gentlemen, Minister of National Education, "I'm writing you a little scumbag, so you don't have to die": everyone will have recognized Pierre Perret's pen which sang us "The pretty holiday colonies". Mr. Minister, there's some of them. Last December, France ratified by order the Travel Directive, which aims to protect consumers, but does not take into account the particularities of holiday camps, Scout camps or discovery classes. With this transposition, settlements are potentially regarded as commercial, tourist and even competitive activities, as well as tour operators. The new provisions would oblige them, on 1 July, to set up a compensation fund, which they do not have the means to create; and, above all, they do not respond to the same risks as a tourist operator. Minister, if this transposition were to apply to these structures, it would deny the reality of what holiday settlements are. These are not the main objectives of tourism, but are intended to be a tool of public policy: from the improvement of the health situation during the 1920s to the access to culture and leisure in the 1970s, to the remoteness of neighbourhoods, we are here in a mission of education, the emancipation of youth and social mix, which strengthens our Republic. Accepting this transposition is tantamount to accepting the closure of associations that organise non-profit stays. It would be a bad signal to send to the world of associations and to all those who commit themselves.
ParlaMint-FR_2018-05-16-O1213.u4	All right!
ParlaMint-FR_2018-05-16-O1213.u5	Finally, accepting this would mean losing momentum to our rural, coastal and mountainous territories that benefit from these classes of discoveries and settlements. [[Applause on the benches of the LaREM and MODEM groups and on several benches of the LR, IDU and GDR groups]] With the directive coming into force on 1 July, it is not too late, but it is time to reassure the players in this sector who are working every day to welcome thousands of children.
ParlaMint-FR_2018-05-16-O1213.u6	The Minister for National Education has the floor.
ParlaMint-FR_2018-05-16-O1213.u7	Mr President, ladies and gentlemen, Mrs El Haïry, I will not start with a song because I would be less skilful than you, but I would like to reassure you. You are right to be sensitive to the fate of the holiday settlements, the classes of discoveries and all the activities proposed, during the holidays, to the children of all social backgrounds, with a social mix issue. What we need to worry about in the long run is that for too many years now these structures have been declining. Today we must work on a rebound strategy; I am working on this both as Minister of National Education and as Minister for Youth and Associative Life. That is why I want not only to preserve associations of such measures, which are potentially dangerous for their activities, but also to devise an offensive strategy for a new development of holiday settlements in France. [[Applause on several benches of the LaREM and MODEM groups]] [[Same movements]] The fundamental element that can reassure you is the fact that this directive will not concern the associations you have mentioned. The aim of the Travel Directive is to ensure a high level of protection for travellers, and this is clearly legitimate; but its transposition at the end of 2017 led to the removal of certain associations organising collective receptions of minors – ACM – from the list of bodies excluded from the registration obligation. This deletion does not lead to the entry into the registration field of all the organizers of the ACMs; As a result, the approved associations – which you mentioned – which organise MCAs in the national territory carry out an educational mission of general interest, and that is why they will be supported. Similarly, legal persons governed by public law who also act in the general interest, including local authorities, will not be affected by the Directive.
ParlaMint-FR_2018-05-16-O1213.u8	Mrs Caroline Fiat, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-05-16-O1213.u9	Madam Minister of Health, yesterday in Paris, a demonstration called "Marée blanche" brought together more than 600 professionals to denounce working conditions and the lack of resources at the public hospital. Let's talk about the lack of resources, while Oxfam's report on CAC 40 highlighted the fact that French companies have donated nearly 67% of their profits to their shareholders; while fraud and tax evasion exceed EUR 60 billion; while this year, €1.6 billion in savings are being requested from health care institutions, and we have just read a note by which you ask them to make another €960 million in savings; Finally, as our President of the Republic informs us, from the United States, of the end of the exit tax, which represents a loss of 850 million euros for public finances.
ParlaMint-FR_2018-05-16-O1213.u10	It's a shame!
ParlaMint-FR_2018-05-16-O1213.u11	The same president, however, explained without browing a few decades ago to a nurse at CHU de Rouen: "There is no magic money. Instead, we will say that magic works more for some than for others! In the meantime, our health system, driven by the informed choices of different health plans, ranks only fifteenth in the world. The last plan for the hospital, called "Health System Transformation Strategy", remains within the logic of the hospital-business. [[Applause on the benches of the FI group and on several benches of the GDR group. – Mr Serge Letchimy applauds]] There is an urgent need to hear and respect caregivers and patients, putting an end to austerity in the management of health structures, in order to stop institutional abuse. It is now necessary to restore to the hospital its dignity: the hospital must remain a place where people are treated, not finance! [[Applause on the benches of the FI and GDR groups]] Madam Minister, once again, what concrete means do you intend to implement, without relying on telemedicine, to give back to the hospital its pride of great public service, which guarantees the general interest?
ParlaMint-FR_2018-05-16-O1213.u12	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2018-05-16-O1213.u13	Member of Parliament, you're asking me about the hospital's resources. We have the same desire as you: to maintain a quality hospital public service and a quality hospital public service, up to the expectations of the French. This is our common good: Social security in general and public health services are consubstantial to French identity. It is therefore important to restore confidence and hope to the public hospital. [[Applause on several benches of the LaREM group]] Contrary to what you say, there is no reduction in means, but an increase. The national health insurance expenditure target – ONDAM – which Parliament voted in the framework of the Social Security Funding Bill – PLFSS – has been the most important in four years, particularly for public hospitals. The overall rate of increase for ONDAM is 2.3%; It is 2.2% for hospitals.
ParlaMint-FR_2018-05-16-O1213.u14	Well, it can't be seen!
ParlaMint-FR_2018-05-16-O1213.u15	This represents an increase of EUR 1.5 billion for this year and EUR 3.6 billion for the next three years. So there are no savings on the hospital. Moreover, the hospital civil service has been growing steadily: its workforce has been steadily increasing by 1.5 per cent per year for decades.
ParlaMint-FR_2018-05-16-O1213.u16	Really, it doesn't show!
ParlaMint-FR_2018-05-16-O1213.u17	We want to reorganise the hospital, particularly with regard to human resources, to give back hope to the caregivers.
ParlaMint-FR_2018-05-16-O1213.u18	This is not really how your reforms are perceived on the ground!
ParlaMint-FR_2018-05-16-O1213.u19	Our goal is to restore confidence to the French in this tool that is the public hospital...
ParlaMint-FR_2018-05-16-O1213.u20	There's work to do!
ParlaMint-FR_2018-05-16-O1213.u21	[[Applause on several benches of the LaREM group]] ... and to restore meaning and humanity to the missions of caregivers.
ParlaMint-FR_2018-05-16-O1213.u22	[[Mrs. and Mr. Members of the GDR, NG, LaREM, MODEM, UDI-Agir and LR groups as well as members of the Government rise and applaud]] Before turning the floor to the next speaker, I am pleased to welcome, on behalf of all of you, a delegation from the Knesset of the State of Israel, led by its President Yuli-Yoel Edelstein.
ParlaMint-FR_2018-05-16-O1213.u23	We are now taking questions back to the Government.
ParlaMint-FR_2018-05-16-O1213.u24	Mr Dimitri Houbron, on behalf of the Group of the European People's Party, is speaking.
ParlaMint-FR_2018-05-16-O1213.u25	Madam Secretary of State for Equality between Women and Men, a great deal of work has been done for several months. Consultations, hearings and exchanges have taken place, in accordance with the commitment of the President of the Republic to better protect women and minors who are victims of sexual and gender-based violence. [[Applause on several benches of the LaREM group. – Exclaims on several benches of the LR group]] And yet, despite all this work, voices are rising. Despite your pedagogy, our pedagogy, an open letter was recently sent to the President of the Republic, claiming that we wanted to decriminalize rape as a simple crime. It's a serious misconception. This statement is totally false: it is contrary not only to our ambition, but also to the very wording of clause 2 of the bill strengthening the fight against sexual and gender-based violence, which we adopted last night. [["Hello! Hello! » on several benches of the LR group]] Conversely, this article will facilitate the characterization of rape on minors under 15 years of age, and will increase the penalties for sexual abuse. [[Applause on several benches of the LaREM group. – Exclaims on the benches of the LR group and on several benches of the NG, GDR and FI groups]] I know that the opposition has decided to conduct a political fight on this subject. For us, members of the majority group, we have the ambition to approach it as a fundamental issue for our society. [[Protests and hues on the benches of the LR group]] The passions, which are all legitimate, should not be confused with legislative work. Yesterday, by voting against Article 2, you made the choice not to protect minors.
ParlaMint-FR_2018-05-16-O1213.u26	Look on the other side! It's not just us!
ParlaMint-FR_2018-05-16-O1213.u27	[[Long protests on the benches of the LR group. – Claims on several benches of the FI, GDR and NG groups]] Yes, by refusing to vote on Article 2, you have reduced the protection of minors! Be responsible for your actions, assume your choice!
ParlaMint-FR_2018-05-16-O1213.u28	It's not a question to the government!
ParlaMint-FR_2018-05-16-O1213.u29	[[Applause on several benches of the LaREM group. – Persistent protests on the benches of the LR group]] Madam Secretary of State, could you once again present the Government's objectives to the national representative?
ParlaMint-FR_2018-05-16-O1213.u30	There's no question! It's a sketch!
ParlaMint-FR_2018-05-16-O1213.u31	A little calm, ladies and gentlemen! I remind you that the questions are free: the deputies ask the questions they want, after which the members of the Government answer freely too. Let's listen to each other. The Secretary of State for Equality between Women and Men has the floor.
ParlaMint-FR_2018-05-16-O1213.u32	Mr President, this is a serious and important subject that we are addressing. Thank you for your question: it will allow those who look at us without having the opportunity to follow the debates of last night to have a clear answer. On 25 November, the President of the Republic made a commitment to the Elysée at the launch of the great cause of the quinquennium dedicated to equality between women and men. He said: "Our Penal Code leaves unacceptable ambiguities. The judge must always have a free judgment, but it is up to the law to give him... a clear rule..., because we cannot accept that the presumption of consent applies so vaguely when a sexual relationship between a minor and an adult occurs. [...] I want to give you a personal conviction here that we should no doubt align ourselves with the age of sexual majority set in our right to 15 years. » This commitment resulted in section 2 of the bill you mentioned, which was passed by the National Assembly last night.
ParlaMint-FR_2018-05-16-O1213.u33	A very short majority: thirteen votes!
ParlaMint-FR_2018-05-16-O1213.u34	Without MODEM!
ParlaMint-FR_2018-05-16-O1213.u35	This article complements article 222-22-1 of the Criminal Code with the following paragraph: "When the acts are committed against a person under fifteen years of age, moral coercion or surprise are characterized by the abuse of vulnerability of the victim who does not have the necessary discernment to consent to such acts. » [[Applause on several benches of the LaREM group. – Exclaims on several benches of the LR group]] The commitment of the President of the Republic to reinforce the conviction of rapes of minors under the age of 15 is therefore fully respected. I would like to thank the Members who courageously voted on this item last night.
ParlaMint-FR_2018-05-16-O1213.u36	They didn't have a choice!
ParlaMint-FR_2018-05-16-O1213.u37	[[Applause on the benches of the LaREMet UDI-Agir groups]] Through this interpretative article, we created a new threshold, we instituted a protection that did not previously exist; Above all, it will be applicable as soon as the law is promulgated, including in the case of previous facts. None of the other proposals made by amendment had the same scope.
ParlaMint-FR_2018-05-16-O1213.u38	Mr Philippe Dunoyer, for the IDU Group, spoke on behalf of the Group of the European People's Party.
ParlaMint-FR_2018-05-16-O1213.u39	My question is for the Minister for Europe and Foreign Affairs. From 3 to 5 May, the President of the Republic visited New Caledonia. Throughout his visit, the Head of State found the right words to speak at the heart of the people of Caledonia, urging them to combine their memory and their future with a few months of the referendum on self-determination. He carried out strong acts of reconciliation and peace between the Republic and the country, in front of the grave of the gendarmes and the 19 of Ouvéa. He also paid tribute to the pioneers who had participated in the construction of New Caledonia. He defined the basis for a renewed political dialogue by placing New Caledonia in a common history with France, a France which, in his words, "would be less beautiful without New Caledonia". Finally, he affirmed his will to build a strong indo-pacific axis with Paris, New Delhi, Canberra, Nouméa and Papeete. The place of France is further strengthened in the Pacific since Brexit, which makes our nation the last European country present in this area thanks to these three overseas countries and territories – OCT – New Caledonia, French Polynesia and Wallis-et-Futuna. Present during this visit, the Minister for Europe and Foreign Affairs therefore knows how important it is for the state to commit itself to defending the interests of the OCTs, knowing that their status will be renegotiated with the prospect of the end of the Cotonou agreements in 2020, at a time when the choice to abolish the overseas constituency for the forthcoming European elections assures us of the almost certain disappearance of a representation of the Pacific territories in the European Parliament. [[Applause on the benches of the UDI-Agir group and on a few benches of the LR group]] My question is therefore: how does the Government intend to commit itself to defending the interests and evolving status of the OCTs in these forthcoming discussions?
ParlaMint-FR_2018-05-16-O1213.u40	The next speaker is the Minister for Overseas Affairs.
ParlaMint-FR_2018-05-16-O1213.u41	Mr President, I myself am elected from an ultramarine territory, and OCTs. I would like to point out that, in the last European elections, overseas countries had a very low turnout: only 17%. I am convinced that if we want them to be more audible, we must mobilize for this future election. It's essential. I hear we can worry about the single constituency. But I was concerned, like others, about the infernal mechanics that had been presided over until then: games of lists and territories that often made the election incomprehensible to our fellow citizens. The unique list will reveal the political parties' interest in the Ultramarines, in the overseas departments, in this French wealth present in each ocean.
ParlaMint-FR_2018-05-16-O1213.u42	What about the interests of the people?
ParlaMint-FR_2018-05-16-O1213.u43	Yes, indeed, Mr. Member, we will have to convince...
ParlaMint-FR_2018-05-16-O1213.u44	Above all, we must not be so despised!
