ParlaMint-FR_2018-06-20-O1281.u1	The next item is the question to the Government.
ParlaMint-FR_2018-06-20-O1281.u2	Mr Sylvain Waserman, for the Group of the Democratic and Related Movement, has the floor.
ParlaMint-FR_2018-06-20-O1281.u3	Mr Secretary of State to the Minister for Europe and Foreign Affairs, yesterday, the President of the Republic and the German Chancellor met for a new Franco-German summit, ten days away from a European Council that was decisive for the future of Europe, determining because, at this time, disturbed by multiple tensions, it had to prove that it knew how to reinvent itself and innovate. The Franco-German couple can and must have a decisive leadership role in two areas, the first being the major challenge posed by the migration crisis. There is no single day without news resonating as an alarm signal in the face of this challenge, to which we must find a decisive European response. On this World Refugee Day, and while this subject is on the news in Germany, as ultimatums have been put forward within the Chancellor's coalition itself, it seems that a new impetus was decided yesterday. As regards the second area, namely the future of the euro area, it seems that a historic step has been taken with, for the first time, the joint announcement of a budget for the euro area. [[Applause on the banks of the MODEM group as well as on several benches of the LaREM group]] Mr Secretary of State, what concrete progress was made yesterday? Will they be extended at the European Council on 28 June? Finally, the Member of Parliament for Strasbourg whom I am asking you to confirm that the seat of the European Parliament in Strasbourg is, of course, not the subject of any negotiation.
ParlaMint-FR_2018-06-20-O1281.u4	The next speaker is the Secretary of State to the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2018-06-20-O1281.u5	Mr President, you are right, yesterday was a very important day. Perhaps it will even enter history, because very solid foundations have been laid by the President of the Republic and the German Chancellor, with a view to the mini-summit that the European Commission convened for the next weekend and the European Council on 28 and 29 June.
ParlaMint-FR_2018-06-20-O1281.u6	In the land of Yes-Yes!
ParlaMint-FR_2018-06-20-O1281.u7	We know that, as Paul Valéry said, "civilizations are mortal."
ParlaMint-FR_2018-06-20-O1281.u8	The governments, too!
ParlaMint-FR_2018-06-20-O1281.u9	Nothing that exists and what has been built is definitive in the absence of a renewed will expressed every day by the peoples and leaders of Europe. However, this will was manifested through a threefold response. With regard to immigration, the desire, first of all, to work increasingly with countries of origin and transit, to prevent movements better, is quite clear. It is accompanied by the desire to better protect our borders with Frontex, whose strength will be increased to 10,000 men: this real border police will ensure that the law is respected, since Europe is a continent of law. Finally, a system of solidarity must be established. More sovereignty, more unity, more solidarity: this is the heart of the process. The same applies to economic matters. After the hard work of the finance ministers, in which Bruno Le Maire participated, the President of the Republic and the German Chancellor were able to take note of their convergence in order to build a new stage in the euro area, which will have a real budget from 2021. Consensus on the subject is under research, which is very important for the future. [[Applause on the banks of the MODEM group as well as on several benches of the LaREM and UDI-Agir groups]] With regard to the seat of the European Parliament in Strasbourg, France is firm: it is not negotiating. Europe does not have a federal capital because it is polycentric. Strasbourg, a symbol of reconciliation, must remain the parliamentary capital it is.
ParlaMint-FR_2018-06-20-O1281.u10	[[Mrs. and Mr. the deputies and members of the Government rise and applaud]] Ladies and gentlemen, before proceeding to the next question, I am pleased to welcome the presence in the stands of the students of the CM2 class of the Jean-Baptiste-Colbert elementary school of Maisons-Laffitte and their teacher, Mrs Beaudon. This class is the winner of the twenty-second edition of the Children's Parliament, with a bill to combat light pollution in cities and protect biodiversity. Thank you, ladies and gentlemen, for welcoming them warmly and for congratulating them.
ParlaMint-FR_2018-06-20-O1281.u11	We are now taking questions back to the Government.
