ParlaMint-FR_2018-05-09-O1207.u1	The next item is the question to the Government.
ParlaMint-FR_2018-05-09-O1207.u2	Mr Thierry Benoit, for the IDU Group, spoke on behalf of the Group of the European People's Party.
ParlaMint-FR_2018-05-09-O1207.u3	Prime Minister, a few hours ago, President Donald Trump announced his decision to unilaterally withdraw the United States from the Iranian nuclear agreement. This action could lead to a renewed tension in the Middle East and around Israel, while at the same time devoting the game of collective diplomacy to rejection. Brussels reiterated its support for the July 2015 agreement, even if it wishes to strengthen it. Trump gets it, but Trump decides. The disorderly parade of European heads of state does nothing about it: they are individually condemned to follow the wishes of the American giant. President Macron's visit was ultimately only to the credit of President Trump, thereby weakening the positions of France and Europe. Worse still, Mrs Merkel did the same. Where is Europe? We have only had one demonstration of the impotence of the European word. A year ago, the President of the Republic, Emmanuel Macron, was also elected on the European project and on France's ambition for the European Union. Today, 9 May, Europe Day, the crucial question still arises of the future of the European project and its credibility vis-à-vis both external partners and the 500 million Europeans. [[Applause on the benches of the UDI-Agir group]] Mr Prime Minister, beyond the great march for Europe, what initiatives does France intend to take to enhance European ambition and to create real hope for European citizens, as called for by our IUD, Action and Independent Group?
ParlaMint-FR_2018-05-09-O1207.u4	The next speaker is the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2018-05-09-O1207.u5	[[Exclaims on a few benches in the LR group]] President Trump's decision to withdraw from the nuclear agreement is, as you said, a unilateral decision. It is an American decision and it commits only the United States, which thus renounces the right to speak. The American withdrawal certainly weakens the agreement, but does not cancel it. It is the strength of multilateralism – which we can mark in particular today, Europe Day – to say that the Vienna agreement of 14 July 2015 must always be respected. Europeans believe in this agreement that they have actively contributed to negotiations. For them, the withdrawal of the United States therefore means staying united, talking to the Americans and Iranians and working together in several directions. The first is to maintain the commitment in the agreement as long as Iran respects it, which is the case today. This is the meaning of the approach affirmed yesterday by both the President of the Republic, Chancellor Merkel and Prime Minister May. That is also what Mrs Mogherini said on behalf of the European Union. We must then work on a broader framework to deal with real problems – we must not be naive! – Iran poses in terms of international security, whether it concerns the continuation of its missile programmes, the fate of the nuclear programme after 2025 or the destabilization and hegemonic temptations of Iran in the region. [[Applause on the benches of the LaREM group]] On these commitments, Europe will remain united and will be very supportive.
ParlaMint-FR_2018-05-09-O1207.u6	The next speaker is Mr Richard Ferrand, on behalf of the Group of the European People's Party (La République) on the move.
ParlaMint-FR_2018-05-09-O1207.u7	Prime Minister, the renewal of the political life of our country occupies a major place in our transformation project. The modernization of our Constitution is therefore on the agenda.
ParlaMint-FR_2018-05-09-O1207.u8	You're not talking about campaign accounts?
ParlaMint-FR_2018-05-09-O1207.u9	This morning, you presented to the Council of Ministers the constitutional bill, the first step before the introduction of ordinary and organic bills in two weeks' time. This reform provides, inter alia, for the independence of the Supreme Council of the Judiciary in its choice of appointment, for the end of the presence of the future Presidents of the Republic in the Constitutional Council or for the abolition of the Court of Justice of the Republic, and for the place of local and regional authorities and their capacity for initiative. Three cardinal commitments are to come, made in 2017 before our people: the 30% reduction in the number of parliamentarians, on a constant basis, for more efficiency in their mission;...
ParlaMint-FR_2018-05-09-O1207.u10	They must be replaced by technocrats from Brussels!
ParlaMint-FR_2018-05-09-O1207.u11	... the introduction of a proportional share, in order to strengthen plurality; the end of time cumulation beyond three terms, in order to encourage renewal. [[Applause on the benches of the LaREM group. - "Ah! » on the benches of the LR group]] In order to improve the efficiency of parliamentary work, you will be able to count on the involvement of the majority in this Assembly itself. [[Applause on the benches of the LaREM and MODEM groups]] Prime Minister, what will be the general architecture of this reform and above all its timetable, since we will have to examine three texts of a different nature that contribute to the same objective?
