ParlaMint-FR_2018-04-17-O1191.u1	The next item is the oral questions without debate.
ParlaMint-FR_2018-04-17-O1191.u2	Mr Laurent Saint-Martin has the floor to put his question, No. 271, on the integration of the Grosbois centre into the Olympic and Paralympic Games of 2024.
ParlaMint-FR_2018-04-17-O1191.u3	Madam Minister of Sport, France will have the honour of hosting the Olympic and Paralympic Games in 2024. The strength of the Paris application was that an estimated 95% of the necessary infrastructure already exists. This is an exceptional case, as international events of this magnitude usually involve considerable public expenditure to build the necessary infrastructure. The construction costs of the remaining infrastructure for Paris are still estimated at around €6.6 billion. In comparison, London 2012 and Rio 2016 cost almost double. One of the main reasons for this budget content is that many facilities, such as the Stade de France, the Palais omnisports de Bercy, the Roland Garros Stadium, the Zenith and the U Arena already exist. Today, it is planned that the equestrian events – dressage, horse racing, full competition, para-dressage and the modern pentathlon event – will take place in Versailles, and I welcome it. Île-de-France has internationally renowned equestrian facilities that can be mobilized for the 2024 Olympic and Paralympic Games to welcome and train riders and their horses. Minister, I am elected from the third electoral district of Val-de-Marne, which includes the Grosbois training centre. Do you intend to integrate this centre, the flagship of the trot, located at the gates of Paris, into the equestrian arrangements of these Olympic Games?
ParlaMint-FR_2018-04-17-O1191.u4	The Minister for Sport has the floor.
ParlaMint-FR_2018-04-17-O1191.u5	Mr President, first of all I would like to assure you of my wish that the organisation of the Olympic and Paralympic Games of 2024 will benefit all territories. Our games must be those of all French and French: this is a priority of the Government. With regard to the training sites you mentioned, it is necessary to distinguish the fifty-one official training sites on the one hand, identified by the Paris 2024 committee from the candidacy phase and open to athletes 12 days before the start of the games, and on the other hand the pre-Olympic and Paralympic training camps, called "advanced base". The latter will be selected by the Olympic and Paralympic Games Organizing Committee – OCOG – as part of a procedure involving the deconcentrated services of the state, which will of course ensure a balanced territorial grid and good representation of the territories. These sites will then be offered to foreign delegations as early as 2020. To this end, a call for projects will be launched by the OCOG via a dematerialised platform, in autumn 2018, in order to identify all offers to the territories, as part of a global approach, after the OCOG has labeled the sites. This catalogue of sites will be distributed to foreign national Olympic committees and sports federations around the world in 2020. By the end of the Tokyo Games of 2020, France will become an immense training and preparation centre, an advanced base for all athletes in the world. I confirm that all local and regional authorities will be asked, so that each territory can present sites as part of the labelling and promote its best assets in terms of sports facilities or reception places necessary for the acclimatisation of Olympians and paralympians. As you pointed out, the Olympic and Paralympic horse riding competitions will take place in the Parc du Château de Versailles. The Grosbois training centre, if selected by the OCOG, will nevertheless be able to showcase all its assets, in order to be selected as a preparation site that can be offered to horseback riding federations around the world.
ParlaMint-FR_2018-04-17-O1191.u6	The floor is open to Mr Pierre Henriet, to put his question, No 279, on the Atout-Linge integration structure.
ParlaMint-FR_2018-04-17-O1191.u7	Madam Minister of Labour, my question concerns the financial difficulties of Atout-Linge. This economic integration actor, specializing in laundry and clothing, welcomes long-term job seekers, beneficiaries of active solidarity income – RSA – and disabled people, in the South Salesian basin. Since 1 January 2017, the agreement signed with the decentralised administration and the departmental council contains a restriction that binds the payment of the amount of aid to the nature of the received public, long-term job seekers – DELD – or beneficiaries of the RSA. This structure is not the only one in France or in Vendée not to have been informed of a restrictive application of the conventions, which results in a drastic reduction of its resources. In addition, this decline comes after the application, from 1 January 2015, of the Law on Vocational Training, Employment and Social Democracy, which reduced the funds devoted to integration structures through economic activity because of the dual status of the public concerned: employees in integration and job seekers. The General Delegation for Employment and Vocational Training has been seized of the risks to the survival of these structures: everywhere in France, they start the year with a large cash deficit. Even if the issue of cash flow is resolved on an ad hoc basis, the choice remains as follows: to obtain the maximum amount of aid, contributing to the financing of fixed costs, they must limit themselves to welcoming a public able to assure them the maximum amount granted by the tripartite agreement, which excludes mainly long-term job seekers, who should nevertheless be the first beneficiaries. I ask you, Madam Minister, to provide an urgent response to the cash flow problems of these structures, and a long-term response, in the context of the reform of vocational training.
ParlaMint-FR_2018-04-17-O1191.u8	The Minister for Labour has the floor.
ParlaMint-FR_2018-04-17-O1191.u9	Mr President, we agree on the importance of integration through economic activity – IAE. If, and this is my belief, no one is unemployable, the people most in difficulty, the farthest from the labour market nevertheless need a footstool, a step before they are trained or in employment. Integration through economic activity allows long-term job seekers, RSA beneficiaries, people with often multiple work and social difficulties to have initial work experience or to rediscover working life, before entering an ordinary job path. In this context, the Government has chosen to consolidate, as early as 2018, the appropriations dedicated to integration through economic activity, which had in the past experienced downward fluctuations. I pledge to maintain them. For example, €840 million was allocated under the 2018 Finance Act in order to further develop the integration sector through economic activity. For the first time, in 2018, we consolidated these credits with those allocated to job skills pathways within the Employment Inclusion Fund. This fund, with EUR 4 billion, gives regional prefects new room for manoeuvre to adapt the means to territorial problems, which are not all the same. There is a need to be able to assess the relevance of support elements in terms of structures and territories. This more fungible and deconcentrated approach will also make it possible to take better account of the situations of the various construction sites or integration enterprises through economic activity. Yes, IAE is essential for inclusion in employment. You're right, targeting audiences is fundamental. You alerted me to the difficulties of a structure, which would be linked to co-financing rules. The departmental councils, which are co-financers, sometimes define criteria which are in addition to those established at national level and which are more restrictive. However, it is interesting to analyse the problem with them, because the situations of people in difficulty, particularly the beneficiaries of the RSA, differ from one department to another. It can be understood that departmental councils want to "over-target" the system, if they are confronted with people who are particularly remote from employment. Nevertheless, I have asked the Regional Directorate for Enterprise, Competition, Consumer, Labour and Employment – DIRECCTE – to pay particular attention to this particular situation and to reach agreement with the Departmental Council on targeting. We all agree that the most difficult people need to be targeted, but we still need to adapt the system to the field. I repeat, the IAE is a relevant response, because it puts the situation at work and provides very important social and professional support: most of the beneficiaries of integration through economic activity also have health or housing problems, which are called peripheral problems but which are central to people's lives, and which contribute to their failure. It is therefore important that everything be taken into account.
ParlaMint-FR_2018-04-17-O1191.u10	Please conclude, Minister...
ParlaMint-FR_2018-04-17-O1191.u11	On the other hand, access to training is still insufficient, for the reasons you mentioned. That is why I wanted the IEA to be identified as a priority area of the Skills Investment Plan. A €20 million allocation will be set aside in 2018 to support integration structures through economic activity in the field of training.
