ParlaMint-FR_2018-04-04-O1177.u1	The meeting was suspended.
ParlaMint-FR_2018-04-04-O1177.u2	The meeting was resumed.
ParlaMint-FR_2018-04-04-O1177.u3	Mr Thibault Bazin has the floor for a point of order.
ParlaMint-FR_2018-04-04-O1177.u4	Mr. Minister of Economy and Finance, we look forward to your arrival. We hope that the Members of the majority will, too, arrive in the Chamber! In any event, we see that this week of control is not a priority for everyone. I wonder if your delay is not a signal of the weakening of Parliament that will result from the reform announced by the Government. Unless it's a momentary strike, what's up! In any event, punctuality is important for the smooth running of our meetings: it is a matter of mutual respect between the Government and Parliament.
ParlaMint-FR_2018-04-04-O1177.u5	The next item is the questions on the Government's privatization programme. I would remind you that the Conference of Presidents has set a maximum of two minutes for each question and each answer, without the right to reply. We begin with the questions of the New Left Group. Mr Boris Vallaud has the floor.
ParlaMint-FR_2018-04-04-O1177.u6	Madam President, Minister, ladies and gentlemen, the Paris Airport Group – ADP – welcomed more than 100 million passengers in 2017 at the airports of Paris-Charles-de-Gaulle, Orly and Bourget. He is responsible for the development, operation and development of the Francilian airports and their land, which have been given to him in full ownership. This is what makes Paris airports unique to other French airports. ADP is therefore of major strategic interest to our country. It is not just about the planning of the territory of France: the Parisian hub is crucial for the development of national air transport, for the airline Air France KLM, and beyond, for the economic development of our country. It paid more than EUR 250 million of dividends to the State in respect of the results for 2016. The Government and the legislator did not err in 2005: therefore, article 1 of the Act of 20 April 2005, by which the public establishment Aéroports de Paris was transformed into a public limited company, provides that the majority of the capital is held by the State. Given that this company owns a vital infrastructure for the Nation, its public character is fully justified. Despite these elements, does the Government intend to privatize ADP? We fear him. However, international comparisons do not show the desirability of such a decision. No large infrastructure of this kind has been entrusted to private actors anywhere in the world, except in the form of public service delegation or concession. And the study of the capital structure of European airports shows that our country is already among those that have most opened the capital of its airports to private shareholders. What guarantees would the State have in the event of a failure of the enterprise? How would he ensure that the majority of the capital remains French? How would he verify that the company is looking after the strategic interests for which it would be responsible? In view of the large dividends paid to the State by this company, what economic logic would there be to privatize it? What would be the social consequences for the staff, who have accepted the recent evolution of their status in exchange for this clause guaranteeing that the majority of the capital would be held by the State? What would be the consequences for the development of Air France KLM? [[Applause on the benches of the NG group]] All these elements, all these questions, which demonstrate, in truth, that it is not necessary to open the file of a privatisation of ADP.
ParlaMint-FR_2018-04-04-O1177.u7	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2018-04-04-O1177.u8	Madam President, ladies and gentlemen, I would be grateful if you would accept my apologies for my delay due to an accumulation of obstacles at the end of the day. The essential thing is that I can assure you of the importance that I attach to these sessions devoted to the monitoring of the Government's action. You can refer to the report: you will see which ministers come to it themselves, and which ministers send their Secretary of State to it! If I wanted to be present, it was that I care about this subject. Yes, ADP is a strategic enterprise for our country. Mr Vallaud, not everyone has as good a knowledge as you of the structure of ADP's capital, as it results from the 2005 Airport Act. The State holds 50.6 per cent of the shares, while private shareholders share the remaining 49.4 per cent. These private shareholders have an unlimited right to operate on ADP. There would be one solution, the one that you call "privatisation" – I am not sure, for my part, that this term is the most appropriate. The Government would reduce its shares in the legal structure resulting from the 2005 Act, in order to increase the share of private shareholders to 50 per cent, 60 per cent or 70 per cent of the total. You should know, Mr Vallaud, that we will not choose this solution. We are working on other options, in order not to give private shareholders, who have an unlimited right to operate on a strategic asset, a capacity to control and control investment in the future: I would find this exorbitant, because ADP is a gateway for all airport activities in France. I repeat, we will not accept this solution, which is rarely chosen in the rest of the world – I think it is only for Heathrow airport in Great Britain that this formula has been chosen. The choices we make will be to preserve the ability of the state to control a strategic asset. But there are two ways to control: a presence in capital – which has been retained so far and is not necessarily the best solution – and regulation. For my part, I believe that regulation is the best way to guarantee State control over a strategic activity such as that of ADP.
ParlaMint-FR_2018-04-04-O1177.u9	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2018-04-04-O1177.u10	Minister, the break-up innovation fund you're planning to create is a good idea. However, I believe that its implementation brings with it the bad news. First bad news: on July 5, you indicated that this fund would consist of proceeds of disposal "non-strategic public enterprises". But at this point, it seems that you include among these Aéroports de Paris companies – a subject that my colleague Boris Vallaud has just mentioned – whose share of the state is around 8 to 9 billion euros, which would almost correspond to the amount you will need for the fund. I hope, Minister, that you do not regard ADP as a non-strategic public enterprise, knowing that it is the gateway to Paris, the gateway to air flows, which calls for a real strategy – which is currently being implemented. Second bad news: you have finally explained that what will be invested for innovation will not amount to 10 billion euros, but to the yield of 10 billion euros, that is to say between 200 and 300 million euros per year. It's not exactly the same. The third bad news is the very constitution of this fund. Indeed, you are going to sell 10 billion euros of state stakes, so recover cash, and invest it in a fund already created – securities are currently in port. This leads me to ask you two very specific questions: will this money that will result from the sale of 10 billion securities be reinvested in new securities, and in this case which ones? Or will this money be reinvested in government bonds? If this is the second option, it means that your break-up innovation fund will actually be a government debt-debt fund.
ParlaMint-FR_2018-04-04-O1177.u11	Yes!
